time_s,porosity,permeability_mD,avg_dissolution_rate,surface_area_cm2,grain_volume_cm3,injected_pv
1.000000,NaN,2.595768,1.083082e-07,4.354120e-01,1.212552e-02,0.001089
2.000000,NaN,2.595768,1.083082e-07,4.354120e-01,1.212552e-02,0.002179
4.000000,NaN,2.595768,1.083082e-07,4.354120e-01,1.212552e-02,0.004358
8.000000,NaN,2.595768,1.083082e-07,4.354120e-01,1.212552e-02,0.008716
16.000000,NaN,2.595768,1.083082e-07,4.354120e-01,1.212552e-02,0.017431
32.000000,NaN,2.595768,1.083082e-07,4.354116e-01,1.212552e-02,0.034862
64.000000,NaN,2.595768,1.083083e-07,4.353850e-01,1.212538e-02,0.069724
128.000000,NaN,2.595892,1.083133e-07,4.348218e-01,1.212173e-02,0.139449
256.000000,NaN,2.620506,1.084141e-07,4.315339e-01,1.206889e-02,0.278897
512.000000,NaN,2.961216,1.089437e-07,4.258374e-01,1.169138e-02,0.557795
1024.000000,NaN,3.956400,1.092720e-07,4.220225e-01,1.073016e-02,1.115590
1924.000000,NaN,5.969777,1.077353e-07,4.459694e-01,9.446295e-03,2.096089
2824.000000,NaN,8.452310,9.944736e-08,4.185687e-01,8.529704e-03,3.076588
3724.000000,NaN,11.343560,1.031619e-07,3.740502e-01,7.615637e-03,4.057087
4624.000000,NaN,14.737550,1.121114e-07,3.691256e-01,6.630946e-03,5.037586
5524.000000,NaN,18.497541,1.101045e-07,3.419795e-01,5.791339e-03,6.018085
6424.000000,NaN,23.001692,1.151518e-07,2.998371e-01,5.005878e-03,6.998584
7324.000000,NaN,26.835342,1.275305e-07,2.980230e-01,4.241688e-03,7.979083
8224.000000,NaN,30.680311,1.248162e-07,2.591708e-01,3.593313e-03,8.959582
9124.000000,NaN,35.466572,1.389459e-07,2.526328e-01,2.872691e-03,9.940081
10024.000000,NaN,40.587889,1.369776e-07,2.061490e-01,2.231692e-03,10.920580
10924.000000,NaN,45.924252,1.605520e-07,1.776895e-01,1.570511e-03,11.901079
11824.000000,NaN,51.537031,1.747980e-07,1.470516e-01,1.001383e-03,12.881578
12724.000000,NaN,57.153899,1.954772e-07,1.148450e-01,5.427035e-04,13.862077
13624.000000,NaN,62.723393,2.241147e-07,7.030665e-02,2.223150e-04,14.842576
14524.000000,NaN,69.043906,2.954668e-07,2.048110e-02,1.241469e-05,15.823075
15424.000000,NaN,79.375894,4.692748e-07,0.000000e+00,4.440892e-16,16.803574
16324.000000,NaN,79.375894,Inf,0.000000e+00,4.440892e-16,17.784073
