rock;particle size class;x_min [mm];x_max [mm];x_50 [mm];fcirc analysis 1 [ - ];fcirc analysis 2 [ - ];fcirc mean [ - ];fcirc std [ - ]
Jurakalk;JK1;5.00E+00;1.00E+01;9.42;;;0.86;0.03
Jurakalk;JK2;2.50E+00;5.00E+00;4.88;;;0.85;0.02
Jurakalk;JK3;1.25E+00;2.50E+00;2.51;;;0.85;0.07
Jurakalk;JK4;6.30E-01;1.25E+00;1.19;;;0.86;0.05
Jurakalk;JK5;3.15E-01;6.30E-01;0.57;;;0.85;0.03
Jurakalk;JK6;1.00E-01;3.15E-01;0.21;0.90;0.90;0.90;0.05
Jurakalk;JK7;6.30E-02;1.00E-01;0.082;0.91;0.90;0.90;0.04
Jurakalk;JK8;0.00E+00;6.30E-02;0.032;0.90;0.90;0.90;0.04
Schaumkalk;SK1;5.00E+00;1.00E+01;9.55;;;0.85;0.03
Schaumkalk;SK2;2.50E+00;5.00E+00;4.54;;;0.84;0.05
Schaumkalk;SK3;1.25E+00;2.50E+00;2.31;;;0.85;0.06
Schaumkalk;SK4;6.30E-01;1.25E+00;1.08;;;0.86;0.05
Schaumkalk;SK5;3.15E-01;6.30E-01;0.52;;;0.85;0.05
Schaumkalk;SK6;1.00E-01;3.15E-01;0.21;0.85;0.89;0.87;0.05
Schaumkalk;SK7;6.30E-02;1.00E-01;0.082;0.89;0.89;0.89;0.05
Schaumkalk;SK8;0.00E+00;6.30E-02;0.032;0.88;0.89;0.89;0.06
Madiger Kalk;MK1;5.00E+00;1.00E+01;9.66;;;0.86;0.17
Madiger Kalk;MK2;2.50E+00;5.00E+00;4.70;;;0.84;0.02
Madiger Kalk;MK3;1.25E+00;2.50E+00;2.44;;;0.85;0.11
Madiger Kalk;MK4;6.30E-01;1.25E+00;1.16;;;0.86;0.04
Madiger Kalk;MK5;3.15E-01;6.30E-01;0.54;;;0.85;0.03
Madiger Kalk;MK6;1.00E-01;3.15E-01;0.21;0.89;0.90;0.89;0.05
Madiger Kalk;MK7;6.30E-02;1.00E-01;0.082;0.91;0.91;0.91;0.03
Madiger Kalk;MK8;0.00E+00;6.30E-02;0.032;0.90;0.89;0.90;0.05
Wellenkalk;WK1;5.00E+00;1.00E+01;8.86;;;0.85;0.04
Wellenkalk;WK2;2.50E+00;5.00E+00;4.75;;;0.85;0.06
Wellenkalk;WK3;1.25E+00;2.50E+00;2.43;;;0.85;0.06
Wellenkalk;WK4;6.30E-01;1.25E+00;1.18;;;0.86;0.04
Wellenkalk;WK5;3.15E-01;6.30E-01;0.57;;;0.85;0.02
Wellenkalk;WK6;1.00E-01;3.15E-01;0.21;0.89;0.86;0.88;0.06
Wellenkalk;WK7;6.30E-02;1.00E-01;0.082;0.88;0.89;0.89;0.05
Wellenkalk;WK8;0.00E+00;6.30E-02;0.032;0.89;0.90;0.89;0.05
Cotta Sandstone;ST1;5.00E+00;1.00E+01;8.33;;;0.86;0.04
Cotta Sandstone;ST2;2.50E+00;5.00E+00;4.71;;;0.82;0.06
Cotta Sandstone;ST3;1.25E+00;2.50E+00;2.41;;;0.82;0.06
Cotta Sandstone;ST4;6.30E-01;1.25E+00;1.10;;;0.87;0.05
Cotta Sandstone;ST5;3.15E-01;6.30E-01;0.53;;;0.85;0.10
Cotta Sandstone;ST6;1.00E-01;3.15E-01;0.21;0.903;0.881;0.89;0.05
Cotta Sandstone;ST7;6.30E-02;1.00E-01;0.082;0.907;0.908;0.91;0.05
Cotta Sandstone;ST8;0.00E+00;6.30E-02;0.032;0.893;0.892;0.89;0.07
