Jurakalk JK;diameter [mm];cross section [mm²];cross section [m²];height [mm];compressional strength [MPa];remarks;
sample 1;1.99E+01;3.12E+02;3.12E-04;1.36E+01;137.4;Single fracture event, each preceded by a small pre-fracture event;
sample 2;1.99E+01;3.10E+02;3.10E-04;1.32E+01;104.0;Single fracture event, each preceded by a small pre-fracture event;
average;;;;;121;;
range;;;;;17;;
;;;;;;;
;;;;;;;
Wellenkalk WK;diameter [mm];cross section [mm²];cross section [m²];height [mm];compressional strength [MPa];remarks;
sample 1;1.99E+01;3.09E+02;3.09E-04;1.32E+01;64.1;Two fracture events, each preceded by several smaller pre-fractures;
sample 2;1.98E+01;3.08E+02;3.08E-04;1.44E+01;54.0;Several fracture events, each preceded by several smaller pre-fractures;
average;;;;;59;;
range;;;;;5;;
;;;;;;;
;;;;;;;
Madiger Kalk MK;diameter [mm];cross section [mm²];cross section [m²];height [mm];compressional strength [MPa];remarks;
sample 1;1.98E+01;3.08E+02;3.08E-04;1.38E+01;45.4;Three fracture events, each preceded by several smaller pre-fractures;
sample 2;1.98E+01;3.06E+02;3.06E-04;1.37E+01;27.5;Two fracture events, each preceded by several smaller pre-fractures;
average;;;;;36;;
range;;;;;9;;
;;;;;;;
;;;;;;;
Schaumkalk SK;diameter [mm];cross section [mm²];cross section [m²];height [mm];compressional strength [MPa];remarks;
sample 1;1.99E+01;3.09E+02;3.09E-04;1.43E+01;6.5;Several fracture events, each preceded by several smaller pre-fractures;
sample 2;1.99E+01;3.10E+02;3.10E-04;1.43E+01;5.5;Several fracture events, each preceded by several smaller pre-fractures;
average;;;;;6;;
range;;;;;0;;
;;;;;;;
;;;;;;;
Cotta Sandstone ST;diameter [mm];cross section [mm²];cross section [m²];height [mm];compressional strength [MPa];remarks;
sample 1;1.99E+01;3.12E+02;3.12E-04;1.42E+01;47.6;Single fracture event, each preceded by a small pre-fracture event;
sample 2;2.00E+01;3.13E+02;3.13E-04;1.41E+01;45.2;Several fracture events, each preceded by several smaller pre-fractures;
average;;;;;46;;
range;;;;;1;;
