rock;particle size class;PHI_ep analysis 1;PHI_ep analysis 2;PHI_ep mean;PHI_ep variation
Jurakalk;JK2;0.0386;0.0401;0.039;0.001
Jurakalk;JK3;0.0366;0.0396;0.038;0.002
Jurakalk;JK4;0.0430;0.0435;0.043;0.000
Jurakalk;JK5;0.0663;0.0722;0.069;0.003
Jurakalk;JK6;0.2673;0.2571;0.262;0.005
Schaumkalk;SK1;0.1262;0.1262;0.126;0.000
Schaumkalk;SK2;0.0987;0.0722;0.085;0.013
Schaumkalk;SK3;0.0310;0.0675;0.049;0.018
Schaumkalk;SK4;0.0600;0.0532;0.057;0.003
Schaumkalk;SK5;0.0679;0.0677;0.068;0.000
Schaumkalk;SK6;0.2230;0.0893;0.156;0.067
Madiger Kalk;MK1;0.1598;0.1587;0.159;0.001
Madiger Kalk;MK2;0.1614;0.1693;0.165;0.004
Madiger Kalk;MK3;0.1374;0.1344;0.136;0.002
Madiger Kalk;MK4;0.1328;0.1397;0.136;0.003
Madiger Kalk;MK5;0.1743;0.1614;0.168;0.006
Madiger Kalk;MK6;0.2763;0.2811;0.279;0.002
Wellenkalk;WK2;0.0406;0.0403;0.040;0.000
Wellenkalk;WK3;0.0528;0.0501;0.051;0.001
Wellenkalk;WK4;0.0759;0.0103;0.043;0.033
Wellenkalk;WK5;0.1193;0.1120;0.116;0.004
Wellenkalk;WK7;0.3875;0.3426;0.365;0.022
Cotta Sandstone;ST1;0.2053;0.2083;0.207;0.002
Cotta Sandstone;ST2;0.2024;0.1981;0.200;0.002
Cotta Sandstone;ST3;0.1879;0.1851;0.187;0.001
Cotta Sandstone;ST4;0.1716;0.2810;0.226;0.055
Cotta Sandstone;ST5;0.1530;0.2262;0.190;0.037
