plug pore throat radius [µm];plug dV/dlog(d) [cc/g];WK2 pore throat radius [µm];WK2 dV/dlog(d) [cc/g];WK3 pore throat radius [µm];WK3 dV/dlog(d) [cc/g];WK7 pore throat radius [µm];WK7 dV/dlog(d) [cc/g]*
1.795E-03;3.002E-07;1.785E-03;0.000E+00;1.788E-03;0.000E+00;1.784E-03;0.000E+00
1.806E-03;2.573E-07;1.801E-03;0.000E+00;1.804E-03;0.000E+00;1.802E-03;0.000E+00
1.817E-03;2.252E-07;1.812E-03;0.000E+00;1.815E-03;0.000E+00;1.815E-03;0.000E+00
1.827E-03;2.002E-07;1.822E-03;0.000E+00;1.825E-03;0.000E+00;1.826E-03;0.000E+00
1.838E-03;1.801E-07;1.833E-03;0.000E+00;1.835E-03;0.000E+00;1.838E-03;0.000E+00
1.849E-03;1.638E-07;1.843E-03;0.000E+00;1.845E-03;0.000E+00;1.849E-03;0.000E+00
1.860E-03;1.324E-07;1.854E-03;0.000E+00;1.856E-03;0.000E+00;1.862E-03;0.000E+00
1.871E-03;9.945E-08;1.864E-03;0.000E+00;1.866E-03;0.000E+00;1.873E-03;0.000E+00
1.882E-03;6.623E-08;1.874E-03;0.000E+00;1.876E-03;0.000E+00;1.885E-03;0.000E+00
1.894E-03;3.309E-08;1.884E-03;0.000E+00;1.886E-03;0.000E+00;1.896E-03;0.000E+00
1.905E-03;0.000E+00;1.895E-03;0.000E+00;1.896E-03;0.000E+00;1.908E-03;0.000E+00
1.917E-03;0.000E+00;1.905E-03;0.000E+00;1.906E-03;0.000E+00;1.920E-03;0.000E+00
1.929E-03;0.000E+00;1.916E-03;0.000E+00;1.917E-03;0.000E+00;1.932E-03;0.000E+00
1.940E-03;0.000E+00;1.926E-03;0.000E+00;1.927E-03;0.000E+00;1.944E-03;0.000E+00
1.953E-03;0.000E+00;1.937E-03;0.000E+00;1.938E-03;0.000E+00;1.956E-03;0.000E+00
1.965E-03;0.000E+00;1.948E-03;0.000E+00;1.949E-03;0.000E+00;1.969E-03;0.000E+00
1.977E-03;0.000E+00;1.959E-03;0.000E+00;1.960E-03;0.000E+00;1.981E-03;0.000E+00
1.990E-03;0.000E+00;1.970E-03;0.000E+00;1.971E-03;0.000E+00;1.994E-03;0.000E+00
2.002E-03;0.000E+00;1.981E-03;0.000E+00;1.981E-03;0.000E+00;2.006E-03;0.000E+00
2.015E-03;0.000E+00;1.992E-03;0.000E+00;1.993E-03;0.000E+00;2.019E-03;0.000E+00
2.028E-03;0.000E+00;2.003E-03;0.000E+00;2.004E-03;0.000E+00;2.032E-03;0.000E+00
2.041E-03;0.000E+00;2.014E-03;0.000E+00;2.015E-03;0.000E+00;2.045E-03;0.000E+00
