Calibration water sample:
mass [g]: 12.6680
volume [cm³]: 12.6882

T2 [s];calibration water sample intensity [a.u.];plug intensity [a.u.];WK2 intensity [a.u.];WK3 intensity [a.u.];WK7 intensity [a.u.]
2.787E-05;2.244E-02;2.122E-05;4.316E-05;3.743E-05;0.000E+00
3.698E-05;3.813E-01;9.782E-04;1.990E-03;1.725E-03;0.000E+00
4.753E-05;2.604E+00;1.317E-02;2.679E-02;2.323E-02;0.000E+00
4.973E-05;3.509E+00;1.974E-02;4.014E-02;3.480E-02;0.000E+00
5.000E-05;3.633E+00;2.069E-02;4.208E-02;3.648E-02;0.000E+00
5.787E-05;8.660E+00;6.729E-02;1.369E-01;1.186E-01;0.000E+00
6.698E-05;1.828E+01;1.865E-01;3.794E-01;3.284E-01;0.000E+00
7.753E-05;3.470E+01;4.506E-01;9.164E-01;7.915E-01;0.000E+00
8.973E-05;5.994E+01;9.674E-01;1.967E+00;1.692E+00;0.000E+00
1.000E-04;8.510E+01;1.595E+00;3.244E+00;2.777E+00;0.000E+00
2.787E-04;3.635E+02;2.948E+01;5.871E+01;4.322E+01;0.000E+00
3.698E-04;2.814E+02;4.637E+01;8.931E+01;6.250E+01;0.000E+00
4.753E-04;1.116E+02;6.467E+01;1.182E+02;8.102E+01;6.268E+00
4.973E-04;7.200E+01;6.829E+01;1.233E+02;8.453E+01;2.132E+01
5.000E-04;6.711E+01;6.873E+01;1.239E+02;8.495E+01;2.315E+01
5.787E-04;0.000E+00;8.110E+01;1.399E+02;9.675E+01;7.409E+01
6.698E-04;0.000E+00;9.444E+01;1.546E+02;1.094E+02;1.246E+02
7.753E-04;0.000E+00;1.087E+02;1.676E+02;1.230E+02;1.702E+02
8.973E-04;0.000E+00;1.238E+02;1.787E+02;1.375E+02;2.071E+02
1.039E-03;0.000E+00;1.396E+02;1.880E+02;1.528E+02;2.319E+02
1.202E-03;0.000E+00;1.561E+02;1.956E+02;1.685E+02;2.408E+02
1.391E-03;0.000E+00;1.728E+02;2.017E+02;1.840E+02;2.288E+02
1.610E-03;0.000E+00;1.895E+02;2.064E+02;1.986E+02;1.894E+02
