rock;fraction;σ'pac [S/m];σ''pac [S/m];σw [S/m]
Jurakalk;JK2;8.11E-03;2.97E-06;2.94E-02
Jurakalk;JK3;7.94E-03;2.02E-06;3.06E-02
Jurakalk;JK4;8.35E-03;2.04E-06;2.98E-02
Jurakalk;JK5;8.23E-03;1.96E-06;3.02E-02
Jurakalk;JK6;1.04E-02;4.71E-06;3.38E-02
Jurakalk;JK7;1.30E-02;4.81E-06;3.11E-02
Jurakalk;JK8;1.03E-02;3.03E-06;3.05E-02
Schaumkalk;SK2;3.62E-02;1.54E-05;8.70E-02
Schaumkalk;SK3;2.71E-02;1.67E-05;7.14E-02
Schaumkalk;SK4;3.16E-02;1.41E-05;7.07E-02
Schaumkalk;SK5;2.88E-02;1.67E-05;7.08E-02
Schaumkalk;SK6;6.12E-02;2.90E-05;1.24E-01
Schaumkalk;SK7;4.27E-02;2.47E-05;1.17E-01
Schaumkalk;SK8;4.95E-02;3.55E-05;9.97E-02
Madiger Kalk;MK1;2.05E-02;7.56E-05;5.50E-02
Madiger Kalk;MK2;2.23E-02;4.61E-05;5.48E-02
Madiger Kalk;MK3;1.24E-02;5.44E-05;3.08E-02
Madiger Kalk;MK4;2.66E-02;5.08E-05;6.51E-02
Madiger Kalk;MK5;1.26E-02;4.34E-05;3.04E-02
Madiger Kalk;MK6;2.39E-02;4.99E-05;5.65E-02
Madiger Kalk;MK7;2.67E-02;6.74E-05;4.95E-02
Madiger Kalk;MK8;2.87E-02;7.37E-05;7.54E-02
Wellenkalk;WK1;1.84E-02;3.94E-05;2.86E-02
Wellenkalk;WK2;1.73E-02;4.13E-05;3.70E-02
Wellenkalk;WK3;1.40E-02;3.10E-05;2.66E-02
Wellenkalk;WK4;1.96E-02;6.12E-05;2.81E-02
Wellenkalk;WK5;1.96E-02;8.20E-05;2.80E-02
Wellenkalk;WK6;2.36E-02;1.04E-04;3.00E-02
Wellenkalk;WK7;2.55E-02;1.87E-04;2.90E-02
Wellenkalk;WK8;2.85E-02;9.96E-05;3.07E-02
Cotta Sandstone;ST1;1.28E-02;5.54E-05;3.42E-02
Cotta Sandstone;ST2;1.35E-02;5.66E-05;3.33E-02
Cotta Sandstone;ST3;1.41E-02;5.01E-05;3.15E-02
Cotta Sandstone;ST4;1.18E-02;5.00E-05;3.14E-02
Cotta Sandstone;ST5;1.58E-02;4.57E-05;3.30E-02
