;Jurakalk JK;;Madiger Kalk MK;;Cotta Sandstone ST;;Schaumkalk SK;;Wellenkalk WK;
frequency;resistivity magnitude [Ohm-m];phase [mrad];resistivity magnitude [Ohm-m];phase [mrad];resistivity magnitude [Ohm-m];phase [mrad];resistivity magnitude [Ohm-m];phase [mrad];resistivity magnitude [Ohm-m];phase [mrad]
1.431E-03;NaN;NaN;5.687E+02;-5.520E+00;2.524E+02;-3.413E+00;2.587E+02;-9.486E-01;5.155E+02;-4.267E+00
2.861E-03;NaN;NaN;5.671E+02;-6.596E+00;2.474E+02;-5.047E+00;2.588E+02;-9.004E-01;5.152E+02;-4.268E+00
5.722E-03;8.209E+03;-5.586E-01;5.653E+02;-7.651E+00;2.444E+02;-7.607E+00;2.589E+02;-9.328E-01;5.147E+02;-4.542E+00
1.144E-02;8.186E+03;-7.332E-01;5.632E+02;-8.873E+00;2.426E+02;-1.098E+01;2.590E+02;-9.861E-01;5.139E+02;-4.869E+00
2.289E-02;8.173E+03;-8.036E-01;5.609E+02;-1.001E+01;2.407E+02;-1.437E+01;2.589E+02;-1.119E+00;5.129E+02;-5.295E+00
4.578E-02;8.163E+03;-9.893E-01;5.583E+02;-1.119E+01;2.386E+02;-1.745E+01;2.588E+02;-1.236E+00;5.117E+02;-5.744E+00
9.155E-02;8.157E+03;-1.163E+00;5.554E+02;-1.237E+01;2.364E+02;-1.961E+01;2.587E+02;-1.406E+00;5.104E+02;-6.200E+00
1.831E-01;8.150E+03;-1.400E+00;5.522E+02;-1.352E+01;2.340E+02;-2.080E+01;2.585E+02;-1.580E+00;5.090E+02;-6.639E+00
3.662E-01;8.145E+03;-1.653E+00;5.487E+02;-1.469E+01;2.317E+02;-2.109E+01;2.584E+02;-1.775E+00;5.074E+02;-7.004E+00
7.324E-01;8.138E+03;-1.975E+00;5.450E+02;-1.569E+01;2.294E+02;-2.056E+01;2.582E+02;-2.005E+00;5.058E+02;-7.270E+00
1.465E+00;8.131E+03;-2.423E+00;5.410E+02;-1.651E+01;2.273E+02;-1.937E+01;2.579E+02;-2.214E+00;5.041E+02;-7.465E+00
2.930E+00;8.123E+03;-3.071E+00;5.369E+02;-1.704E+01;2.254E+02;-1.784E+01;2.577E+02;-2.395E+00;5.025E+02;-7.566E+00
5.859E+00;8.113E+03;-4.074E+00;5.328E+02;-1.733E+01;2.237E+02;-1.622E+01;2.574E+02;-2.515E+00;5.007E+02;-7.728E+00
1.172E+01;8.102E+03;-5.718E+00;5.286E+02;-1.739E+01;2.222E+02;-1.475E+01;2.571E+02;-2.607E+00;4.991E+02;-7.950E+00
2.344E+01;8.089E+03;-8.553E+00;5.246E+02;-1.724E+01;2.209E+02;-1.356E+01;2.568E+02;-2.647E+00;4.974E+02;-8.261E+00
4.688E+01;8.072E+03;-1.355E+01;5.208E+02;-1.727E+01;2.196E+02;-1.272E+01;2.565E+02;-2.685E+00;4.957E+02;-8.823E+00
9.375E+01;8.049E+03;-2.283E+01;5.169E+02;-1.766E+01;2.185E+02;-1.228E+01;2.562E+02;-3.012E+00;4.940E+02;-1.004E+01
1.875E+02;8.018E+03;-3.996E+01;5.133E+02;-1.860E+01;2.174E+02;-1.225E+01;2.560E+02;-3.673E+00;4.921E+02;-1.228E+01
3.750E+02;7.970E+03;-7.268E+01;5.095E+02;-2.069E+01;2.164E+02;-1.279E+01;2.558E+02;-5.081E+00;4.903E+02;-1.646E+01
7.500E+02;7.873E+03;-1.354E+02;5.058E+02;-2.519E+01;2.153E+02;-1.423E+01;2.555E+02;-8.338E+00;4.882E+02;-2.438E+01
1.500E+03;7.620E+03;-2.535E+02;5.021E+02;-3.437E+01;2.142E+02;-1.689E+01;2.552E+02;-1.415E+01;4.856E+02;-3.889E+01
3.000E+03;6.954E+03;-4.574E+02;4.983E+02;-5.115E+01;2.131E+02;-2.349E+01;2.549E+02;-2.674E+01;4.822E+02;-6.717E+01
6.000E+03;5.528E+03;-7.516E+02;4.934E+02;-8.643E+01;2.121E+02;-3.358E+01;2.542E+02;-5.059E+01;4.769E+02;-1.221E+02
1.200E+04;3.605E+03;-1.053E+03;4.855E+02;-1.568E+02;2.114E+02;-5.820E+01;2.526E+02;-9.674E+01;4.667E+02;-2.250E+02
2.000E+04;2.376E+03;-1.218E+03;4.740E+02;-2.395E+02;2.117E+02;-8.407E+01;2.502E+02;-1.559E+02;4.516E+02;-3.499E+02
