frame,time_s,time_h,mechanism,frequency_hz,sigma_real_s_m,sigma_imag_s_m,residual_norm,solve_height_px,solve_width_px,downsample,water_sigma_real_s_m,water_sigma_imag_s_m,solid_sigma_real_s_m,solid_sigma_imag_s_m
1,1.0,0.0002777777777777778,maxwell,1.0,0.0066356195244329464,2.859375813463055e-09,2.1953872224657584e-15,53,144,8,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
1,1.0,0.0002777777777777778,maxwell,2.5,0.006635619524455996,7.148439533672675e-09,2.007932513291969e-15,53,144,8,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
1,1.0,0.0002777777777777778,maxwell,10.0,0.006635619524451981,2.8593758134661907e-08,1.972733812549763e-15,53,144,8,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
1,1.0,0.0002777777777777778,maxwell,100.0,0.0066356195248494475,2.8593758133124805e-07,2.3734281301444254e-15,53,144,8,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
1,1.0,0.0002777777777777778,maxwell,1000.0,0.0066356195616825145,2.859375797763e-06,2.103828501715696e-15,53,144,8,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
1,1.0,0.0002777777777777778,maxwell,10000.0,0.006635623248863431,2.859374243144979e-05,2.157435587071717e-15,53,144,8,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
1,1.0,0.0002777777777777778,grain,1.0,0.006635623961884865,4.437424809984853e-08,1.9739762094329846e-15,53,144,8,0.013000008693480782,8.693480782186744e-08,1e-08,0.0
1,1.0,0.0002777777777777778,grain,2.5,0.006635645888009192,1.0545409548504971e-07,1.9999356612215064e-15,53,144,8,0.01300005164950347,2.065980138825556e-07,1e-08,0.0
1,1.0,0.0002777777777777778,grain,10.0,0.006635843614369144,2.2408995290290525e-07,1.9749051464107883e-15,53,144,8,0.0130004390207795,4.3902077950043066e-07,1e-08,0.0
1,1.0,0.0002777777777777778,grain,100.0,0.006636063266933166,4.437424810002245e-08,2.0908066214840016e-15,53,144,8,0.013000869348078217,8.693480782186747e-08,1e-08,0.0
1,1.0,0.0002777777777777778,grain,1000.0,0.006636067659556649,4.48135092299912e-09,1.9160035395158147e-15,53,144,8,0.013000877953763625,8.77953763624499e-09,1e-08,0.0
1,1.0,0.0002777777777777778,grain,10000.0,0.006636067703911772,4.4817945763121185e-10,2.0718818373861277e-15,53,144,8,0.013000878040680959,8.780406809601803e-10,1e-08,0.0
1,1.0,0.0002777777777777778,all,1.0,0.006635623961855426,4.723362391346069e-08,2.111333065535054e-15,53,144,8,0.013000008693480782,9.138330301935059e-08,1e-08,4.726526147325844e-10
1,1.0,0.0002777777777777778,all,2.5,0.006635645887948629,1.1260253501791178e-07,2.0459785569174767e-15,53,144,8,0.01300005164950347,2.1771925187626347e-07,1e-08,1.1816315368314611e-09
1,1.0,0.0002777777777777778,all,10.0,0.0066358436144244295,2.5268371103916974e-07,1.992555797969039e-15,53,144,8,0.0130004390207795,4.835057314752622e-07,1e-08,4.7265261473258444e-09
1,1.0,0.0002777777777777778,all,100.0,0.006636063267300319,3.3031182943892317e-07,2.1452416100825155e-15,53,144,8,0.013000869348078217,5.317843275701823e-07,1e-08,4.7265261473258444e-08
1,1.0,0.0002777777777777778,all,1000.0,0.006636067696798047,2.8638571487683273e-06,2.0430135292683147e-15,53,144,8,0.013000877953763625,4.457274735119392e-06,1e-08,4.726526147325844e-07
1,1.0,0.0002777777777777778,all,10000.0,0.006636071428044377,2.859419061390208e-05,1.941216679955255e-15,53,144,8,0.013000878040680959,4.448583001551244e-05,1e-08,4.726526147325844e-06
2,2.0,0.0005555555555555556,maxwell,1.0,0.0066356195244329464,2.859375813463055e-09,2.1953872224657584e-15,53,144,8,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
2,2.0,0.0005555555555555556,maxwell,2.5,0.006635619524455996,7.148439533672675e-09,2.007932513291969e-15,53,144,8,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
2,2.0,0.0005555555555555556,maxwell,10.0,0.006635619524451981,2.8593758134661907e-08,1.972733812549763e-15,53,144,8,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
2,2.0,0.0005555555555555556,maxwell,100.0,0.0066356195248494475,2.8593758133124805e-07,2.3734281301444254e-15,53,144,8,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
2,2.0,0.0005555555555555556,maxwell,1000.0,0.0066356195616825145,2.859375797763e-06,2.103828501715696e-15,53,144,8,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
2,2.0,0.0005555555555555556,maxwell,10000.0,0.006635623248863431,2.859374243144979e-05,2.157435587071717e-15,53,144,8,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
2,2.0,0.0005555555555555556,grain,1.0,0.006635623961884865,4.437424809984853e-08,1.9739762094329846e-15,53,144,8,0.013000008693480782,8.693480782186744e-08,1e-08,0.0
2,2.0,0.0005555555555555556,grain,2.5,0.006635645888009192,1.0545409548504971e-07,1.9999356612215064e-15,53,144,8,0.01300005164950347,2.065980138825556e-07,1e-08,0.0
2,2.0,0.0005555555555555556,grain,10.0,0.006635843614369144,2.2408995290290525e-07,1.9749051464107883e-15,53,144,8,0.0130004390207795,4.3902077950043066e-07,1e-08,0.0
2,2.0,0.0005555555555555556,grain,100.0,0.006636063266933166,4.437424810002245e-08,2.0908066214840016e-15,53,144,8,0.013000869348078217,8.693480782186747e-08,1e-08,0.0
2,2.0,0.0005555555555555556,grain,1000.0,0.006636067659556649,4.48135092299912e-09,1.9160035395158147e-15,53,144,8,0.013000877953763625,8.77953763624499e-09,1e-08,0.0
2,2.0,0.0005555555555555556,grain,10000.0,0.006636067703911772,4.4817945763121185e-10,2.0718818373861277e-15,53,144,8,0.013000878040680959,8.780406809601803e-10,1e-08,0.0
2,2.0,0.0005555555555555556,all,1.0,0.006635623961855426,4.723362391346069e-08,2.111333065535054e-15,53,144,8,0.013000008693480782,9.138330301935059e-08,1e-08,4.726526147325844e-10
2,2.0,0.0005555555555555556,all,2.5,0.006635645887948629,1.1260253501791178e-07,2.0459785569174767e-15,53,144,8,0.01300005164950347,2.1771925187626347e-07,1e-08,1.1816315368314611e-09
2,2.0,0.0005555555555555556,all,10.0,0.0066358436144244295,2.5268371103916974e-07,1.992555797969039e-15,53,144,8,0.0130004390207795,4.835057314752622e-07,1e-08,4.7265261473258444e-09
2,2.0,0.0005555555555555556,all,100.0,0.006636063267300319,3.3031182943892317e-07,2.1452416100825155e-15,53,144,8,0.013000869348078217,5.317843275701823e-07,1e-08,4.7265261473258444e-08
2,2.0,0.0005555555555555556,all,1000.0,0.006636067696798047,2.8638571487683273e-06,2.0430135292683147e-15,53,144,8,0.013000877953763625,4.457274735119392e-06,1e-08,4.726526147325844e-07
2,2.0,0.0005555555555555556,all,10000.0,0.006636071428044377,2.859419061390208e-05,1.941216679955255e-15,53,144,8,0.013000878040680959,4.448583001551244e-05,1e-08,4.726526147325844e-06
3,4.0,0.0011111111111111111,maxwell,1.0,0.0066356195244329464,2.859375813463055e-09,2.1953872224657584e-15,53,144,8,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
3,4.0,0.0011111111111111111,maxwell,2.5,0.006635619524455996,7.148439533672675e-09,2.007932513291969e-15,53,144,8,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
3,4.0,0.0011111111111111111,maxwell,10.0,0.006635619524451981,2.8593758134661907e-08,1.972733812549763e-15,53,144,8,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
3,4.0,0.0011111111111111111,maxwell,100.0,0.0066356195248494475,2.8593758133124805e-07,2.3734281301444254e-15,53,144,8,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
3,4.0,0.0011111111111111111,maxwell,1000.0,0.0066356195616825145,2.859375797763e-06,2.103828501715696e-15,53,144,8,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
3,4.0,0.0011111111111111111,maxwell,10000.0,0.006635623248863431,2.859374243144979e-05,2.157435587071717e-15,53,144,8,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
3,4.0,0.0011111111111111111,grain,1.0,0.006635623961884865,4.437424809984853e-08,1.9739762094329846e-15,53,144,8,0.013000008693480782,8.693480782186744e-08,1e-08,0.0
3,4.0,0.0011111111111111111,grain,2.5,0.006635645888009192,1.0545409548504971e-07,1.9999356612215064e-15,53,144,8,0.01300005164950347,2.065980138825556e-07,1e-08,0.0
3,4.0,0.0011111111111111111,grain,10.0,0.006635843614369144,2.2408995290290525e-07,1.9749051464107883e-15,53,144,8,0.0130004390207795,4.3902077950043066e-07,1e-08,0.0
3,4.0,0.0011111111111111111,grain,100.0,0.006636063266933166,4.437424810002245e-08,2.0908066214840016e-15,53,144,8,0.013000869348078217,8.693480782186747e-08,1e-08,0.0
3,4.0,0.0011111111111111111,grain,1000.0,0.006636067659556649,4.48135092299912e-09,1.9160035395158147e-15,53,144,8,0.013000877953763625,8.77953763624499e-09,1e-08,0.0
3,4.0,0.0011111111111111111,grain,10000.0,0.006636067703911772,4.4817945763121185e-10,2.0718818373861277e-15,53,144,8,0.013000878040680959,8.780406809601803e-10,1e-08,0.0
3,4.0,0.0011111111111111111,all,1.0,0.006635623961855426,4.723362391346069e-08,2.111333065535054e-15,53,144,8,0.013000008693480782,9.138330301935059e-08,1e-08,4.726526147325844e-10
3,4.0,0.0011111111111111111,all,2.5,0.006635645887948629,1.1260253501791178e-07,2.0459785569174767e-15,53,144,8,0.01300005164950347,2.1771925187626347e-07,1e-08,1.1816315368314611e-09
3,4.0,0.0011111111111111111,all,10.0,0.0066358436144244295,2.5268371103916974e-07,1.992555797969039e-15,53,144,8,0.0130004390207795,4.835057314752622e-07,1e-08,4.7265261473258444e-09
3,4.0,0.0011111111111111111,all,100.0,0.006636063267300319,3.3031182943892317e-07,2.1452416100825155e-15,53,144,8,0.013000869348078217,5.317843275701823e-07,1e-08,4.7265261473258444e-08
3,4.0,0.0011111111111111111,all,1000.0,0.006636067696798047,2.8638571487683273e-06,2.0430135292683147e-15,53,144,8,0.013000877953763625,4.457274735119392e-06,1e-08,4.726526147325844e-07
3,4.0,0.0011111111111111111,all,10000.0,0.006636071428044377,2.859419061390208e-05,1.941216679955255e-15,53,144,8,0.013000878040680959,4.448583001551244e-05,1e-08,4.726526147325844e-06
4,8.0,0.0022222222222222222,maxwell,1.0,0.0066356195244329464,2.859375813463055e-09,2.1953872224657584e-15,53,144,8,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
4,8.0,0.0022222222222222222,maxwell,2.5,0.006635619524455996,7.148439533672675e-09,2.007932513291969e-15,53,144,8,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
4,8.0,0.0022222222222222222,maxwell,10.0,0.006635619524451981,2.8593758134661907e-08,1.972733812549763e-15,53,144,8,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
4,8.0,0.0022222222222222222,maxwell,100.0,0.0066356195248494475,2.8593758133124805e-07,2.3734281301444254e-15,53,144,8,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
4,8.0,0.0022222222222222222,maxwell,1000.0,0.0066356195616825145,2.859375797763e-06,2.103828501715696e-15,53,144,8,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
4,8.0,0.0022222222222222222,maxwell,10000.0,0.006635623248863431,2.859374243144979e-05,2.157435587071717e-15,53,144,8,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
4,8.0,0.0022222222222222222,grain,1.0,0.006635623961884865,4.437424809984853e-08,1.9739762094329846e-15,53,144,8,0.013000008693480782,8.693480782186744e-08,1e-08,0.0
4,8.0,0.0022222222222222222,grain,2.5,0.006635645888009192,1.0545409548504971e-07,1.9999356612215064e-15,53,144,8,0.01300005164950347,2.065980138825556e-07,1e-08,0.0
4,8.0,0.0022222222222222222,grain,10.0,0.006635843614369144,2.2408995290290525e-07,1.9749051464107883e-15,53,144,8,0.0130004390207795,4.3902077950043066e-07,1e-08,0.0
4,8.0,0.0022222222222222222,grain,100.0,0.006636063266933166,4.437424810002245e-08,2.0908066214840016e-15,53,144,8,0.013000869348078217,8.693480782186747e-08,1e-08,0.0
4,8.0,0.0022222222222222222,grain,1000.0,0.006636067659556649,4.48135092299912e-09,1.9160035395158147e-15,53,144,8,0.013000877953763625,8.77953763624499e-09,1e-08,0.0
4,8.0,0.0022222222222222222,grain,10000.0,0.006636067703911772,4.4817945763121185e-10,2.0718818373861277e-15,53,144,8,0.013000878040680959,8.780406809601803e-10,1e-08,0.0
4,8.0,0.0022222222222222222,all,1.0,0.006635623961855426,4.723362391346069e-08,2.111333065535054e-15,53,144,8,0.013000008693480782,9.138330301935059e-08,1e-08,4.726526147325844e-10
4,8.0,0.0022222222222222222,all,2.5,0.006635645887948629,1.1260253501791178e-07,2.0459785569174767e-15,53,144,8,0.01300005164950347,2.1771925187626347e-07,1e-08,1.1816315368314611e-09
