frame,frequency_hz,mechanism,water_sigma_real_s_m,water_sigma_imag_s_m,solid_sigma_real_s_m,solid_sigma_imag_s_m
1,1.0,maxwell,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
1,2.5,maxwell,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
1,10.0,maxwell,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
1,100.0,maxwell,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
1,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
1,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
1,1.0,grain,0.013000008693480782,8.693480782186744e-08,1e-08,0.0
1,2.5,grain,0.01300005164950347,2.065980138825556e-07,1e-08,0.0
1,10.0,grain,0.0130004390207795,4.3902077950043066e-07,1e-08,0.0
1,100.0,grain,0.013000869348078217,8.693480782186747e-08,1e-08,0.0
1,1000.0,grain,0.013000877953763625,8.77953763624499e-09,1e-08,0.0
1,10000.0,grain,0.013000878040680959,8.780406809601803e-10,1e-08,0.0
1,1.0,all,0.013000008693480782,9.138330301935059e-08,1e-08,4.726526147325844e-10
1,2.5,all,0.01300005164950347,2.1771925187626347e-07,1e-08,1.1816315368314611e-09
1,10.0,all,0.0130004390207795,4.835057314752622e-07,1e-08,4.7265261473258444e-09
1,100.0,all,0.013000869348078217,5.317843275701823e-07,1e-08,4.7265261473258444e-08
1,1000.0,all,0.013000877953763625,4.457274735119392e-06,1e-08,4.726526147325844e-07
1,10000.0,all,0.013000878040680959,4.448583001551244e-05,1e-08,4.726526147325844e-06
2,1.0,maxwell,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
2,2.5,maxwell,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
2,10.0,maxwell,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
2,100.0,maxwell,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
2,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
2,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
2,1.0,grain,0.013000008693480782,8.693480782186744e-08,1e-08,0.0
2,2.5,grain,0.01300005164950347,2.065980138825556e-07,1e-08,0.0
2,10.0,grain,0.0130004390207795,4.3902077950043066e-07,1e-08,0.0
2,100.0,grain,0.013000869348078217,8.693480782186747e-08,1e-08,0.0
2,1000.0,grain,0.013000877953763625,8.77953763624499e-09,1e-08,0.0
2,10000.0,grain,0.013000878040680959,8.780406809601803e-10,1e-08,0.0
2,1.0,all,0.013000008693480782,9.138330301935059e-08,1e-08,4.726526147325844e-10
2,2.5,all,0.01300005164950347,2.1771925187626347e-07,1e-08,1.1816315368314611e-09
2,10.0,all,0.0130004390207795,4.835057314752622e-07,1e-08,4.7265261473258444e-09
2,100.0,all,0.013000869348078217,5.317843275701823e-07,1e-08,4.7265261473258444e-08
2,1000.0,all,0.013000877953763625,4.457274735119392e-06,1e-08,4.726526147325844e-07
2,10000.0,all,0.013000878040680959,4.448583001551244e-05,1e-08,4.726526147325844e-06
3,1.0,maxwell,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
3,2.5,maxwell,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
3,10.0,maxwell,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
3,100.0,maxwell,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
3,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
3,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
3,1.0,grain,0.013000008693480782,8.693480782186744e-08,1e-08,0.0
3,2.5,grain,0.01300005164950347,2.065980138825556e-07,1e-08,0.0
3,10.0,grain,0.0130004390207795,4.3902077950043066e-07,1e-08,0.0
3,100.0,grain,0.013000869348078217,8.693480782186747e-08,1e-08,0.0
3,1000.0,grain,0.013000877953763625,8.77953763624499e-09,1e-08,0.0
3,10000.0,grain,0.013000878040680959,8.780406809601803e-10,1e-08,0.0
3,1.0,all,0.013000008693480782,9.138330301935059e-08,1e-08,4.726526147325844e-10
3,2.5,all,0.01300005164950347,2.1771925187626347e-07,1e-08,1.1816315368314611e-09
3,10.0,all,0.0130004390207795,4.835057314752622e-07,1e-08,4.7265261473258444e-09
3,100.0,all,0.013000869348078217,5.317843275701823e-07,1e-08,4.7265261473258444e-08
3,1000.0,all,0.013000877953763625,4.457274735119392e-06,1e-08,4.726526147325844e-07
3,10000.0,all,0.013000878040680959,4.448583001551244e-05,1e-08,4.726526147325844e-06
4,1.0,maxwell,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
4,2.5,maxwell,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
4,10.0,maxwell,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
4,100.0,maxwell,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
4,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
4,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
4,1.0,grain,0.013000008693480782,8.693480782186744e-08,1e-08,0.0
4,2.5,grain,0.01300005164950347,2.065980138825556e-07,1e-08,0.0
4,10.0,grain,0.0130004390207795,4.3902077950043066e-07,1e-08,0.0
4,100.0,grain,0.013000869348078217,8.693480782186747e-08,1e-08,0.0
4,1000.0,grain,0.013000877953763625,8.77953763624499e-09,1e-08,0.0
4,10000.0,grain,0.013000878040680959,8.780406809601803e-10,1e-08,0.0
4,1.0,all,0.013000008693480782,9.138330301935059e-08,1e-08,4.726526147325844e-10
4,2.5,all,0.01300005164950347,2.1771925187626347e-07,1e-08,1.1816315368314611e-09
4,10.0,all,0.0130004390207795,4.835057314752622e-07,1e-08,4.7265261473258444e-09
4,100.0,all,0.013000869348078217,5.317843275701823e-07,1e-08,4.7265261473258444e-08
4,1000.0,all,0.013000877953763625,4.457274735119392e-06,1e-08,4.726526147325844e-07
4,10000.0,all,0.013000878040680959,4.448583001551244e-05,1e-08,4.726526147325844e-06
5,1.0,maxwell,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
5,2.5,maxwell,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
5,10.0,maxwell,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
5,100.0,maxwell,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
5,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
5,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
5,1.0,grain,0.013000008693480782,8.693480782186744e-08,1e-08,0.0
5,2.5,grain,0.01300005164950347,2.065980138825556e-07,1e-08,0.0
5,10.0,grain,0.0130004390207795,4.3902077950043066e-07,1e-08,0.0
5,100.0,grain,0.013000869348078217,8.693480782186747e-08,1e-08,0.0
5,1000.0,grain,0.013000877953763625,8.77953763624499e-09,1e-08,0.0
5,10000.0,grain,0.013000878040680959,8.780406809601803e-10,1e-08,0.0
5,1.0,all,0.013000008693480782,9.138330301935059e-08,1e-08,4.726526147325844e-10
5,2.5,all,0.01300005164950347,2.1771925187626347e-07,1e-08,1.1816315368314611e-09
5,10.0,all,0.0130004390207795,4.835057314752622e-07,1e-08,4.7265261473258444e-09
5,100.0,all,0.013000869348078217,5.317843275701823e-07,1e-08,4.7265261473258444e-08
5,1000.0,all,0.013000877953763625,4.457274735119392e-06,1e-08,4.726526147325844e-07
5,10000.0,all,0.013000878040680959,4.448583001551244e-05,1e-08,4.726526147325844e-06
6,1.0,maxwell,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
6,2.5,maxwell,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
6,10.0,maxwell,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
6,100.0,maxwell,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
6,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
6,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
6,1.0,grain,0.013000008693480782,8.693480782186744e-08,1e-08,0.0
6,2.5,grain,0.01300005164950347,2.065980138825556e-07,1e-08,0.0
6,10.0,grain,0.0130004390207795,4.3902077950043066e-07,1e-08,0.0
6,100.0,grain,0.013000869348078217,8.693480782186747e-08,1e-08,0.0
6,1000.0,grain,0.013000877953763625,8.77953763624499e-09,1e-08,0.0
6,10000.0,grain,0.013000878040680959,8.780406809601803e-10,1e-08,0.0
6,1.0,all,0.013000008693480782,9.138330301935059e-08,1e-08,4.726526147325844e-10
6,2.5,all,0.01300005164950347,2.1771925187626347e-07,1e-08,1.1816315368314611e-09
6,10.0,all,0.0130004390207795,4.835057314752622e-07,1e-08,4.7265261473258444e-09
6,100.0,all,0.013000869348078217,5.317843275701823e-07,1e-08,4.7265261473258444e-08
6,1000.0,all,0.013000877953763625,4.457274735119392e-06,1e-08,4.726526147325844e-07
6,10000.0,all,0.013000878040680959,4.448583001551244e-05,1e-08,4.726526147325844e-06
7,1.0,maxwell,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
7,2.5,maxwell,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
7,10.0,maxwell,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
7,100.0,maxwell,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
7,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
7,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
7,1.0,grain,0.013000008693480782,8.693480782186744e-08,1e-08,0.0
7,2.5,grain,0.01300005164950347,2.065980138825556e-07,1e-08,0.0
7,10.0,grain,0.0130004390207795,4.3902077950043066e-07,1e-08,0.0
7,100.0,grain,0.013000869348078217,8.693480782186747e-08,1e-08,0.0
7,1000.0,grain,0.013000877953763625,8.77953763624499e-09,1e-08,0.0
7,10000.0,grain,0.013000878040680959,8.780406809601803e-10,1e-08,0.0
7,1.0,all,0.013000008693480782,9.138330301935059e-08,1e-08,4.726526147325844e-10
7,2.5,all,0.01300005164950347,2.1771925187626347e-07,1e-08,1.1816315368314611e-09
7,10.0,all,0.0130004390207795,4.835057314752622e-07,1e-08,4.7265261473258444e-09
7,100.0,all,0.013000869348078217,5.317843275701823e-07,1e-08,4.7265261473258444e-08
7,1000.0,all,0.013000877953763625,4.457274735119392e-06,1e-08,4.726526147325844e-07
7,10000.0,all,0.013000878040680959,4.448583001551244e-05,1e-08,4.726526147325844e-06
8,1.0,maxwell,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
8,2.5,maxwell,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
8,10.0,maxwell,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
8,100.0,maxwell,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
8,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
8,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
8,1.0,grain,0.013000008693480782,8.693480782186744e-08,1e-08,0.0
8,2.5,grain,0.01300005164950347,2.065980138825556e-07,1e-08,0.0
8,10.0,grain,0.0130004390207795,4.3902077950043066e-07,1e-08,0.0
8,100.0,grain,0.013000869348078217,8.693480782186747e-08,1e-08,0.0
8,1000.0,grain,0.013000877953763625,8.77953763624499e-09,1e-08,0.0
8,10000.0,grain,0.013000878040680959,8.780406809601803e-10,1e-08,0.0
8,1.0,all,0.013000008693480782,9.138330301935059e-08,1e-08,4.726526147325844e-10
8,2.5,all,0.01300005164950347,2.1771925187626347e-07,1e-08,1.1816315368314611e-09
8,10.0,all,0.0130004390207795,4.835057314752622e-07,1e-08,4.7265261473258444e-09
8,100.0,all,0.013000869348078217,5.317843275701823e-07,1e-08,4.7265261473258444e-08
8,1000.0,all,0.013000877953763625,4.457274735119392e-06,1e-08,4.726526147325844e-07
8,10000.0,all,0.013000878040680959,4.448583001551244e-05,1e-08,4.726526147325844e-06
9,1.0,maxwell,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
9,2.5,maxwell,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
9,10.0,maxwell,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
9,100.0,maxwell,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
9,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
9,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
9,1.0,grain,0.01300000857861949,8.578619489855962e-08,1e-08,0.0
9,2.5,grain,0.013000050967092263,2.0386836905304758e-07,1e-08,0.0
9,10.0,grain,0.013000433220284238,4.3322028423772613e-07,1e-08,0.0
9,100.0,grain,0.013000857861948985,8.578619489855964e-08,1e-08,0.0
9,1000.0,grain,0.013000866353933082,8.663539330821442e-09,1e-08,0.0
9,10000.0,grain,0.013000866439702035,8.664397020357502e-10,1e-08,0.0
