time_h,paper_sigma_real_s_m,paper_sigma_imag_s_m,paper_cec_meq_g,series,our_sigma_real_s_m,our_sigma_imag_s_m,frame
0.0,0.243329955,0.039408235,0.015610335,paper_si_s02,,,
0.008333333,0.275320743,0.032558965,0.01291044,paper_si_s02,,,
0.050404531,0.259505388,0.024543778,0.009904798,paper_si_s02,,,
0.092475728,0.275313486,0.020171001,0.008298334,paper_si_s02,,,
0.134546926,0.290748223,0.019626233,0.00821542,paper_si_s02,,,
0.176618123,0.327398643,0.024240639,0.010326279,paper_si_s02,,,
0.21868932,0.362530785,0.029262418,0.012706609,paper_si_s02,,,
0.260760518,0.379420037,0.032355713,0.014423625,paper_si_s02,,,
0.302831715,0.375476509,0.032497203,0.015128396,paper_si_s02,,,
0.344902913,0.381632585,0.034549543,0.016752133,paper_si_s02,,,
0.38697411,0.387989819,0.03672237,0.01859352,paper_si_s02,,,
0.429045307,0.391639645,0.038185725,0.020186165,paper_si_s02,,,
0.471116505,0.399933998,0.040360092,0.02213465,paper_si_s02,,,
0.513187702,0.387056836,0.039252192,0.022383393,paper_si_s02,,,
0.5552589,0.394535757,0.041440666,0.024632442,paper_si_s02,,,
0.597330097,0.376345353,0.03959936,0.024546073,paper_si_s02,,,
0.639401294,0.38554705,0.042300972,0.027593171,paper_si_s02,,,
0.681472492,0.387061626,0.044032672,0.030374253,paper_si_s02,,,
0.723543689,0.360094359,0.043112273,0.033504266,paper_si_s02,,,
0.765614887,0.354778606,0.043457164,0.035988239,paper_si_s02,,,
0.807686084,0.344017555,0.042850731,0.037971271,paper_si_s02,,,
0.849757282,0.347614293,0.044318576,0.041688594,paper_si_s02,,,
0.891828479,0.340034616,0.043878386,0.043719993,paper_si_s02,,,
0.933899676,0.329666029,0.043260818,0.047378584,paper_si_s02,,,
0.975970874,0.328186089,0.043376091,0.050211487,paper_si_s02,,,
1.018042071,0.328040111,0.043767175,0.053168762,paper_si_s02,,,
1.060113269,0.318015491,0.042755119,0.055310714,paper_si_s02,,,
1.102184466,0.317544353,0.043335967,0.059560069,paper_si_s02,,,
1.144255663,0.312455047,0.043305823,0.064044348,paper_si_s02,,,
1.186326861,0.314092951,0.04392475,0.068604632,paper_si_s02,,,
1.228398058,0.309295774,0.043431434,0.070902047,paper_si_s02,,,
1.270469256,0.307065085,0.04333915,0.074097701,paper_si_s02,,,
1.312540453,0.296027305,0.041947026,0.076225833,paper_si_s02,,,
1.35461165,0.288139645,0.040941602,0.078022308,paper_si_s02,,,
1.396682848,0.281303067,0.039891862,0.07929366,paper_si_s02,,,
