frame,time_s,time_h,source_path,bbox_x0,bbox_y0,bbox_x1,bbox_y1,red_pixels,yellow_pixels,active_pixels,unknown_pixels_in_crop,width_px,height_px,dx_m,dy_m,water_area_m2,calcite_area_m2,active_area_m2,calcite_area_fraction,interface_length_m,calcite_equivalent_radius_m,pore_radius_mean_m,pore_radius_median_m,pore_radius_count,skeleton_length_m,throat_count,throat_length_mean_m,paper_phi,paper_sw,paper_sigma_w_s_m,paper_cec_meq_g,paper_qv_c_m3
1,1.0,0.0002777777777777778,C:\Users\imgw\Documents\Codex\论文复现\pore-scale-simulation-reproduction\organized_gpu_ac3d_reproduction_20260527\data\dissolution_results-Da_40.4424_Pe_4.1640_L_0.1200_square\interface_images\timestep_0001.png,193,217,1344,646,395956,99404,495360,0,1152,430,3.4722222222222224e-06,3.488372093023256e-06,4.795978682170543e-06,1.2040213178294574e-06,6e-06,0.20067021963824289,0.005268249354005168,0.0006190734113505056,0.00029207780703810774,0.00023381446348237387,1893,0.006588202519379845,732,9.00027666581946e-06,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
2,2.0,0.0005555555555555556,C:\Users\imgw\Documents\Codex\论文复现\pore-scale-simulation-reproduction\organized_gpu_ac3d_reproduction_20260527\data\dissolution_results-Da_40.4424_Pe_4.1640_L_0.1200_square\interface_images\timestep_0002.png,193,217,1344,646,395956,99404,495360,0,1152,430,3.4722222222222224e-06,3.488372093023256e-06,4.795978682170543e-06,1.2040213178294574e-06,6e-06,0.20067021963824289,0.005268249354005168,0.0006190734113505056,0.00029207780703810774,0.00023381446348237387,1893,0.006588202519379845,732,9.00027666581946e-06,0.710034951067459,1.0,0.02992655838113133,0.01543034199280028,1647676.9443180368
3,4.0,0.0011111111111111111,C:\Users\imgw\Documents\Codex\论文复现\pore-scale-simulation-reproduction\organized_gpu_ac3d_reproduction_20260527\data\dissolution_results-Da_40.4424_Pe_4.1640_L_0.1200_square\interface_images\timestep_0003.png,193,217,1344,646,395956,99404,495360,0,1152,430,3.4722222222222224e-06,3.488372093023256e-06,4.795978682170543e-06,1.2040213178294574e-06,6e-06,0.20067021963824289,0.005268249354005168,0.0006190734113505056,0.00029207780703810774,0.00023381446348237387,1893,0.006588202519379845,732,9.00027666581946e-06,0.710054759134918,1.0,0.05016241676226266,0.01525034898560056,1628300.3308615384
4,8.0,0.0022222222222222222,C:\Users\imgw\Documents\Codex\论文复现\pore-scale-simulation-reproduction\organized_gpu_ac3d_reproduction_20260527\data\dissolution_results-Da_40.4424_Pe_4.1640_L_0.1200_square\interface_images\timestep_0004.png,193,217,1344,646,395956,99404,495360,0,1152,430,3.4722222222222224e-06,3.488372093023256e-06,4.795978682170543e-06,1.2040213178294574e-06,6e-06,0.20067021963824289,0.005268249354005168,0.0006190734113505056,0.00029207780703810774,0.00023381446348237387,1893,0.006588202519379845,732,9.00027666581946e-06,0.710094375269836,1.0,0.09063413352452532,0.014890362971201119,1589558.2240580784
5,16.0,0.0044444444444444444,C:\Users\imgw\Documents\Codex\论文复现\pore-scale-simulation-reproduction\organized_gpu_ac3d_reproduction_20260527\data\dissolution_results-Da_40.4424_Pe_4.1640_L_0.1200_square\interface_images\timestep_0005.png,193,217,1344,646,395956,99404,495360,0,1152,430,3.4722222222222224e-06,3.488372093023256e-06,4.795978682170543e-06,1.2040213178294574e-06,6e-06,0.20067021963824289,0.005268249354005168,0.0006190734113505056,0.00029207780703810774,0.00023381446348237387,1893,0.006588202519379845,732,9.00027666581946e-06,0.710173607539672,1.0,0.11139799988736,0.014170390942402238,1512118.4822048072
6,32.0,0.008888888888888889,C:\Users\imgw\Documents\Codex\论文复现\pore-scale-simulation-reproduction\organized_gpu_ac3d_reproduction_20260527\data\dissolution_results-Da_40.4424_Pe_4.1640_L_0.1200_square\interface_images\timestep_0006.png,193,217,1344,646,395956,99404,495360,0,1152,430,3.4722222222222224e-06,3.488372093023256e-06,4.795978682170543e-06,1.2040213178294574e-06,6e-06,0.20067021963824289,0.005268249354005168,0.0006190734113505056,0.00029207780703810774,0.00023381446348237387,1893,0.006588202519379845,732,9.00027666581946e-06,0.7103789164879045,1.0,0.11273800008215999,0.012870750088793008,1372064.586612449
7,64.0,0.017777777777777778,C:\Users\imgw\Documents\Codex\论文复现\pore-scale-simulation-reproduction\organized_gpu_ac3d_reproduction_20260527\data\dissolution_results-Da_40.4424_Pe_4.1640_L_0.1200_square\interface_images\timestep_0007.png,193,217,1344,646,395956,99404,495360,0,1152,430,3.4722222222222224e-06,3.488372093023256e-06,4.795978682170543e-06,1.2040213178294574e-06,6e-06,0.20067021963824289,0.005268249354005168,0.0006190734113505056,0.00029207780703810774,0.00023381446348237387,1893,0.006588202519379845,732,9.00027666581946e-06,0.7114453556545128,1.0,0.11507399999472,0.012235711890504056,1297616.470598072
8,128.0,0.035555555555555556,C:\Users\imgw\Documents\Codex\论文复现\pore-scale-simulation-reproduction\organized_gpu_ac3d_reproduction_20260527\data\dissolution_results-Da_40.4424_Pe_4.1640_L_0.1200_square\interface_images\timestep_0008.png,193,217,1344,646,396006,99354,495360,0,1152,430,3.4722222222222224e-06,3.488372093023256e-06,4.796584302325582e-06,1.2034156976744187e-06,6e-06,0.20056928294573645,0.005268249354005168,0.0006189176954640506,0.0002922791761366416,0.00023381446348237387,1893,0.006588202519379844,732,9.000276665819459e-06,0.7135782339877295,1.0,0.12281400025927998,0.010965635493926151,1150876.7491415036
9,256.0,0.07111111111111111,C:\Users\imgw\Documents\Codex\论文复现\pore-scale-simulation-reproduction\organized_gpu_ac3d_reproduction_20260527\data\dissolution_results-Da_40.4424_Pe_4.1640_L_0.1200_square\interface_images\timestep_0009.png,193,217,1344,646,396461,98899,495360,0,1152,430,3.4722222222222224e-06,3.488372093023256e-06,4.802095445736435e-06,1.197904554263566e-06,6e-06,0.19965075904392765,0.005198643410852713,0.0006174988763768564,0.00029382621877258914,0.00023611111111111112,1867,0.006497714793281653,730,8.900979168878977e-06,0.718030467184654,1.0,0.19110000041439998,0.009114129374345825,935847.5082580608
10,512.0,0.14222222222222222,C:\Users\imgw\Documents\Codex\论文复现\pore-scale-simulation-reproduction\organized_gpu_ac3d_reproduction_20260527\data\dissolution_results-Da_40.4424_Pe_4.1640_L_0.1200_square\interface_images\timestep_0010.png,193,217,1344,646,399570,95790,495360,0,1152,430,3.4722222222222224e-06,3.488372093023256e-06,4.839752906976744e-06,1.1602470930232559e-06,6e-06,0.19337451550387597,0.005080426356589148,0.0006077154927474752,0.0002961050147686449,0.0002385917881321933,1841,0.0064072270671834625,738,8.68187949482854e-06,0.7264543310096353,1.0,0.24106399994431998,0.008600516438029652,846791.7983175602
