frame,time_s,time_h,mechanism,frequency_hz,sigma_real_s_m,sigma_imag_s_m,residual_norm,solve_height_px,solve_width_px,downsample,water_sigma_real_s_m,water_sigma_imag_s_m,solid_sigma_real_s_m,solid_sigma_imag_s_m
1,1.0,0.0002777777777777778,maxwell,1.0,0.0066356195244329464,2.859375813463055e-09,2.1953872224657584e-15,53,144,8,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
1,1.0,0.0002777777777777778,maxwell,2.5,0.006635619524455996,7.148439533672675e-09,2.007932513291969e-15,53,144,8,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
1,1.0,0.0002777777777777778,maxwell,10.0,0.006635619524451981,2.8593758134661907e-08,1.972733812549763e-15,53,144,8,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
1,1.0,0.0002777777777777778,maxwell,100.0,0.0066356195248494475,2.8593758133124805e-07,2.3734281301444254e-15,53,144,8,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
1,1.0,0.0002777777777777778,maxwell,1000.0,0.0066356195616825145,2.859375797763e-06,2.103828501715696e-15,53,144,8,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
1,1.0,0.0002777777777777778,maxwell,10000.0,0.006635623248863431,2.859374243144979e-05,2.157435587071717e-15,53,144,8,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
1,1.0,0.0002777777777777778,grain,1.0,0.006636202157627632,6.290778631597708e-10,2.024586644933225e-15,53,144,8,0.013001141452696012,1.2324437141129773e-09,1e-08,0.0
1,1.0,0.0002777777777777778,grain,2.5,0.0066362021581959545,2.5163139167793466e-10,2.2925811446336416e-15,53,144,8,0.01300114145381379,4.929779683978142e-10,1e-08,0.0
1,1.0,0.0002777777777777778,grain,10.0,0.006636202158304552,6.290785891984088e-11,2.0633253458369822e-15,53,144,8,0.013001141454013394,1.232445136509348e-10,1e-08,0.0
1,1.0,0.0002777777777777778,grain,100.0,0.006636202158310649,6.290785964604334e-12,1.8221143826506747e-15,53,144,8,0.013001141454026567,1.2324451507333281e-11,1e-08,0.0
1,1.0,0.0002777777777777778,grain,1000.0,0.006636202158311282,6.290785965338357e-13,1.8007088471984783e-15,53,144,8,0.013001141454026699,1.2324451508755681e-12,1e-08,0.0
1,1.0,0.0002777777777777778,grain,10000.0,0.006636202158352877,6.290785965335147e-14,1.800034352558347e-15,53,144,8,0.0130011414540267,1.2324451508769903e-13,1e-08,0.0
1,1.0,0.0002777777777777778,all,1.0,0.006636202157660002,3.48845367676763e-09,2.0637656087773997e-15,53,144,8,0.013001141452696012,5.680938911596124e-09,1e-08,4.726526147325844e-10
1,1.0,0.0002777777777777778,all,2.5,0.006636202158221275,7.400070925674289e-09,1.9541378777831867e-15,53,144,8,0.01300114145381379,1.1614215962105683e-08,1e-08,1.1816315368314611e-09
1,1.0,0.0002777777777777778,all,10.0,0.006636202158314785,2.865666599478428e-08,2.0942019214000286e-15,53,144,8,0.013001141454013394,4.460819648848241e-08,1e-08,4.7265261473258444e-09
1,1.0,0.0002777777777777778,all,100.0,0.006636202158735969,2.859438721301434e-07,2.1372406086498222e-15,53,144,8,0.013001141454026567,4.448618441998221e-07,1e-08,4.7265261473258444e-08
1,1.0,0.0002777777777777778,all,1000.0,0.006636202195576454,2.8593764269965355e-06,2.393643295825304e-15,53,144,8,0.013001141454026699,4.448496429928298e-06,1e-08,4.726526147325844e-07
1,1.0,0.0002777777777777778,all,10000.0,0.0066362058824113316,2.859374249843654e-05,2.057879555590896e-15,53,144,8,0.0130011414540267,4.4484952098075994e-05,1e-08,4.726526147325844e-06
2,2.0,0.0005555555555555556,maxwell,1.0,0.0066356195244329464,2.859375813463055e-09,2.1953872224657584e-15,53,144,8,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
2,2.0,0.0005555555555555556,maxwell,2.5,0.006635619524455996,7.148439533672675e-09,2.007932513291969e-15,53,144,8,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
2,2.0,0.0005555555555555556,maxwell,10.0,0.006635619524451981,2.8593758134661907e-08,1.972733812549763e-15,53,144,8,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
2,2.0,0.0005555555555555556,maxwell,100.0,0.0066356195248494475,2.8593758133124805e-07,2.3734281301444254e-15,53,144,8,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
2,2.0,0.0005555555555555556,maxwell,1000.0,0.0066356195616825145,2.859375797763e-06,2.103828501715696e-15,53,144,8,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
2,2.0,0.0005555555555555556,maxwell,10000.0,0.006635623248863431,2.859374243144979e-05,2.157435587071717e-15,53,144,8,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
2,2.0,0.0005555555555555556,grain,1.0,0.006636202157627632,6.290778631597708e-10,2.024586644933225e-15,53,144,8,0.013001141452696012,1.2324437141129773e-09,1e-08,0.0
2,2.0,0.0005555555555555556,grain,2.5,0.0066362021581959545,2.5163139167793466e-10,2.2925811446336416e-15,53,144,8,0.01300114145381379,4.929779683978142e-10,1e-08,0.0
2,2.0,0.0005555555555555556,grain,10.0,0.006636202158304552,6.290785891984088e-11,2.0633253458369822e-15,53,144,8,0.013001141454013394,1.232445136509348e-10,1e-08,0.0
2,2.0,0.0005555555555555556,grain,100.0,0.006636202158310649,6.290785964604334e-12,1.8221143826506747e-15,53,144,8,0.013001141454026567,1.2324451507333281e-11,1e-08,0.0
2,2.0,0.0005555555555555556,grain,1000.0,0.006636202158311282,6.290785965338357e-13,1.8007088471984783e-15,53,144,8,0.013001141454026699,1.2324451508755681e-12,1e-08,0.0
2,2.0,0.0005555555555555556,grain,10000.0,0.006636202158352877,6.290785965335147e-14,1.800034352558347e-15,53,144,8,0.0130011414540267,1.2324451508769903e-13,1e-08,0.0
2,2.0,0.0005555555555555556,all,1.0,0.006636202157660002,3.48845367676763e-09,2.0637656087773997e-15,53,144,8,0.013001141452696012,5.680938911596124e-09,1e-08,4.726526147325844e-10
2,2.0,0.0005555555555555556,all,2.5,0.006636202158221275,7.400070925674289e-09,1.9541378777831867e-15,53,144,8,0.01300114145381379,1.1614215962105683e-08,1e-08,1.1816315368314611e-09
2,2.0,0.0005555555555555556,all,10.0,0.006636202158314785,2.865666599478428e-08,2.0942019214000286e-15,53,144,8,0.013001141454013394,4.460819648848241e-08,1e-08,4.7265261473258444e-09
2,2.0,0.0005555555555555556,all,100.0,0.006636202158735969,2.859438721301434e-07,2.1372406086498222e-15,53,144,8,0.013001141454026567,4.448618441998221e-07,1e-08,4.7265261473258444e-08
2,2.0,0.0005555555555555556,all,1000.0,0.006636202195576454,2.8593764269965355e-06,2.393643295825304e-15,53,144,8,0.013001141454026699,4.448496429928298e-06,1e-08,4.726526147325844e-07
2,2.0,0.0005555555555555556,all,10000.0,0.0066362058824113316,2.859374249843654e-05,2.057879555590896e-15,53,144,8,0.0130011414540267,4.4484952098075994e-05,1e-08,4.726526147325844e-06
3,4.0,0.0011111111111111111,maxwell,1.0,0.0066356195244329464,2.859375813463055e-09,2.1953872224657584e-15,53,144,8,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
3,4.0,0.0011111111111111111,maxwell,2.5,0.006635619524455996,7.148439533672675e-09,2.007932513291969e-15,53,144,8,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
3,4.0,0.0011111111111111111,maxwell,10.0,0.006635619524451981,2.8593758134661907e-08,1.972733812549763e-15,53,144,8,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
3,4.0,0.0011111111111111111,maxwell,100.0,0.0066356195248494475,2.8593758133124805e-07,2.3734281301444254e-15,53,144,8,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
3,4.0,0.0011111111111111111,maxwell,1000.0,0.0066356195616825145,2.859375797763e-06,2.103828501715696e-15,53,144,8,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
3,4.0,0.0011111111111111111,maxwell,10000.0,0.006635623248863431,2.859374243144979e-05,2.157435587071717e-15,53,144,8,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
3,4.0,0.0011111111111111111,grain,1.0,0.006636202157627632,6.290778631597708e-10,2.024586644933225e-15,53,144,8,0.013001141452696012,1.2324437141129773e-09,1e-08,0.0
3,4.0,0.0011111111111111111,grain,2.5,0.0066362021581959545,2.5163139167793466e-10,2.2925811446336416e-15,53,144,8,0.01300114145381379,4.929779683978142e-10,1e-08,0.0
3,4.0,0.0011111111111111111,grain,10.0,0.006636202158304552,6.290785891984088e-11,2.0633253458369822e-15,53,144,8,0.013001141454013394,1.232445136509348e-10,1e-08,0.0
3,4.0,0.0011111111111111111,grain,100.0,0.006636202158310649,6.290785964604334e-12,1.8221143826506747e-15,53,144,8,0.013001141454026567,1.2324451507333281e-11,1e-08,0.0
3,4.0,0.0011111111111111111,grain,1000.0,0.006636202158311282,6.290785965338357e-13,1.8007088471984783e-15,53,144,8,0.013001141454026699,1.2324451508755681e-12,1e-08,0.0
3,4.0,0.0011111111111111111,grain,10000.0,0.006636202158352877,6.290785965335147e-14,1.800034352558347e-15,53,144,8,0.0130011414540267,1.2324451508769903e-13,1e-08,0.0
3,4.0,0.0011111111111111111,all,1.0,0.006636202157660002,3.48845367676763e-09,2.0637656087773997e-15,53,144,8,0.013001141452696012,5.680938911596124e-09,1e-08,4.726526147325844e-10
3,4.0,0.0011111111111111111,all,2.5,0.006636202158221275,7.400070925674289e-09,1.9541378777831867e-15,53,144,8,0.01300114145381379,1.1614215962105683e-08,1e-08,1.1816315368314611e-09
3,4.0,0.0011111111111111111,all,10.0,0.006636202158314785,2.865666599478428e-08,2.0942019214000286e-15,53,144,8,0.013001141454013394,4.460819648848241e-08,1e-08,4.7265261473258444e-09
3,4.0,0.0011111111111111111,all,100.0,0.006636202158735969,2.859438721301434e-07,2.1372406086498222e-15,53,144,8,0.013001141454026567,4.448618441998221e-07,1e-08,4.7265261473258444e-08
3,4.0,0.0011111111111111111,all,1000.0,0.006636202195576454,2.8593764269965355e-06,2.393643295825304e-15,53,144,8,0.013001141454026699,4.448496429928298e-06,1e-08,4.726526147325844e-07
3,4.0,0.0011111111111111111,all,10000.0,0.0066362058824113316,2.859374249843654e-05,2.057879555590896e-15,53,144,8,0.0130011414540267,4.4484952098075994e-05,1e-08,4.726526147325844e-06
4,8.0,0.0022222222222222222,maxwell,1.0,0.0066356195244329464,2.859375813463055e-09,2.1953872224657584e-15,53,144,8,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
4,8.0,0.0022222222222222222,maxwell,2.5,0.006635619524455996,7.148439533672675e-09,2.007932513291969e-15,53,144,8,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
4,8.0,0.0022222222222222222,maxwell,10.0,0.006635619524451981,2.8593758134661907e-08,1.972733812549763e-15,53,144,8,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
4,8.0,0.0022222222222222222,maxwell,100.0,0.0066356195248494475,2.8593758133124805e-07,2.3734281301444254e-15,53,144,8,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
4,8.0,0.0022222222222222222,maxwell,1000.0,0.0066356195616825145,2.859375797763e-06,2.103828501715696e-15,53,144,8,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
4,8.0,0.0022222222222222222,maxwell,10000.0,0.006635623248863431,2.859374243144979e-05,2.157435587071717e-15,53,144,8,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
4,8.0,0.0022222222222222222,grain,1.0,0.006636202157627632,6.290778631597708e-10,2.024586644933225e-15,53,144,8,0.013001141452696012,1.2324437141129773e-09,1e-08,0.0
4,8.0,0.0022222222222222222,grain,2.5,0.0066362021581959545,2.5163139167793466e-10,2.2925811446336416e-15,53,144,8,0.01300114145381379,4.929779683978142e-10,1e-08,0.0
4,8.0,0.0022222222222222222,grain,10.0,0.006636202158304552,6.290785891984088e-11,2.0633253458369822e-15,53,144,8,0.013001141454013394,1.232445136509348e-10,1e-08,0.0
4,8.0,0.0022222222222222222,grain,100.0,0.006636202158310649,6.290785964604334e-12,1.8221143826506747e-15,53,144,8,0.013001141454026567,1.2324451507333281e-11,1e-08,0.0
4,8.0,0.0022222222222222222,grain,1000.0,0.006636202158311282,6.290785965338357e-13,1.8007088471984783e-15,53,144,8,0.013001141454026699,1.2324451508755681e-12,1e-08,0.0
4,8.0,0.0022222222222222222,grain,10000.0,0.006636202158352877,6.290785965335147e-14,1.800034352558347e-15,53,144,8,0.0130011414540267,1.2324451508769903e-13,1e-08,0.0
4,8.0,0.0022222222222222222,all,1.0,0.006636202157660002,3.48845367676763e-09,2.0637656087773997e-15,53,144,8,0.013001141452696012,5.680938911596124e-09,1e-08,4.726526147325844e-10
4,8.0,0.0022222222222222222,all,2.5,0.006636202158221275,7.400070925674289e-09,1.9541378777831867e-15,53,144,8,0.01300114145381379,1.1614215962105683e-08,1e-08,1.1816315368314611e-09
