frame,frequency_hz,mechanism,water_sigma_real_s_m,water_sigma_imag_s_m,solid_sigma_real_s_m,solid_sigma_imag_s_m
1,1.0,maxwell,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
1,2.5,maxwell,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
1,10.0,maxwell,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
1,100.0,maxwell,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
1,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
1,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
1,1.0,grain,0.013001141452696012,1.2324437141129773e-09,1e-08,0.0
1,2.5,grain,0.01300114145381379,4.929779683978142e-10,1e-08,0.0
1,10.0,grain,0.013001141454013394,1.232445136509348e-10,1e-08,0.0
1,100.0,grain,0.013001141454026567,1.2324451507333281e-11,1e-08,0.0
1,1000.0,grain,0.013001141454026699,1.2324451508755681e-12,1e-08,0.0
1,10000.0,grain,0.0130011414540267,1.2324451508769903e-13,1e-08,0.0
1,1.0,all,0.013001141452696012,5.680938911596124e-09,1e-08,4.726526147325844e-10
1,2.5,all,0.01300114145381379,1.1614215962105683e-08,1e-08,1.1816315368314611e-09
1,10.0,all,0.013001141454013394,4.460819648848241e-08,1e-08,4.7265261473258444e-09
1,100.0,all,0.013001141454026567,4.448618441998221e-07,1e-08,4.7265261473258444e-08
1,1000.0,all,0.013001141454026699,4.448496429928298e-06,1e-08,4.726526147325844e-07
1,10000.0,all,0.0130011414540267,4.4484952098075994e-05,1e-08,4.726526147325844e-06
2,1.0,maxwell,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
2,2.5,maxwell,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
2,10.0,maxwell,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
2,100.0,maxwell,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
2,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
2,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
2,1.0,grain,0.013001141452696012,1.2324437141129773e-09,1e-08,0.0
2,2.5,grain,0.01300114145381379,4.929779683978142e-10,1e-08,0.0
2,10.0,grain,0.013001141454013394,1.232445136509348e-10,1e-08,0.0
2,100.0,grain,0.013001141454026567,1.2324451507333281e-11,1e-08,0.0
2,1000.0,grain,0.013001141454026699,1.2324451508755681e-12,1e-08,0.0
2,10000.0,grain,0.0130011414540267,1.2324451508769903e-13,1e-08,0.0
2,1.0,all,0.013001141452696012,5.680938911596124e-09,1e-08,4.726526147325844e-10
2,2.5,all,0.01300114145381379,1.1614215962105683e-08,1e-08,1.1816315368314611e-09
2,10.0,all,0.013001141454013394,4.460819648848241e-08,1e-08,4.7265261473258444e-09
2,100.0,all,0.013001141454026567,4.448618441998221e-07,1e-08,4.7265261473258444e-08
2,1000.0,all,0.013001141454026699,4.448496429928298e-06,1e-08,4.726526147325844e-07
2,10000.0,all,0.0130011414540267,4.4484952098075994e-05,1e-08,4.726526147325844e-06
3,1.0,maxwell,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
3,2.5,maxwell,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
3,10.0,maxwell,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
3,100.0,maxwell,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
3,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
3,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
3,1.0,grain,0.013001141452696012,1.2324437141129773e-09,1e-08,0.0
3,2.5,grain,0.01300114145381379,4.929779683978142e-10,1e-08,0.0
3,10.0,grain,0.013001141454013394,1.232445136509348e-10,1e-08,0.0
3,100.0,grain,0.013001141454026567,1.2324451507333281e-11,1e-08,0.0
3,1000.0,grain,0.013001141454026699,1.2324451508755681e-12,1e-08,0.0
3,10000.0,grain,0.0130011414540267,1.2324451508769903e-13,1e-08,0.0
3,1.0,all,0.013001141452696012,5.680938911596124e-09,1e-08,4.726526147325844e-10
3,2.5,all,0.01300114145381379,1.1614215962105683e-08,1e-08,1.1816315368314611e-09
3,10.0,all,0.013001141454013394,4.460819648848241e-08,1e-08,4.7265261473258444e-09
3,100.0,all,0.013001141454026567,4.448618441998221e-07,1e-08,4.7265261473258444e-08
3,1000.0,all,0.013001141454026699,4.448496429928298e-06,1e-08,4.726526147325844e-07
3,10000.0,all,0.0130011414540267,4.4484952098075994e-05,1e-08,4.726526147325844e-06
4,1.0,maxwell,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
4,2.5,maxwell,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
4,10.0,maxwell,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
4,100.0,maxwell,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
4,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
4,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
4,1.0,grain,0.013001141452696012,1.2324437141129773e-09,1e-08,0.0
4,2.5,grain,0.01300114145381379,4.929779683978142e-10,1e-08,0.0
4,10.0,grain,0.013001141454013394,1.232445136509348e-10,1e-08,0.0
4,100.0,grain,0.013001141454026567,1.2324451507333281e-11,1e-08,0.0
4,1000.0,grain,0.013001141454026699,1.2324451508755681e-12,1e-08,0.0
4,10000.0,grain,0.0130011414540267,1.2324451508769903e-13,1e-08,0.0
4,1.0,all,0.013001141452696012,5.680938911596124e-09,1e-08,4.726526147325844e-10
4,2.5,all,0.01300114145381379,1.1614215962105683e-08,1e-08,1.1816315368314611e-09
4,10.0,all,0.013001141454013394,4.460819648848241e-08,1e-08,4.7265261473258444e-09
4,100.0,all,0.013001141454026567,4.448618441998221e-07,1e-08,4.7265261473258444e-08
4,1000.0,all,0.013001141454026699,4.448496429928298e-06,1e-08,4.726526147325844e-07
4,10000.0,all,0.0130011414540267,4.4484952098075994e-05,1e-08,4.726526147325844e-06
5,1.0,maxwell,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
5,2.5,maxwell,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
5,10.0,maxwell,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
5,100.0,maxwell,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
5,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
5,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
5,1.0,grain,0.013001141452696012,1.2324437141129773e-09,1e-08,0.0
5,2.5,grain,0.01300114145381379,4.929779683978142e-10,1e-08,0.0
5,10.0,grain,0.013001141454013394,1.232445136509348e-10,1e-08,0.0
5,100.0,grain,0.013001141454026567,1.2324451507333281e-11,1e-08,0.0
5,1000.0,grain,0.013001141454026699,1.2324451508755681e-12,1e-08,0.0
5,10000.0,grain,0.0130011414540267,1.2324451508769903e-13,1e-08,0.0
5,1.0,all,0.013001141452696012,5.680938911596124e-09,1e-08,4.726526147325844e-10
5,2.5,all,0.01300114145381379,1.1614215962105683e-08,1e-08,1.1816315368314611e-09
5,10.0,all,0.013001141454013394,4.460819648848241e-08,1e-08,4.7265261473258444e-09
5,100.0,all,0.013001141454026567,4.448618441998221e-07,1e-08,4.7265261473258444e-08
5,1000.0,all,0.013001141454026699,4.448496429928298e-06,1e-08,4.726526147325844e-07
5,10000.0,all,0.0130011414540267,4.4484952098075994e-05,1e-08,4.726526147325844e-06
6,1.0,maxwell,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
6,2.5,maxwell,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
6,10.0,maxwell,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
6,100.0,maxwell,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
6,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
6,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
6,1.0,grain,0.013001141452696012,1.2324437141129773e-09,1e-08,0.0
6,2.5,grain,0.01300114145381379,4.929779683978142e-10,1e-08,0.0
6,10.0,grain,0.013001141454013394,1.232445136509348e-10,1e-08,0.0
6,100.0,grain,0.013001141454026567,1.2324451507333281e-11,1e-08,0.0
6,1000.0,grain,0.013001141454026699,1.2324451508755681e-12,1e-08,0.0
6,10000.0,grain,0.0130011414540267,1.2324451508769903e-13,1e-08,0.0
6,1.0,all,0.013001141452696012,5.680938911596124e-09,1e-08,4.726526147325844e-10
6,2.5,all,0.01300114145381379,1.1614215962105683e-08,1e-08,1.1816315368314611e-09
6,10.0,all,0.013001141454013394,4.460819648848241e-08,1e-08,4.7265261473258444e-09
6,100.0,all,0.013001141454026567,4.448618441998221e-07,1e-08,4.7265261473258444e-08
6,1000.0,all,0.013001141454026699,4.448496429928298e-06,1e-08,4.726526147325844e-07
6,10000.0,all,0.0130011414540267,4.4484952098075994e-05,1e-08,4.726526147325844e-06
7,1.0,maxwell,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
7,2.5,maxwell,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
7,10.0,maxwell,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
7,100.0,maxwell,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
7,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
7,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
7,1.0,grain,0.013001141452696012,1.2324437141129773e-09,1e-08,0.0
7,2.5,grain,0.01300114145381379,4.929779683978142e-10,1e-08,0.0
7,10.0,grain,0.013001141454013394,1.232445136509348e-10,1e-08,0.0
7,100.0,grain,0.013001141454026567,1.2324451507333281e-11,1e-08,0.0
7,1000.0,grain,0.013001141454026699,1.2324451508755681e-12,1e-08,0.0
7,10000.0,grain,0.0130011414540267,1.2324451508769903e-13,1e-08,0.0
7,1.0,all,0.013001141452696012,5.680938911596124e-09,1e-08,4.726526147325844e-10
7,2.5,all,0.01300114145381379,1.1614215962105683e-08,1e-08,1.1816315368314611e-09
7,10.0,all,0.013001141454013394,4.460819648848241e-08,1e-08,4.7265261473258444e-09
7,100.0,all,0.013001141454026567,4.448618441998221e-07,1e-08,4.7265261473258444e-08
7,1000.0,all,0.013001141454026699,4.448496429928298e-06,1e-08,4.726526147325844e-07
7,10000.0,all,0.0130011414540267,4.4484952098075994e-05,1e-08,4.726526147325844e-06
8,1.0,maxwell,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
8,2.5,maxwell,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
8,10.0,maxwell,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
8,100.0,maxwell,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
8,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
8,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
8,1.0,grain,0.013001141452694672,1.2330639411991634e-09,1e-08,0.0
8,2.5,grain,0.013001141453813576,4.93226059961492e-10,1e-08,0.0
8,10.0,grain,0.01300114145401338,1.2330653657440807e-10,1e-08,0.0
8,100.0,grain,0.013001141454026567,1.2330653799895464e-11,1e-08,0.0
8,1000.0,grain,0.013001141454026699,1.2330653801320015e-12,1e-08,0.0
8,10000.0,grain,0.0130011414540267,1.2330653801334254e-13,1e-08,0.0
8,1.0,all,0.013001141452694672,5.68155913868231e-09,1e-08,4.726526147325844e-10
8,2.5,all,0.013001141453813576,1.161446405366936e-08,1e-08,1.1816315368314611e-09
8,10.0,all,0.01300114145401338,4.4608258511405884e-08,1e-08,4.7265261473258444e-09
8,100.0,all,0.013001141454026567,4.4486185040211467e-07,1e-08,4.7265261473258444e-08
8,1000.0,all,0.013001141454026699,4.448496430548527e-06,1e-08,4.726526147325844e-07
8,10000.0,all,0.0130011414540267,4.448495209813802e-05,1e-08,4.726526147325844e-06
9,1.0,maxwell,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
9,2.5,maxwell,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
9,10.0,maxwell,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
9,100.0,maxwell,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
9,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
9,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
9,1.0,grain,0.013001126371412467,1.2223702055358203e-09,1e-08,0.0
9,2.5,grain,0.01300112637252677,4.889485659233903e-10,1e-08,0.0
9,10.0,grain,0.013001126372725751,1.222371630750273e-10,1e-08,0.0
9,100.0,grain,0.013001126372738885,1.2223716450024344e-11,1e-08,0.0
9,1000.0,grain,0.013001126372739017,1.222371645144956e-12,1e-08,0.0
9,10000.0,grain,0.013001126372739017,1.222371645146381e-13,1e-08,0.0
