frame,frequency_hz,mechanism,water_sigma_real_s_m,water_sigma_imag_s_m,solid_sigma_real_s_m,solid_sigma_imag_s_m,driver_mode,saturation_factor,interface_saturation_factor,interface_delta_real_s_m,interface_delta_imag_s_m,solution_sigma_w_s_m,interface_density_1_m,schwarz_sigma_s_s,schwarz_characteristic_length_m,schwarz_diffusion_coefficient_m2_s,schwarz_tau_s
1,1.0,maxwell,0.019808629190565665,4.448495197483147e-09,1e-08,4.726526147325844e-10,si03,1.0,1.0,0.008786269366415201,0.02151351078464423,0.019808629190565665,878.0415590008613,7e-05,1.3e-05,1.3e-09,0.06499999999999999
1,2.5,maxwell,0.019808629190565665,1.112123799370787e-08,1e-08,1.1816315368314611e-09,si03,1.0,1.0,0.031370570177233534,0.0307248080696487,0.019808629190565665,878.0415590008613,7e-05,1.3e-05,1.3e-09,0.06499999999999999
1,10.0,maxwell,0.019808629190565665,4.448495197483148e-08,1e-08,4.7265261473258444e-09,si03,1.0,1.0,0.05798642777092366,0.014198194787667163,0.019808629190565665,878.0415590008613,7e-05,1.3e-05,1.3e-09,0.06499999999999999
1,100.0,maxwell,0.019808629190565665,4.4484951974831477e-07,1e-08,4.7265261473258444e-08,si03,1.0,1.0,0.06142608212800276,0.0015040407085292876,0.019808629190565665,878.0415590008613,7e-05,1.3e-05,1.3e-09,0.06499999999999999
1,1000.0,maxwell,0.019808629190565665,4.448495197483147e-06,1e-08,4.726526147325844e-07,si03,1.0,1.0,0.06146254064145865,0.00015049334089345628,0.019808629190565665,878.0415590008613,7e-05,1.3e-05,1.3e-09,0.06499999999999999
1,10000.0,maxwell,0.019808629190565665,4.448495197483148e-05,1e-08,4.726526147325844e-06,si03,1.0,1.0,0.061462905445152406,1.5049423412901196e-05,0.019808629190565665,878.0415590008613,7e-05,1.3e-05,1.3e-09,0.06499999999999999
1,1.0,interface,0.028594898556980865,0.02151351078464423,1e-08,0.0,si03,1.0,1.0,0.008786269366415201,0.02151351078464423,0.019808629190565665,878.0415590008613,7e-05,1.3e-05,1.3e-09,0.06499999999999999
1,2.5,interface,0.0511791993677992,0.0307248080696487,1e-08,0.0,si03,1.0,1.0,0.031370570177233534,0.0307248080696487,0.019808629190565665,878.0415590008613,7e-05,1.3e-05,1.3e-09,0.06499999999999999
1,10.0,interface,0.07779505696148932,0.014198194787667163,1e-08,0.0,si03,1.0,1.0,0.05798642777092366,0.014198194787667163,0.019808629190565665,878.0415590008613,7e-05,1.3e-05,1.3e-09,0.06499999999999999
1,100.0,interface,0.08123471131856842,0.0015040407085292876,1e-08,0.0,si03,1.0,1.0,0.06142608212800276,0.0015040407085292876,0.019808629190565665,878.0415590008613,7e-05,1.3e-05,1.3e-09,0.06499999999999999
1,1000.0,interface,0.08127116983202431,0.00015049334089345628,1e-08,0.0,si03,1.0,1.0,0.06146254064145865,0.00015049334089345628,0.019808629190565665,878.0415590008613,7e-05,1.3e-05,1.3e-09,0.06499999999999999
1,10000.0,interface,0.08127153463571807,1.5049423412901196e-05,1e-08,0.0,si03,1.0,1.0,0.061462905445152406,1.5049423412901196e-05,0.019808629190565665,878.0415590008613,7e-05,1.3e-05,1.3e-09,0.06499999999999999
1,1.0,all,0.028594898556980865,0.02151351523313943,1e-08,4.726526147325844e-10,si03,1.0,1.0,0.008786269366415201,0.02151351078464423,0.019808629190565665,878.0415590008613,7e-05,1.3e-05,1.3e-09,0.06499999999999999
1,2.5,all,0.0511791993677992,0.030724819190886692,1e-08,1.1816315368314611e-09,si03,1.0,1.0,0.031370570177233534,0.0307248080696487,0.019808629190565665,878.0415590008613,7e-05,1.3e-05,1.3e-09,0.06499999999999999
1,10.0,all,0.07779505696148932,0.014198239272619139,1e-08,4.7265261473258444e-09,si03,1.0,1.0,0.05798642777092366,0.014198194787667163,0.019808629190565665,878.0415590008613,7e-05,1.3e-05,1.3e-09,0.06499999999999999
1,100.0,all,0.08123471131856842,0.0015044855580490359,1e-08,4.7265261473258444e-08,si03,1.0,1.0,0.06142608212800276,0.0015040407085292876,0.019808629190565665,878.0415590008613,7e-05,1.3e-05,1.3e-09,0.06499999999999999
