frame,time_s,time_h,mechanism,frequency_hz,sigma_real_s_m,sigma_imag_s_m,residual_norm,solve_height_px,solve_width_px,downsample,water_sigma_real_s_m,water_sigma_imag_s_m,solid_sigma_real_s_m,solid_sigma_imag_s_m
1,1.0,0.0002777777777777778,maxwell,1.0,0.0066356195244329464,2.859375813463055e-09,2.1953872224657584e-15,53,144,8,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
1,1.0,0.0002777777777777778,maxwell,2.5,0.006635619524455996,7.148439533672675e-09,2.007932513291969e-15,53,144,8,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
1,1.0,0.0002777777777777778,maxwell,10.0,0.006635619524451981,2.8593758134661907e-08,1.972733812549763e-15,53,144,8,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
1,1.0,0.0002777777777777778,maxwell,100.0,0.0066356195248494475,2.8593758133124805e-07,2.3734281301444254e-15,53,144,8,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
1,1.0,0.0002777777777777778,maxwell,1000.0,0.0066356195616825145,2.859375797763e-06,2.103828501715696e-15,53,144,8,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
1,1.0,0.0002777777777777778,maxwell,10000.0,0.006635623248863431,2.859374243144979e-05,2.157435587071717e-15,53,144,8,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
1,1.0,0.0002777777777777778,pore,1.0,0.007125840682761402,1.1756777558633664e-05,2.1674103756010526e-15,53,144,8,0.013960405731091325,2.3033025717120292e-05,1e-08,0.0
1,1.0,0.0002777777777777778,pore,2.5,0.007126905397901128,4.8428016795190045e-06,2.0243192417434957e-15,53,144,8,0.013962491643681926,9.487665737608071e-06,1e-08,0.0
1,1.0,0.0002777777777777778,pore,10.0,0.007127130391600648,1.2194020727042798e-06,2.0900967603087657e-15,53,144,8,0.013962932435049355,2.3889640813663582e-06,1e-08,0.0
1,1.0,0.0002777777777777778,pore,100.0,0.007127145817770761,1.220019707693084e-07,2.0129845808111247e-15,53,144,8,0.01396296265690752,2.390174107033581e-07,1e-08,0.0
1,1.0,0.0002777777777777778,pore,1000.0,0.007127145972414662,1.2200259142282257e-08,1.8693100189651715e-15,53,144,8,0.01396296295990233,2.3901862664254305e-08,1e-08,0.0
1,1.0,0.0002777777777777778,pore,10000.0,0.007127145973967502,1.2200259762970334e-09,1.8425159050422602e-15,53,144,8,0.013962962962932358,2.390186388025306e-09,1e-08,0.0
1,1.0,0.0002777777777777778,membrane,1.0,0.20767216791843693,0.1732121911046898,2.145132159246678e-15,53,144,8,0.4068562217567122,0.33934475942673387,1e-08,0.0
1,1.0,0.0002777777777777778,membrane,2.5,0.31848575313625327,0.25184192753869405,2.2964766533516653e-15,53,144,8,0.6239541591261051,0.4933904349856972,1e-08,0.0
1,1.0,0.0002777777777777778,membrane,10.0,0.5984698636799216,0.4088395845326083,2.185566170301654e-15,53,144,8,1.1724787175330968,0.8009688554355231,1e-08,0.0
1,1.0,0.0002777777777777778,membrane,100.0,1.4462396820739543,0.540463616230141,2.1183468314235638e-15,53,144,8,2.8333678456942364,1.0588371098905618,1e-08,0.0
1,1.0,0.0002777777777777778,membrane,1000.0,2.015687303512939,0.2028483670374801,1.8407158987003252e-15,53,144,8,3.9489883160082537,0.3974058054066444,1e-08,0.0
1,1.0,0.0002777777777777778,membrane,10000.0,2.1533007018731993,0.06419191475719462,1.9747402481399024e-15,53,144,8,4.218590503135301,0.12576014269798896,1e-08,0.0
1,1.0,0.0002777777777777778,grain,1.0,0.006635623961884865,4.437424809984853e-08,1.9739762094329846e-15,53,144,8,0.013000008693480782,8.693480782186744e-08,1e-08,0.0
1,1.0,0.0002777777777777778,grain,2.5,0.006635645888009192,1.0545409548504971e-07,1.9999356612215064e-15,53,144,8,0.01300005164950347,2.065980138825556e-07,1e-08,0.0
1,1.0,0.0002777777777777778,grain,10.0,0.006635843614369144,2.2408995290290525e-07,1.9749051464107883e-15,53,144,8,0.0130004390207795,4.3902077950043066e-07,1e-08,0.0
1,1.0,0.0002777777777777778,grain,100.0,0.006636063266933166,4.437424810002245e-08,2.0908066214840016e-15,53,144,8,0.013000869348078217,8.693480782186747e-08,1e-08,0.0
1,1.0,0.0002777777777777778,grain,1000.0,0.006636067659556649,4.48135092299912e-09,1.9160035395158147e-15,53,144,8,0.013000877953763625,8.77953763624499e-09,1e-08,0.0
1,1.0,0.0002777777777777778,grain,10000.0,0.006636067703911772,4.4817945763121185e-10,2.0718818373861277e-15,53,144,8,0.013000878040680959,8.780406809601803e-10,1e-08,0.0
1,1.0,0.0002777777777777778,all,1.0,0.2081623935139494,0.17322399511617814,2.193041360279251e-15,53,144,8,0.4078166361812843,0.339367883835754,1e-08,4.726526147325844e-10
1,1.0,0.0002777777777777778,all,2.5,0.31897706537185405,0.25184688294390206,2.209286453885305e-15,53,144,8,0.6249167024192904,0.49340014037068664,1e-08,1.1816315368314611e-09
1,1.0,0.0002777777777777778,all,10.0,0.5989615986399881,0.40884105661902204,2.324862323648717e-15,53,144,8,1.1734420889889259,0.800971727905336,1e-08,4.7265261473258444e-09
1,1.0,0.0002777777777777778,all,100.0,1.4467316521099438,0.5404640685421626,2.19959096787478e-15,53,144,8,2.8343316776992222,1.0588378806923,1e-08,4.7265261473258444e-08
1,1.0,0.0002777777777777778,all,1000.0,2.0161792780969776,0.20285124309529406,2.1347411133212782e-15,53,144,8,3.9499521569219196,0.3974102865832422,1e-08,4.726526147325844e-07
1,1.0,0.0002777777777777778,all,10000.0,2.1537926765135422,0.0642205101994975,2.236119929448053e-15,53,144,8,4.219554344138915,0.12580463091819086,1e-08,4.726526147325844e-06
2,2.0,0.0005555555555555556,maxwell,1.0,0.0066356195244329464,2.859375813463055e-09,2.1953872224657584e-15,53,144,8,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
2,2.0,0.0005555555555555556,maxwell,2.5,0.006635619524455996,7.148439533672675e-09,2.007932513291969e-15,53,144,8,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
2,2.0,0.0005555555555555556,maxwell,10.0,0.006635619524451981,2.8593758134661907e-08,1.972733812549763e-15,53,144,8,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
2,2.0,0.0005555555555555556,maxwell,100.0,0.0066356195248494475,2.8593758133124805e-07,2.3734281301444254e-15,53,144,8,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
2,2.0,0.0005555555555555556,maxwell,1000.0,0.0066356195616825145,2.859375797763e-06,2.103828501715696e-15,53,144,8,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
2,2.0,0.0005555555555555556,maxwell,10000.0,0.006635623248863431,2.859374243144979e-05,2.157435587071717e-15,53,144,8,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
2,2.0,0.0005555555555555556,pore,1.0,0.007125840682761402,1.1756777558633664e-05,2.1674103756010526e-15,53,144,8,0.013960405731091325,2.3033025717120292e-05,1e-08,0.0
2,2.0,0.0005555555555555556,pore,2.5,0.007126905397901128,4.8428016795190045e-06,2.0243192417434957e-15,53,144,8,0.013962491643681926,9.487665737608071e-06,1e-08,0.0
2,2.0,0.0005555555555555556,pore,10.0,0.007127130391600648,1.2194020727042798e-06,2.0900967603087657e-15,53,144,8,0.013962932435049355,2.3889640813663582e-06,1e-08,0.0
2,2.0,0.0005555555555555556,pore,100.0,0.007127145817770761,1.220019707693084e-07,2.0129845808111247e-15,53,144,8,0.01396296265690752,2.390174107033581e-07,1e-08,0.0
2,2.0,0.0005555555555555556,pore,1000.0,0.007127145972414662,1.2200259142282257e-08,1.8693100189651715e-15,53,144,8,0.01396296295990233,2.3901862664254305e-08,1e-08,0.0
2,2.0,0.0005555555555555556,pore,10000.0,0.007127145973967502,1.2200259762970334e-09,1.8425159050422602e-15,53,144,8,0.013962962962932358,2.390186388025306e-09,1e-08,0.0
2,2.0,0.0005555555555555556,membrane,1.0,0.20767216791843693,0.1732121911046898,2.145132159246678e-15,53,144,8,0.4068562217567122,0.33934475942673387,1e-08,0.0
2,2.0,0.0005555555555555556,membrane,2.5,0.31848575313625327,0.25184192753869405,2.2964766533516653e-15,53,144,8,0.6239541591261051,0.4933904349856972,1e-08,0.0
2,2.0,0.0005555555555555556,membrane,10.0,0.5984698636799216,0.4088395845326083,2.185566170301654e-15,53,144,8,1.1724787175330968,0.8009688554355231,1e-08,0.0
2,2.0,0.0005555555555555556,membrane,100.0,1.4462396820739543,0.540463616230141,2.1183468314235638e-15,53,144,8,2.8333678456942364,1.0588371098905618,1e-08,0.0
2,2.0,0.0005555555555555556,membrane,1000.0,2.015687303512939,0.2028483670374801,1.8407158987003252e-15,53,144,8,3.9489883160082537,0.3974058054066444,1e-08,0.0
2,2.0,0.0005555555555555556,membrane,10000.0,2.1533007018731993,0.06419191475719462,1.9747402481399024e-15,53,144,8,4.218590503135301,0.12576014269798896,1e-08,0.0
2,2.0,0.0005555555555555556,grain,1.0,0.006635623961884865,4.437424809984853e-08,1.9739762094329846e-15,53,144,8,0.013000008693480782,8.693480782186744e-08,1e-08,0.0
2,2.0,0.0005555555555555556,grain,2.5,0.006635645888009192,1.0545409548504971e-07,1.9999356612215064e-15,53,144,8,0.01300005164950347,2.065980138825556e-07,1e-08,0.0
2,2.0,0.0005555555555555556,grain,10.0,0.006635843614369144,2.2408995290290525e-07,1.9749051464107883e-15,53,144,8,0.0130004390207795,4.3902077950043066e-07,1e-08,0.0
2,2.0,0.0005555555555555556,grain,100.0,0.006636063266933166,4.437424810002245e-08,2.0908066214840016e-15,53,144,8,0.013000869348078217,8.693480782186747e-08,1e-08,0.0
2,2.0,0.0005555555555555556,grain,1000.0,0.006636067659556649,4.48135092299912e-09,1.9160035395158147e-15,53,144,8,0.013000877953763625,8.77953763624499e-09,1e-08,0.0
2,2.0,0.0005555555555555556,grain,10000.0,0.006636067703911772,4.4817945763121185e-10,2.0718818373861277e-15,53,144,8,0.013000878040680959,8.780406809601803e-10,1e-08,0.0
2,2.0,0.0005555555555555556,all,1.0,0.2081623935139494,0.17322399511617814,2.193041360279251e-15,53,144,8,0.4078166361812843,0.339367883835754,1e-08,4.726526147325844e-10
2,2.0,0.0005555555555555556,all,2.5,0.31897706537185405,0.25184688294390206,2.209286453885305e-15,53,144,8,0.6249167024192904,0.49340014037068664,1e-08,1.1816315368314611e-09
2,2.0,0.0005555555555555556,all,10.0,0.5989615986399881,0.40884105661902204,2.324862323648717e-15,53,144,8,1.1734420889889259,0.800971727905336,1e-08,4.7265261473258444e-09
2,2.0,0.0005555555555555556,all,100.0,1.4467316521099438,0.5404640685421626,2.19959096787478e-15,53,144,8,2.8343316776992222,1.0588378806923,1e-08,4.7265261473258444e-08
2,2.0,0.0005555555555555556,all,1000.0,2.0161792780969776,0.20285124309529406,2.1347411133212782e-15,53,144,8,3.9499521569219196,0.3974102865832422,1e-08,4.726526147325844e-07
2,2.0,0.0005555555555555556,all,10000.0,2.1537926765135422,0.0642205101994975,2.236119929448053e-15,53,144,8,4.219554344138915,0.12580463091819086,1e-08,4.726526147325844e-06
3,4.0,0.0011111111111111111,maxwell,1.0,0.0066356195244329464,2.859375813463055e-09,2.1953872224657584e-15,53,144,8,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
3,4.0,0.0011111111111111111,maxwell,2.5,0.006635619524455996,7.148439533672675e-09,2.007932513291969e-15,53,144,8,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
3,4.0,0.0011111111111111111,maxwell,10.0,0.006635619524451981,2.8593758134661907e-08,1.972733812549763e-15,53,144,8,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
3,4.0,0.0011111111111111111,maxwell,100.0,0.0066356195248494475,2.8593758133124805e-07,2.3734281301444254e-15,53,144,8,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
3,4.0,0.0011111111111111111,maxwell,1000.0,0.0066356195616825145,2.859375797763e-06,2.103828501715696e-15,53,144,8,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
3,4.0,0.0011111111111111111,maxwell,10000.0,0.006635623248863431,2.859374243144979e-05,2.157435587071717e-15,53,144,8,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
3,4.0,0.0011111111111111111,pore,1.0,0.007125840682761402,1.1756777558633664e-05,2.1674103756010526e-15,53,144,8,0.013960405731091325,2.3033025717120292e-05,1e-08,0.0
3,4.0,0.0011111111111111111,pore,2.5,0.007126905397901128,4.8428016795190045e-06,2.0243192417434957e-15,53,144,8,0.013962491643681926,9.487665737608071e-06,1e-08,0.0
3,4.0,0.0011111111111111111,pore,10.0,0.007127130391600648,1.2194020727042798e-06,2.0900967603087657e-15,53,144,8,0.013962932435049355,2.3889640813663582e-06,1e-08,0.0
3,4.0,0.0011111111111111111,pore,100.0,0.007127145817770761,1.220019707693084e-07,2.0129845808111247e-15,53,144,8,0.01396296265690752,2.390174107033581e-07,1e-08,0.0
