frame,frequency_hz,mechanism,water_sigma_real_s_m,water_sigma_imag_s_m,solid_sigma_real_s_m,solid_sigma_imag_s_m
1,1.0,maxwell,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
1,2.5,maxwell,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
1,10.0,maxwell,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
1,100.0,maxwell,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
1,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
1,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
1,1.0,pore,0.013960405731091325,2.3033025717120292e-05,1e-08,0.0
1,2.5,pore,0.013962491643681926,9.487665737608071e-06,1e-08,0.0
1,10.0,pore,0.013962932435049355,2.3889640813663582e-06,1e-08,0.0
1,100.0,pore,0.01396296265690752,2.390174107033581e-07,1e-08,0.0
1,1000.0,pore,0.01396296295990233,2.3901862664254305e-08,1e-08,0.0
1,10000.0,pore,0.013962962962932358,2.390186388025306e-09,1e-08,0.0
1,1.0,membrane,0.4068562217567122,0.33934475942673387,1e-08,0.0
1,2.5,membrane,0.6239541591261051,0.4933904349856972,1e-08,0.0
1,10.0,membrane,1.1724787175330968,0.8009688554355231,1e-08,0.0
1,100.0,membrane,2.8333678456942364,1.0588371098905618,1e-08,0.0
1,1000.0,membrane,3.9489883160082537,0.3974058054066444,1e-08,0.0
1,10000.0,membrane,4.218590503135301,0.12576014269798896,1e-08,0.0
1,1.0,grain,0.013000008693480782,8.693480782186744e-08,1e-08,0.0
1,2.5,grain,0.01300005164950347,2.065980138825556e-07,1e-08,0.0
1,10.0,grain,0.0130004390207795,4.3902077950043066e-07,1e-08,0.0
1,100.0,grain,0.013000869348078217,8.693480782186747e-08,1e-08,0.0
1,1000.0,grain,0.013000877953763625,8.77953763624499e-09,1e-08,0.0
1,10000.0,grain,0.013000878040680959,8.780406809601803e-10,1e-08,0.0
1,1.0,all,0.4078166361812843,0.339367883835754,1e-08,4.726526147325844e-10
1,2.5,all,0.6249167024192904,0.49340014037068664,1e-08,1.1816315368314611e-09
1,10.0,all,1.1734420889889259,0.800971727905336,1e-08,4.7265261473258444e-09
1,100.0,all,2.8343316776992222,1.0588378806923,1e-08,4.7265261473258444e-08
1,1000.0,all,3.9499521569219196,0.3974102865832422,1e-08,4.726526147325844e-07
1,10000.0,all,4.219554344138915,0.12580463091819086,1e-08,4.726526147325844e-06
2,1.0,maxwell,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
2,2.5,maxwell,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
2,10.0,maxwell,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
2,100.0,maxwell,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
2,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
2,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
2,1.0,pore,0.013960405731091325,2.3033025717120292e-05,1e-08,0.0
2,2.5,pore,0.013962491643681926,9.487665737608071e-06,1e-08,0.0
2,10.0,pore,0.013962932435049355,2.3889640813663582e-06,1e-08,0.0
2,100.0,pore,0.01396296265690752,2.390174107033581e-07,1e-08,0.0
2,1000.0,pore,0.01396296295990233,2.3901862664254305e-08,1e-08,0.0
2,10000.0,pore,0.013962962962932358,2.390186388025306e-09,1e-08,0.0
2,1.0,membrane,0.4068562217567122,0.33934475942673387,1e-08,0.0
2,2.5,membrane,0.6239541591261051,0.4933904349856972,1e-08,0.0
2,10.0,membrane,1.1724787175330968,0.8009688554355231,1e-08,0.0
2,100.0,membrane,2.8333678456942364,1.0588371098905618,1e-08,0.0
2,1000.0,membrane,3.9489883160082537,0.3974058054066444,1e-08,0.0
2,10000.0,membrane,4.218590503135301,0.12576014269798896,1e-08,0.0
2,1.0,grain,0.013000008693480782,8.693480782186744e-08,1e-08,0.0
2,2.5,grain,0.01300005164950347,2.065980138825556e-07,1e-08,0.0
2,10.0,grain,0.0130004390207795,4.3902077950043066e-07,1e-08,0.0
2,100.0,grain,0.013000869348078217,8.693480782186747e-08,1e-08,0.0
2,1000.0,grain,0.013000877953763625,8.77953763624499e-09,1e-08,0.0
2,10000.0,grain,0.013000878040680959,8.780406809601803e-10,1e-08,0.0
2,1.0,all,0.4078166361812843,0.339367883835754,1e-08,4.726526147325844e-10
2,2.5,all,0.6249167024192904,0.49340014037068664,1e-08,1.1816315368314611e-09
2,10.0,all,1.1734420889889259,0.800971727905336,1e-08,4.7265261473258444e-09
2,100.0,all,2.8343316776992222,1.0588378806923,1e-08,4.7265261473258444e-08
2,1000.0,all,3.9499521569219196,0.3974102865832422,1e-08,4.726526147325844e-07
2,10000.0,all,4.219554344138915,0.12580463091819086,1e-08,4.726526147325844e-06
3,1.0,maxwell,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
3,2.5,maxwell,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
3,10.0,maxwell,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
3,100.0,maxwell,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
3,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
3,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
3,1.0,pore,0.013960405731091325,2.3033025717120292e-05,1e-08,0.0
3,2.5,pore,0.013962491643681926,9.487665737608071e-06,1e-08,0.0
3,10.0,pore,0.013962932435049355,2.3889640813663582e-06,1e-08,0.0
3,100.0,pore,0.01396296265690752,2.390174107033581e-07,1e-08,0.0
3,1000.0,pore,0.01396296295990233,2.3901862664254305e-08,1e-08,0.0
3,10000.0,pore,0.013962962962932358,2.390186388025306e-09,1e-08,0.0
3,1.0,membrane,0.4068562217567122,0.33934475942673387,1e-08,0.0
3,2.5,membrane,0.6239541591261051,0.4933904349856972,1e-08,0.0
3,10.0,membrane,1.1724787175330968,0.8009688554355231,1e-08,0.0
3,100.0,membrane,2.8333678456942364,1.0588371098905618,1e-08,0.0
3,1000.0,membrane,3.9489883160082537,0.3974058054066444,1e-08,0.0
3,10000.0,membrane,4.218590503135301,0.12576014269798896,1e-08,0.0
3,1.0,grain,0.013000008693480782,8.693480782186744e-08,1e-08,0.0
3,2.5,grain,0.01300005164950347,2.065980138825556e-07,1e-08,0.0
3,10.0,grain,0.0130004390207795,4.3902077950043066e-07,1e-08,0.0
3,100.0,grain,0.013000869348078217,8.693480782186747e-08,1e-08,0.0
3,1000.0,grain,0.013000877953763625,8.77953763624499e-09,1e-08,0.0
3,10000.0,grain,0.013000878040680959,8.780406809601803e-10,1e-08,0.0
3,1.0,all,0.4078166361812843,0.339367883835754,1e-08,4.726526147325844e-10
3,2.5,all,0.6249167024192904,0.49340014037068664,1e-08,1.1816315368314611e-09
3,10.0,all,1.1734420889889259,0.800971727905336,1e-08,4.7265261473258444e-09
3,100.0,all,2.8343316776992222,1.0588378806923,1e-08,4.7265261473258444e-08
3,1000.0,all,3.9499521569219196,0.3974102865832422,1e-08,4.726526147325844e-07
3,10000.0,all,4.219554344138915,0.12580463091819086,1e-08,4.726526147325844e-06
4,1.0,maxwell,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
4,2.5,maxwell,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
4,10.0,maxwell,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
4,100.0,maxwell,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
4,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
4,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
4,1.0,pore,0.013960405731091325,2.3033025717120292e-05,1e-08,0.0
4,2.5,pore,0.013962491643681926,9.487665737608071e-06,1e-08,0.0
4,10.0,pore,0.013962932435049355,2.3889640813663582e-06,1e-08,0.0
4,100.0,pore,0.01396296265690752,2.390174107033581e-07,1e-08,0.0
4,1000.0,pore,0.01396296295990233,2.3901862664254305e-08,1e-08,0.0
4,10000.0,pore,0.013962962962932358,2.390186388025306e-09,1e-08,0.0
4,1.0,membrane,0.4068562217567122,0.33934475942673387,1e-08,0.0
4,2.5,membrane,0.6239541591261051,0.4933904349856972,1e-08,0.0
4,10.0,membrane,1.1724787175330968,0.8009688554355231,1e-08,0.0
4,100.0,membrane,2.8333678456942364,1.0588371098905618,1e-08,0.0
4,1000.0,membrane,3.9489883160082537,0.3974058054066444,1e-08,0.0
4,10000.0,membrane,4.218590503135301,0.12576014269798896,1e-08,0.0
4,1.0,grain,0.013000008693480782,8.693480782186744e-08,1e-08,0.0
4,2.5,grain,0.01300005164950347,2.065980138825556e-07,1e-08,0.0
4,10.0,grain,0.0130004390207795,4.3902077950043066e-07,1e-08,0.0
4,100.0,grain,0.013000869348078217,8.693480782186747e-08,1e-08,0.0
4,1000.0,grain,0.013000877953763625,8.77953763624499e-09,1e-08,0.0
4,10000.0,grain,0.013000878040680959,8.780406809601803e-10,1e-08,0.0
4,1.0,all,0.4078166361812843,0.339367883835754,1e-08,4.726526147325844e-10
4,2.5,all,0.6249167024192904,0.49340014037068664,1e-08,1.1816315368314611e-09
4,10.0,all,1.1734420889889259,0.800971727905336,1e-08,4.7265261473258444e-09
4,100.0,all,2.8343316776992222,1.0588378806923,1e-08,4.7265261473258444e-08
4,1000.0,all,3.9499521569219196,0.3974102865832422,1e-08,4.726526147325844e-07
4,10000.0,all,4.219554344138915,0.12580463091819086,1e-08,4.726526147325844e-06
5,1.0,maxwell,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
5,2.5,maxwell,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
5,10.0,maxwell,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
5,100.0,maxwell,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
5,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
5,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
5,1.0,pore,0.013960405731091325,2.3033025717120292e-05,1e-08,0.0
5,2.5,pore,0.013962491643681926,9.487665737608071e-06,1e-08,0.0
5,10.0,pore,0.013962932435049355,2.3889640813663582e-06,1e-08,0.0
5,100.0,pore,0.01396296265690752,2.390174107033581e-07,1e-08,0.0
5,1000.0,pore,0.01396296295990233,2.3901862664254305e-08,1e-08,0.0
5,10000.0,pore,0.013962962962932358,2.390186388025306e-09,1e-08,0.0
5,1.0,membrane,0.4068562217567122,0.33934475942673387,1e-08,0.0
5,2.5,membrane,0.6239541591261051,0.4933904349856972,1e-08,0.0
5,10.0,membrane,1.1724787175330968,0.8009688554355231,1e-08,0.0
5,100.0,membrane,2.8333678456942364,1.0588371098905618,1e-08,0.0
5,1000.0,membrane,3.9489883160082537,0.3974058054066444,1e-08,0.0
5,10000.0,membrane,4.218590503135301,0.12576014269798896,1e-08,0.0
5,1.0,grain,0.013000008693480782,8.693480782186744e-08,1e-08,0.0
5,2.5,grain,0.01300005164950347,2.065980138825556e-07,1e-08,0.0
5,10.0,grain,0.0130004390207795,4.3902077950043066e-07,1e-08,0.0
5,100.0,grain,0.013000869348078217,8.693480782186747e-08,1e-08,0.0
5,1000.0,grain,0.013000877953763625,8.77953763624499e-09,1e-08,0.0
5,10000.0,grain,0.013000878040680959,8.780406809601803e-10,1e-08,0.0
5,1.0,all,0.4078166361812843,0.339367883835754,1e-08,4.726526147325844e-10
5,2.5,all,0.6249167024192904,0.49340014037068664,1e-08,1.1816315368314611e-09
5,10.0,all,1.1734420889889259,0.800971727905336,1e-08,4.7265261473258444e-09
5,100.0,all,2.8343316776992222,1.0588378806923,1e-08,4.7265261473258444e-08
5,1000.0,all,3.9499521569219196,0.3974102865832422,1e-08,4.726526147325844e-07
5,10000.0,all,4.219554344138915,0.12580463091819086,1e-08,4.726526147325844e-06
6,1.0,maxwell,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
6,2.5,maxwell,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
6,10.0,maxwell,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
6,100.0,maxwell,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
6,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
6,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
6,1.0,pore,0.013960405731091325,2.3033025717120292e-05,1e-08,0.0
6,2.5,pore,0.013962491643681926,9.487665737608071e-06,1e-08,0.0
6,10.0,pore,0.013962932435049355,2.3889640813663582e-06,1e-08,0.0
6,100.0,pore,0.01396296265690752,2.390174107033581e-07,1e-08,0.0
6,1000.0,pore,0.01396296295990233,2.3901862664254305e-08,1e-08,0.0
6,10000.0,pore,0.013962962962932358,2.390186388025306e-09,1e-08,0.0
6,1.0,membrane,0.4068562217567122,0.33934475942673387,1e-08,0.0
6,2.5,membrane,0.6239541591261051,0.4933904349856972,1e-08,0.0
6,10.0,membrane,1.1724787175330968,0.8009688554355231,1e-08,0.0
