time_h,phi,sw,sigma_w_s_m,cec_meq_g,qv_c_m3,paper_real_s_m,paper_imag_s_m,model_real_s_m,model_imag_s_m,real_error_s_m,imag_error_s_m
0.0,0.710015143,1.0,0.0096907,0.015610335,1667057.2648913532,0.243329955,0.039408235,0.2433709970300105,0.03941507554729007,4.1042030010512986e-05,6.840547290068444e-06
0.008333333,0.710312264,1.0,0.11258,0.01291044,1376741.574042239,0.275320743,0.032558965,0.27535465627641315,0.032564616932548855,3.391327641316666e-05,5.651932548852989e-06
0.050404531,0.715359731,1.0,0.15690388393888927,0.009904798,1030500.1559331334,0.259505388,0.024543778,0.25953094741326715,0.02454803786764802,2.5559413267151054e-05,4.259867648022386e-06
0.092475728,0.720786077,1.0,0.21405446579765042,0.008298334,840527.9881875879,0.275313486,0.020171001,0.275334484735263,0.020174501011440648,2.0998735263011437e-05,3.5000114406470717e-06
0.134546926,0.725585078,1.0,0.2384156313139495,0.00821542,812418.3772580639,0.290748223,0.019626233,0.29076865903931015,0.019629639099326475,2.043603931017879e-05,3.406099326475065e-06
0.176618123,0.730349782,1.0,0.24913378638969708,0.010326279,996883.2837165544,0.327398643,0.024240639,0.3274238896691274,0.024244847181762928,2.5246669127398924e-05,4.2081817629262275e-06
0.21868932,0.735466244,1.0,0.25420102084098956,0.012706609,1195029.4472822037,0.362530785,0.029262418,0.3625612530674836,0.02926749717476588,3.0468067483579997e-05,5.079174765880434e-06
0.260760518,0.739479571,0.989088909,0.25609692881780255,0.014423625,1328680.6603721662,0.379420037,0.032355713,0.3794363209283617,0.032361329824178546,1.6283928361726652e-05,5.61682417854481e-06
0.302831715,0.745297956,0.968771228,0.25799283674955126,0.015128396,1351842.1114120877,0.375476509,0.032497203,0.37547668694083847,0.03250284424994076,1.7794083845279474e-07,5.6412499407562655e-06
0.344902913,0.749543396,0.945889184,0.25988874472636425,0.016752133,1463647.1951606092,0.381632585,0.034549543,0.38162014888306806,0.034555539663634775,-1.2436116931968666e-05,5.996663634773303e-06
0.38697411,0.753823134,0.921557391,0.261784652658113,0.01859352,1587705.6103758446,0.387989819,0.03672237,0.38796643643529105,0.036728742617155606,-2.3382564708962494e-05,6.372617155608884e-06
0.429045307,0.758842284,0.901045265,0.2636805605898617,0.020186165,1677389.9834202144,0.391639645,0.038185725,0.3916052887336603,0.038192352505830064,-3.435626633968569e-05,6.627505830067437e-06
0.471116505,0.762626688,0.882364751,0.2655764685666747,0.02213465,1801453.8314875648,0.399933998,0.040360092,0.39989030926540586,0.04036709711786907,-4.368873459414946e-05,7.005117869073041e-06
0.513187702,0.765745461,0.859905128,0.2674723764984235,0.022383393,1790441.313657051,0.387056836,0.039252192,0.38700234786002763,0.03925900550334239,-5.448813997238622e-05,6.813503342389948e-06
0.5552589,0.76956177,0.838620143,0.2693682844752365,0.024632442,1928630.8161200008,0.394535757,0.041440666,0.39447473764826374,0.04144785974738028,-6.101935173624673e-05,7.193747380278281e-06
0.597330097,0.772212727,0.813536877,0.2712641924069852,0.024546073,1893237.5466307364,0.376345353,0.03959936,0.376275919436759,0.0396062332957249,-6.943356324101702e-05,6.873295724900419e-06
0.639401294,0.776463351,0.787772,0.2731601003387339,0.027593171,2077112.2816441827,0.38554705,0.042300972,0.38547515805118965,0.04230831308889333,-7.189194881035421e-05,7.341088893331182e-06
0.681472492,0.77986728,0.756458974,0.27505600831554694,0.030374253,2241816.6654460663,0.387061626,0.044032672,0.3869893660596631,0.04404031389584267,-7.225994033688288e-05,7.641895842666613e-06
0.723543689,0.783662851,0.683235244,0.27695191624729565,0.033504266,2418424.5187962507,0.360094359,0.043112273,0.3600336290935938,0.04311975568075601,-6.0729906406153944e-05,7.482680756010218e-06
0.765614887,0.787866813,0.653871971,0.27884782422410864,0.035988239,2533652.1668001395,0.354778606,0.043457164,0.3547184976404055,0.04346470680110305,-6.0108359594523986e-05,7.542801103051222e-06
0.807686084,0.792475578,0.624646672,0.28074373215585735,0.037971271,2599974.251427637,0.344017555,0.042850731,0.3439580180349735,0.04285816754319847,-5.953696502647432e-05,7.436543198464929e-06
0.849757282,0.797092319,0.601825544,0.28263964013267034,0.041688594,2774838.416322238,0.347614293,0.044318576,0.34755625300827897,0.0443262685424437,-5.8039991721048345e-05,7.692542443704653e-06
0.891828479,0.801196975,0.57989335,0.2845355480644191,0.043719993,2836575.5698074214,0.340034616,0.043878386,0.3399765915949985,0.04388600225041608,-5.802440500152217e-05,7.616250416078718e-06
0.933899676,0.809152637,0.549575084,0.2864314559961678,0.047378584,2921920.3529216577,0.329666029,0.043260818,0.3296111171828827,0.04326832626395945,-5.491181711730908e-05,7.5082639594478695e-06
0.975970874,0.815269739,0.537167625,0.2883273639729808,0.050211487,2974886.434610121,0.328186089,0.043376091,0.3281293754169571,0.0433836189917202,-5.671358304293328e-05,7.527991720199245e-06
1.018042071,0.819580186,0.524092907,0.2902232719047295,0.053168762,3060412.135865625,0.328040111,0.043767175,0.32798277566436895,0.04377477086358258,-5.733533563107018e-05,7.595863582579576e-06
1.060113269,0.82415226,0.504943306,0.29211917988154257,0.055310714,3085810.0488673747,0.318015491,0.042755119,0.31795889915793313,0.04276254020730045,-5.6591842066855413e-05,7.421207300448152e-06
1.102184466,0.827929484,0.485721568,0.2940150878132913,0.059560069,3236673.4949186025,0.317544353,0.043335967,0.3174907887696321,0.04334348845075784,-5.356423036789737e-05,7.5214507578372225e-06
1.144255663,0.831855469,0.461937578,0.29591099574504,0.064044348,3384903.295346749,0.312455047,0.043305823,0.3124061857882924,0.043313339379741474,-4.8861211707607044e-05,7.516379741473456e-06
1.186326861,0.83656673,0.45000355,0.297806903721853,0.068604632,3504482.595531971,0.314092951,0.04392475,0.31404494638918246,0.04393237375099317,-4.8004610817553584e-05,7.623750993168699e-06
1.228398058,0.839888104,0.439463027,0.29970281165360174,0.070902047,3534203.324577026,0.309295774,0.043431434,0.3092473358967199,0.043438971846436865,-4.8438103280146194e-05,7.537846436866946e-06
1.270469256,0.843577987,0.429515,0.30159871963041474,0.074097701,3592592.4480656693,0.307065085,0.04333915,0.30701660795619207,0.04334667203355872,-4.847704380794848e-05,7.522033558721164e-06
1.312540453,0.847596897,0.414768475,0.30349462756216344,0.076225833,3583745.9689732683,0.296027305,0.041947026,0.29597977043119333,0.041954306722659346,-4.753456880668416e-05,7.280722659347427e-06
1.35461165,0.850788255,0.40396485,0.3053905354939122,0.078022308,3577922.288802169,0.288139645,0.040941602,0.2880920860840575,0.04094870772862205,-4.755891594249162e-05,7.105728622051888e-06
1.396682848,0.855205187,0.399110714,0.3072864434707252,0.07929366,3510360.58291793,0.281303067,0.039891862,0.28125283566510345,0.03989878544415565,-5.0231334896566615e-05,6.923444155648717e-06
1.438754045,0.858761067,0.394710179,0.3091823514024739,0.080333543,3454694.029170786,0.275386383,0.038987836,0.27533363020769747,0.038994602370793656,-5.275279230254615e-05,6.766370793657994e-06
1.480825243,0.865985692,0.391183753,0.3110782593792869,0.08261714,3343037.092278241,0.267550253,0.037705229,0.26749386757296995,0.037711773287804666,-5.63854270300701e-05,6.5442878046662045e-06
1.52289644,0.869826329,0.380999385,0.31297416731103567,0.084651994,3312519.0354459146,0.258910015,0.036549721,0.2588539013676872,0.0365560649342003,-5.611363231278199e-05,6.343934200299384e-06
1.564967638,0.874811181,0.376129033,0.31487007528784866,0.087602359,3277914.379971246,0.254525416,0.035910186,0.2544675250852406,0.035916418354524096,-5.789091475938424e-05,6.232354524099426e-06
1.607038835,0.88164257,0.375012284,0.31676598321959737,0.089792677,3151914.8829328474,0.247550927,0.034696158,0.2474886129987838,0.034702180157051524,-6.231400121620156e-05,6.022157051525923e-06
1.649110032,0.886517347,0.372011734,0.3186618911513461,0.095002456,3179857.5264729466,0.248690241,0.034915671,0.24862623917832982,0.03492173175773794,-6.400182167018431e-05,6.0607577379370725e-06
1.69118123,0.891636203,0.367893636,0.32055779912815907,0.098108285,3117689.004185566,0.243083684,0.034049569,0.24301751718984857,0.03405547905191393,-6.616681015142456e-05,5.910051913929348e-06
1.733252427,0.899851497,0.362483307,0.32245370705990783,0.103314609,3006532.770001886,0.234132521,0.032650787,0.2340641114868909,0.032656454380910076,-6.840951310910226e-05,5.6673809100751815e-06
1.775323625,0.903377864,0.357645574,0.32434961503672083,0.106009322,2964707.372829056,0.228930054,0.031891357,0.2288603984630238,0.031896891884792944,-6.965553697618754e-05,5.5348847929417855e-06
1.817394822,0.905796309,0.353779424,0.32624552296846954,0.098650683,2682674.9623143678,0.20882192,0.028622004,0.20874807491892755,0.028626971565894787,-7.384508107244336e-05,4.967565894787446e-06
1.859466019,0.908403396,0.349876562,0.3281414309002183,0.089844498,2368768.9220059332,0.186990023,0.025066007,0.18691178072388082,0.025070357645991907,-7.824227611918921e-05,4.350645991905988e-06
1.901537217,0.911760663,0.343642374,0.3300373388770313,0.078122497,1976915.4168633856,0.159374617,0.020622652,0.1592924719828421,0.02062623129451133,-8.214501715789191e-05,3.5792945113286012e-06
1.943608414,0.915147443,0.340122336,0.33193324680878,0.082458221,1999117.916393839,0.159549171,0.020717316,0.15946631206726503,0.020720912113293195,-8.285893273496381e-05,3.596113293195813e-06
1.985679612,0.918242686,0.336635672,0.333829154785593,0.080679019,1878279.9953115657,0.150826924,0.019330666,0.15074190008630836,0.019334020687729978,-8.502391369163975e-05,3.3546877299776845e-06
2.027750809,0.921595167,0.338174202,0.3357250627173417,0.090265979,2007970.505438236,0.160506718,0.020835641,0.1604193753490787,0.02083925674145272,-8.734265092127935e-05,3.6157414527206166e-06
2.069822006,0.924389699,0.334284504,0.33762097064909047,0.0865072,1850157.548908612,0.149193535,0.019034826,0.14910400359428547,0.019038129990008278,-8.953140571452134e-05,3.3039900082763862e-06
2.111893204,0.926554096,0.33030034,0.33951687862590346,0.08758854,1815409.795994351,0.145417309,0.018497939,0.14532712625664596,0.018501149354689255,-9.01827433540392e-05,3.2103546892536805e-06
2.153964401,0.928280986,0.326686182,0.34141278655765217,0.06379215,1288702.5320420417,0.11200311,0.013011632,0.1119070137730203,0.013013890119160697,-9.609622697970277e-05,2.258119160696709e-06
2.196035599,0.930051747,0.321205719,0.34330869453446516,0.064552198,1269437.6676852424,0.108807997,0.012626141,0.1087126369950497,0.012628332157955897,-9.536000495030672e-05,2.191157955896972e-06
2.238106796,0.931692892,0.316731742,0.34520460246621393,0.070829497,1357806.4296966244,0.112415821,0.013340469,0.11232177048290953,0.01334278432206336,-9.405051709046597e-05,2.3153220633596178e-06
2.280177994,0.933827776,0.311554041,0.3471005104430269,0.094567156,1752184.5998818926,0.133404766,0.01697262,0.13331557763194543,0.01697556620257506,-8.918836805457686e-05,2.9462025750576215e-06
2.322249191,0.935595346,0.307227015,0.34899641837477563,0.101870519,1833615.6387576926,0.136213166,0.017547879,0.13612520426746835,0.017550924256702884,-8.796173253164397e-05,3.0452567028847743e-06
2.364320388,0.937542785,0.305202935,0.35089232630652434,0.07295072,1270725.3343231424,0.103386891,0.012105991,0.10329233692019922,0.012108092321848932,-9.45540798007738e-05,2.1013218489320667e-06
2.406391586,0.938496363,0.300016877,0.3527882342833374,0.038382388,657704.4538010712,0.066901002,0.006165637,0.06680173598134616,0.006166706744684249,-9.926601865384299e-05,1.0697446842494046e-06
2.448462783,0.939584743,0.305500213,0.3546841422150861,0.026556743,446494.454136435,0.05681729,0.004267096,0.056709910453187504,0.004267836525133348,-0.00010737954681249579,7.405251333482063e-07
2.490533981,0.940881706,0.347159689,0.3565800501918991,0.035273104,579510.2666583367,0.078395079,0.006302231,0.07825431541031153,0.006303324752868898,-0.00014076358968848068,1.0937528688980541e-06
2.532605178,0.942843103,0.347907408,0.3584759581236478,0.054177552,858774.5774208998,0.097334068,0.009378884,0.09719281770805689,0.009380511445697112,-0.00014125029194310412,1.6274456971117346e-06
2.574676375,0.944782964,0.351900653,0.36037186605539656,0.041536584,634749.5486189295,0.084477298,0.007026247,0.08432697863495868,0.007027466120978539,-0.00015031936504132648,1.2191209785390386e-06
2.616747573,0.947159932,0.358054444,0.36226777403220956,0.039905937,582114.1413080707,0.083592953,0.006572785,0.08343326807719165,0.0065739253667982936,-0.00015968492280835078,1.1403667982932963e-06
2.65881877,0.949254933,0.358452375,0.36416368196395826,0.03063336,428189.67338374926,0.073691711,0.004850867,0.0735265583927703,0.004851709035951626,-0.00016515260722969882,8.420359516262549e-07
2.700889968,0.951630306,0.37269061,0.36605958994077126,0.035452751,471178.6494960363,0.081956101,0.005563796,0.08177426048216474,0.0055647614485023955,-0.00018184051783526334,9.654485023952858e-07
2.742961165,0.953036545,0.371460255,0.36795549787252,0.050726247,653602.6498002877,0.094799687,0.007703792,0.09461787297186028,0.0077051295410164,-0.00018181402813971514,1.337541016399775e-06
2.785032362,0.954116151,0.370385351,0.36985140580426873,0.062624441,787468.2339470543,0.104193695,0.009265246,0.10401124087476012,0.009266854119478005,-0.00018245412523988647,1.608119478005779e-06
2.82710356,0.955498461,0.369409584,0.3717473137810817,0.060897061,741603.821196477,0.100958258,0.008715232,0.10077282831900655,0.008716745032306891,-0.00018542968099344304,1.5130323068913987e-06
2.869174757,0.957480198,0.369268132,0.3736432217128305,0.040987277,475927.8139328729,0.082596111,0.005602496,0.08240404396949531,0.005603468698426671,-0.0001920670305046862,9.7269842667079e-07
2.911245955,0.959855172,0.370205919,0.3755391296896435,0.043844364,479477.52380246314,0.083640833,0.005672653,0.08344417414816481,0.005673637113269882,-0.00019665885183518805,9.841132698820698e-07
2.953317152,0.961657838,0.369482923,0.3774350376213922,0.044397126,462851.2772850328,0.082609324,0.005475519,0.08240971310016376,0.005476469160989196,-0.00019961089983623614,9.501609891963622e-07
2.99538835,0.963563401,0.369523738,0.3793309455982052,0.038948969,385109.37432612287,0.077510631,0.004565366,0.07730645377212789,0.00456615828506108,-0.0002041772278721099,7.922850610792356e-07
3.037459547,0.964914204,0.368522434,0.3812268535299539,0.034160671,324787.7302020453,0.073239985,0.003845219,0.07303274489115737,0.0038458866316165136,-0.00020724010884262678,6.676316165136337e-07
3.079530744,0.966241876,0.368591854,0.38312276146170265,0.030153149,275458.20261852804,0.070106473,0.003266301,0.06989510106056268,0.0032668675817957974,-0.00021137193943732147,5.665817957973239e-07
3.121601942,0.967401645,0.367612383,0.3850186694385156,0.049202697,433519.22265315894,0.081350103,0.005133034,0.08113841300077361,0.005133925313934717,-0.00021168999922639709,8.913139347170237e-07
3.163673139,0.969141298,0.367854963,0.38691457737026436,0.050764249,422648.2806798882,0.081061202,0.005016626,0.08084555840505082,0.005017496295055783,-0.00021564359494917473,8.702950557836625e-07
3.205744337,0.971099903,0.367924149,0.38881048534707735,0.052902746,411665.23452753114,0.08071839,0.004897058,0.08049892970747068,0.004897908079151831,-0.00021946029252932486,8.500791518310791e-07
3.247815534,0.972537251,0.373769459,0.39070639327882606,0.054364109,401403.0093508793,0.082467593,0.004858023,0.08223728671513697,0.00485886591667805,-0.0002303062848630355,8.429166780494698e-07
3.289886731,0.97416324,0.37940774,0.3926023012105748,0.041764598,289631.1082475772,0.076686026,0.003564117,0.07644343890245742,0.0035647359286958076,-0.00024258709754258756,6.189286958077286e-07
3.331957929,0.975543556,0.385434487,0.3944982091873878,0.053148034,348389.0021920579,0.083599955,0.004361446,0.08334646502539385,0.004362203338267548,-0.0002534899746061553,7.573382675481882e-07
3.374029126,0.97686724,0.384535792,0.3963941171191365,0.049368526,305683.96245013067,0.080457172,0.003823084,0.08020049941900015,0.0038237474707299734,-0.0002566725809998449,6.634707299733693e-07
3.416100324,0.977990317,0.384009388,0.3982900250959496,0.052398351,308338.2757008215,0.080836711,0.003855429,0.0805770165351298,0.0038560980619522555,-0.00025969446487020265,6.690619522554085e-07
3.458171521,0.978786761,0.381244801,0.4001859330276983,0.044065469,249716.86972145806,0.075810604,0.003102478,0.07555027464102812,0.0031030168380834075,-0.0002603293589718836,5.388380834073746e-07
3.500242718,0.980317034,0.381845345,0.402081840959447,0.044531861,233789.72766624767,0.075222546,0.002913724,0.07495733550469064,0.002914229218323136,-0.0002652104953093648,5.052183231360821e-07
3.542313916,0.98157212,0.382838496,0.40397774893626004,0.033576816,164825.0661895493,0.070764651,0.002062196,0.07049335041187889,0.00206255390735637,-0.00027130058812110946,3.5790735637003523e-07
3.584385113,0.982954431,0.415976616,0.4058736568680087,0.034509601,156476.3269992249,0.082142414,0.002130197,0.08181724988141062,0.0021305669170418344,-0.0003251641185893772,3.6991704183446036e-07
3.626456311,0.984302044,0.421037084,0.40776956484482174,0.03394993,141574.22426093015,0.083212213,0.001953448,0.0828741931276183,0.0019537867513015612,-0.0003380198723816896,3.387513015612291e-07
3.668527508,0.985582256,0.423793375,0.40966547277657045,0.039981942,152932.189303097,0.085625133,0.002126742,0.08527811986115892,0.0021271111227179787,-0.00034701313884108465,3.6912271797863785e-07
3.710598706,0.986444106,0.423881586,0.41156138075338344,0.055241619,198496.41486822488,0.089879257,0.002763367,0.08952819215537815,0.0027638465908379497,-0.0003510648446218567,4.795908379495901e-07
3.752669903,0.987422013,0.4248609,0.4134572886851322,0.071879745,239411.74458742572,0.094117238,0.003343982,0.09376049941830916,0.0033445620260835625,-0.0003567385816908436,5.800260835624182e-07
3.7947411,0.988208087,0.422232632,0.4153531966168809,0.107259946,334660.1671821112,0.101431318,0.004649145,0.10107585995706474,0.004649951844014858,-0.0003554580429352694,8.068440148579006e-07
3.836812298,0.989128165,0.420291573,0.4172491045936939,0.116473792,334741.1363028193,0.101064403,0.004633202,0.1007076970670044,0.0046340057705414215,-0.0003567059329955963,8.037705414212087e-07
3.878883495,0.990334995,0.419669462,0.4191450125254427,0.133757958,341326.6311070632,0.101811161,0.004723115,0.1014509799546918,0.004723934874866346,-0.0003601810453082027,8.198748663460279e-07
3.920954693,0.991481602,0.418395326,0.4210409205022556,0.118042253,265180.353170146,0.095420006,0.003662534,0.09505633991530715,0.003663169902547413,-0.00036366608469284856,6.359025474132404e-07
3.96302589,0.992482641,0.416504998,0.4229368284340044,0.109557361,216977.41005897825,0.091104212,0.002986253,0.0907386432890019,0.002986770761277909,-0.0003655687109981043,5.17761277908993e-07
4.005097087,0.993632439,0.415335475,0.42483273636575314,0.058361267,97791.84758617992,0.081251758,0.001343681,0.08088199797469788,0.0013439146039460966,-0.00036976002530211827,2.336039460965663e-07
4.047168285,0.994378232,0.412871401,0.4267286443425661,0.065540259,96885.78241082438,0.080649506,0.001324327,0.0802797646243702,0.0013245571272000115,-0.0003697413756297979,2.3012720001152655e-07
4.089239482,0.995059018,0.408851464,0.42862455227431484,0.072149216,93675.63268820444,0.079275933,0.001268849,0.0789090739715732,0.0012690690880063687,-0.0003668590284268136,2.2008800636868012e-07
4.13131068,0.995657248,0.403719785,0.43052046025112783,0.117548222,134060.8043735641,0.080993714,0.001794157,0.08063246660398753,0.001794468946653267,-0.0003612473960124679,3.1194665326707803e-07
4.173381877,0.99643734,0.401339651,0.43241636818287654,0.276850678,258821.62670189844,0.090442443,0.003446128,0.09008304303249769,0.003446726778569031,-0.00035939996750231074,5.98778569030952e-07
4.215453074,0.997273666,0.394255396,0.4343122761146253,0.238247185,170303.30389485855,0.081054872,0.002229379,0.0807028812578779,0.0022297660780208743,-0.00035199074212209636,3.870780208741799e-07
4.257524272,1.0,0.903739993,0.4362081840914383,0.192817086,0.0,0.358157756,0.0,0.3562712785959014,0.0,-0.0018864774040985854,0.0
4.299595469,1.0,0.898712866,0.438104092023187,0.0,0.0,0.355381319,0.0,0.35385002274164734,0.0,-0.0015312962583526324,0.0
4.341666667,1.0,0.895726501,0.44,0.0,0.0,0.353023425,0.0,0.35302342442122925,0.0,-5.78770753545399e-10,0.0
