pore_id,pore_volume_m3,pore_radius_m,pore_shape_factor,pore_clay_volume,pore_center_x_m,pore_center_y_m,pore_center_z_m
1,1.274423e-12,4.525547e-05,0.02447105,0.0,0.0002917766,0.0007386223,0.000788699
2,7.922696e-13,4.414367e-05,0.01844283,0.0,0.000945576,0.0004348668,0.0008432615
3,4.106122e-13,3.951927e-05,0.02963257,0.0,1.4e-06,0.0005194,0.0007011154
4,8.195999e-13,3.915735e-05,0.0327164,0.0,0.0007740824,0.0008276816,0.000676877
5,4.240248e-13,3.922317e-05,0.03632309,0.0,0.0007263431,0.0007667322,0.0009306774
6,5.982579e-13,3.800744e-05,0.02834759,0.0,0.0001079758,0.0008382099,0.000641172
7,5.509513e-13,3.706585e-05,0.03408694,0.0,0.0007548073,0.0007519229,0.0008578247
8,9.858863e-13,3.642808e-05,0.03616365,0.0,0.0007014571,0.0007602833,3.220216e-05
9,6.028239e-13,3.73223e-05,0.03581819,0.0,0.000717608,0.0001719721,0.0002185841
10,6.075875e-13,3.72564e-05,0.03182254,0.0,0.0009079236,0.0001436258,0.000330428
11,7.165572e-13,3.783617e-05,0.05423242,0.0,0.0003570577,0.000946372,0.0007956332
12,4.867197e-13,3.626392e-05,0.02421401,0.0,1.46154e-05,0.0007936479,0.0007606456
13,7.014981e-13,3.699127e-05,0.02800101,0.0,0.0005981315,0.0001931649,0.0008236738
14,4.246834e-13,3.667842e-05,0.0322855,0.0,4.719893e-05,0.0005214205,0.00046245
15,7.499681e-13,3.594829e-05,0.03089188,0.0,0.0007510193,6.042638e-05,0.0006034755
16,8.303344e-13,3.546106e-05,0.02322105,0.0,8.831035e-05,0.0007320265,0.0001159767
17,7.641491e-13,3.643484e-05,0.02875093,0.0,0.0002389314,0.0006964278,0.000946727
18,2.81732e-13,3.544885e-05,0.03476225,0.0,0.0008806,0.0001638649,0.0004135126
19,7.941575e-13,3.566817e-05,0.03443188,0.0,0.0005219105,5.991035e-05,0.0002793575
20,5.273309e-13,3.575983e-05,0.02801942,0.0,0.0009550535,0.0007351172,0.0004067557
21,4.778292e-13,3.539855e-05,0.0269367,0.0,8.827145e-05,0.0008491874,0.0005398309
22,6.382764e-13,3.541545e-05,0.02925176,0.0,0.0004883459,0.0003513106,0.000302372
23,6.80973e-13,3.455688e-05,0.03503402,0.0,0.0001696113,0.0007298484,0.0003821944
24,2.08544e-13,3.480382e-05,0.02095792,0.0,0.0009786,0.0008465492,0.000182556
25,8.168998e-13,3.500156e-05,0.02765814,0.0,0.0004485135,0.0008122411,3.020651e-05
26,8.428031e-13,3.492565e-05,0.02663761,0.0,0.0004108856,0.000632602,0.0002177776
27,5.411168e-13,3.402671e-05,0.03665592,0.0,0.0005721674,0.0002361747,0.0001504354
28,4.339691e-13,3.382307e-05,0.03047234,0.0,0.0008783541,0.0005306,3.164597e-05
29,6.475181e-13,3.39333e-05,0.02853581,0.0,0.0001667154,9.74304e-05,0.0007990739
30,2.306058e-13,3.429059e-05,0.02871045,0.0,0.0009786,0.0002256057,0.000896028
31,7.071837e-13,3.359825e-05,0.02829998,0.0,6.83004e-05,0.0009291819,0.0008806576
32,3.620104e-13,3.326704e-05,0.03582816,0.0,0.0006515966,0.0007489954,0.0002373038
33,4.301275e-13,3.359924e-05,0.02590084,0.0,0.0003567518,0.0002225751,0.000604828
34,6.980516e-13,3.288444e-05,0.02187295,0.0,0.0001503388,0.0003458965,0.0006177356
35,3.093256e-13,3.262795e-05,0.02935763,0.0,0.000833274,0.0005981934,0.000188878
36,1.606886e-13,3.260971e-05,0.02589984,0.0,1.4e-06,0.0005006343,0.0003820911
37,5.466926e-13,3.269546e-05,0.03009732,0.0,0.000306998,0.0008629641,0.0009504617
38,4.656239e-13,3.283577e-05,0.03573896,0.0,0.0004804678,0.0003494783,0.0004292242
39,3.193138e-13,3.21816e-05,0.0334785,0.0,0.0006536699,0.0006483194,0.0002173535
40,5.51083e-13,3.266647e-05,0.02174019,0.0,8.9572e-05,0.0007994984,9.128916e-05
41,3.239237e-13,3.187163e-05,0.03249163,0.0,0.0005050035,0.0004291609,0.0006655784
42,9.590609e-13,3.208069e-05,0.03865108,0.0,0.0008243105,2.685025e-05,0.000100772
43,6.372227e-13,3.174995e-05,0.03234214,0.0,0.0007063769,0.0003801167,0.0004932636
44,4.554381e-13,3.119068e-05,0.02491587,0.0,0.0001184967,0.0003258823,0.0005271593
45,2.854419e-13,3.230569e-05,0.03588816,0.0,0.000515073,0.0007302321,0.000613172
46,5.0854e-13,3.190424e-05,0.03609418,0.0,0.0007631561,9.2372e-05,0.0008814579
47,5.265846e-13,3.08785e-05,0.03206726,0.0,0.0002537948,0.0004098311,0.0009506776
48,3.933579e-13,3.117844e-05,0.04189555,0.0,0.0007123619,0.0009052876,0.0009331495
49,4.757657e-13,3.102956e-05,0.03938845,0.0,0.0004609856,0.000897947,0.0005247786
50,5.074205e-13,3.37083e-05,0.03134121,0.0,0.0005310555,0.000677628,0.000674772
51,2.953642e-13,3.138805e-05,0.03220762,0.0,0.0008059816,0.0002066043,0.0004615617
52,3.189845e-13,3.175881e-05,0.03973639,0.0,0.0005805851,0.000229572,0.000683228
53,4.215443e-13,3.082199e-05,0.0305259,0.0,0.0005858218,0.0003591579,0.000620164
54,4.153099e-13,3.046226e-05,0.03036043,0.0,0.0005334666,0.0009030041,0.0002133069
55,3.426268e-13,3.122518e-05,0.03089087,0.0,0.0002269625,0.0004336908,0.0006461963
56,3.046279e-13,3.000659e-05,0.035001,0.0,0.0007126443,0.0007435923,0.0007019124
57,2.219567e-13,3.008425e-05,0.03129999,0.0,0.0006848829,0.0007685512,0.0003633085
58,2.815783e-13,2.996517e-05,0.02564629,0.0,2.299325e-05,0.0003625988,0.0001416352
59,3.238359e-13,2.977692e-05,0.03893769,0.0,0.0005143128,0.0009536953,0.0007076037
60,2.71195e-13,2.952391e-05,0.02600522,0.0,0.0009362112,0.000542145,0.0001780552
61,1.314047e-13,3.013158e-05,0.04211322,0.0,3.21086e-06,0.0006027429,0.000791326
62,5.291969e-13,3.015142e-05,0.03535135,0.0,0.000929572,0.0006454017,0.000572501
63,1.775697e-13,2.95134e-05,0.03610599,0.0,0.0004885985,0.0003521023,0.0006902489
64,4.09778e-13,2.906462e-05,0.03445365,0.0,0.0002392907,0.0006481999,0.0002026485
65,2.293106e-13,2.972834e-05,0.0383434,0.0,0.0004790913,0.0002677139,0.0007094513
66,4.437377e-13,2.943357e-05,0.02556484,0.0,0.0003885667,0.0002755605,0.0002558084
67,3.481368e-13,2.929754e-05,0.04123775,0.0,0.0005945586,0.0001133392,8.759619e-05
68,2.942666e-13,2.880607e-05,0.02376335,0.0,0.0009531343,0.0007376977,0.0002788376
69,2.494845e-13,2.978751e-05,0.02850403,0.0,0.000599172,0.0001777305,0.0003012893
70,3.149453e-13,2.947468e-05,0.03080005,0.0,0.000736372,0.0005336801,0.0005129626
71,2.794929e-13,2.851854e-05,0.03591919,0.0,0.0001746001,0.0003873956,0.0008747406
72,5.846696e-13,2.826218e-05,0.03654586,0.0,0.0007654492,0.0008718491,0.0005362036
73,1.899068e-13,2.884651e-05,0.03478471,0.0,0.0007381245,0.0008184447,0.000338475
74,8.758848e-14,2.794997e-05,0.04408501,0.0,0.0006006033,0.0001501705,0.0001607427
75,2.632703e-13,2.801697e-05,0.03076003,0.0,0.0006040174,0.0001780381,0.0003765885
76,2.612288e-13,2.806425e-05,0.03344012,0.0,0.0002810353,0.0004712173,0.0006340064
77,2.78066e-13,2.781651e-05,0.02431436,0.0,0.0003765098,0.0007186443,7.42e-05
78,2.921811e-13,2.822427e-05,0.03794299,0.0,0.0007853598,0.0001754041,0.0006461837
79,4.297104e-13,2.784061e-05,0.02696033,0.0,0.000224957,0.0005251609,0.0004465158
80,3.29741e-13,2.787986e-05,0.04325398,0.0,0.0001635732,0.0004124232,0.000322882
81,1.320632e-13,2.694253e-05,0.02302832,0.0,0.0009786,0.0008443434,0.0006146
82,2.426135e-13,2.845064e-05,0.03243699,0.0,0.000758828,0.000283297,0.0004121591
83,4.01985e-13,2.836557e-05,0.03250518,0.0,0.0001787305,0.0002315782,0.000937972
84,2.082147e-13,2.778833e-05,0.02665367,0.0,0.0008178882,0.0005921489,0.0003763183
85,1.154017e-13,2.804256e-05,0.04000743,0.0,0.0007574643,0.0008788547,0.0003159422
86,3.286214e-13,2.737393e-05,0.02936573,0.0,0.0003241078,0.0002002473,0.0005082602
87,3.214651e-13,2.8564e-05,0.02882199,0.0,7.814196e-05,0.000591072,0.000593628
88,5.236869e-13,2.871253e-05,0.02909722,0.0,0.000851228,0.0002496393,9.362294e-05
89,2.10388e-13,2.736524e-05,0.03178846,0.0,0.0008728161,0.0001549302,0.0008634511
90,2.605263e-13,2.653458e-05,0.03937779,0.0,0.0003040109,0.0005193953,0.0007094359
91,1.200116e-13,2.84055e-05,0.03299714,0.0,0.000333228,0.000624428,0.0001751313
92,2.527773e-13,2.767582e-05,0.03013654,0.0,0.0008018867,0.0009273933,0.000783972
93,1.10682e-13,2.744189e-05,0.0507874,0.0,0.0005931859,0.000951127,0.0002693978
94,2.59758e-13,2.602801e-05,0.04055304,0.0,0.0008973906,0.0006398013,0.0007710602
95,4.581821e-13,2.65595e-05,0.02267003,0.0,0.0007181961,0.0004495915,0.0009217212
96,1.283753e-13,2.626324e-05,0.03423525,0.0,0.0008559469,0.000124402,0.0009062576
97,1.372439e-13,2.686251e-05,0.02472763,0.0,1.4e-06,0.000180988,0.000845628
98,2.56575e-13,2.670736e-05,0.02944711,0.0,0.0008267169,0.0006078889,0.0004458296
99,1.86131e-13,2.590711e-05,0.03251816,0.0,0.000230675,0.0003737896,0.0001576114
100,8.526157e-14,2.558365e-05,0.02463974,0.0,1.4e-06,0.000740239,0.0001778
101,3.771354e-13,2.655689e-05,0.03325928,0.0,0.0003537807,0.0001149977,0.0001674141
102,1.685694e-13,2.619939e-05,0.02803644,0.0,0.0001384163,0.000154954,0.0001788274
103,2.65707e-13,2.583865e-05,0.02782648,0.0,0.0002081927,0.0006867873,0.0005727708
104,2.292886e-13,2.682676e-05,0.03314299,0.0,0.0008580967,0.000184828,0.0001876372
105,2.759366e-13,2.640691e-05,0.02850308,0.0,0.0003139441,0.0002075458,0.0002564267
