throat_id,pore1_id,pore2_id,throat_radius_m,throat_shape_factor,pore_center_to_center_length_m,pore1_id_link2,pore2_id_link2,pore1_length_m,pore2_length_m,throat_length_m,throat_volume_m3,throat_clay_volume
1,-1,215,7.735038e-06,0.0190787,3.838501e-05,-1,215,2.8e-06,2.477996e-05,1.080505e-05,2.847174e-14,0.0
2,-1,200,2.078e-05,0.01547124,8.428e-06,-1,200,2.8e-06,0.0,5.628e-06,5.494586e-14,0.0
3,-1,188,1.355511e-05,0.02525471,8.797221e-05,-1,188,2.8e-06,5.800338e-05,2.716883e-05,6.021434e-14,0.0
4,-1,16,1.117887e-05,0.01778981,9.227701e-05,-1,16,2.8e-06,6.08876e-05,2.858941e-05,1.076965e-13,0.0
5,-1,279,1.74131e-05,0.02014349,8.428e-06,-1,279,2.8e-06,1.130334e-06,4.497666e-06,6.346323e-14,0.0
6,-1,583,1.013705e-05,0.02730646,8.752145e-06,-1,583,2.8e-06,4.925937e-06,1.026208e-06,1.552006e-14,0.0
7,-1,143,1.019342e-05,0.03346793,7.230844e-05,-1,143,2.8e-06,4.750866e-05,2.199979e-05,2.052512e-14,0.0
8,-1,124,8.763668e-06,0.03549332,8.312322e-05,-1,124,2.8e-06,5.475456e-05,2.556866e-05,1.791283e-14,0.0
9,-1,178,1.246132e-05,0.04460966,0.0001297963,-1,178,2.8e-06,8.602549e-05,4.097076e-05,3.23353e-14,0.0
10,-1,58,3.010927e-05,0.02823706,2.305428e-05,-1,58,2.8e-06,1.450837e-05,5.745914e-06,2.557408e-13,0.0
11,-1,443,1.261324e-05,0.02113811,8.428e-06,-1,443,2.8e-06,3.568044e-06,2.059956e-06,2.983277e-14,0.0
12,-1,1050,6.803355e-06,0.04406812,8.428e-06,-1,1050,2.8e-06,5.440918e-07,5.083908e-06,1.009792e-15,0.0
13,-1,674,8.762552e-06,0.01502095,8.428e-06,-1,674,2.8e-06,0.0,5.628e-06,5.81728e-15,0.0
14,-1,880,7.912058e-06,0.02893036,8.428e-06,-1,880,2.8e-06,0.0,5.628e-06,4.06112e-15,0.0
15,-1,276,9.425909e-06,0.05781951,4.657801e-05,-1,276,2.8e-06,3.026927e-05,1.350874e-05,8.45152e-15,0.0
16,-1,1184,1.367362e-06,0.0625,1.690605e-05,-1,1184,2.8e-06,1.038905e-05,3.716995e-06,6.5856e-17,0.0
17,-1,459,1.239871e-05,0.01067983,2.016571e-05,-1,459,2.8e-06,1.257303e-05,4.792686e-06,3.062304e-14,0.0
18,-1,348,1.400281e-05,0.02583682,2.432979e-05,-1,348,2.8e-06,1.536296e-05,6.166832e-06,2.452038e-14,0.0
19,-1,451,7.619757e-06,0.02227165,5.131974e-05,-1,451,2.8e-06,3.344623e-05,1.507352e-05,3.659398e-14,0.0
20,-1,100,2.558365e-05,0.01876914,8.428e-06,-1,100,2.8e-06,0.0,5.628e-06,1.119332e-13,0.0
21,-1,268,1.378057e-06,0.015625,6.665014e-05,-1,268,2.8e-06,4.371759e-05,2.013255e-05,8.12224e-16,0.0
22,-1,350,1.374831e-06,0.015625,6.106203e-05,-1,350,2.8e-06,3.997356e-05,1.828847e-05,9.8784e-16,0.0
