figure_context,data_source,frequency_hz,real_conductivity_s_m,imaginary_conductivity_s_m,real_relative_permittivity,iterations,relative_residual_norm,imaginary_relative_permittivity
ours_full_grid_gpu_fft,our_simulation,0.001,0.0026583875728862,3.718191679573615e-05,668348805.8744484,172.0,8.529268908953394e-06,
ours_full_grid_gpu_fft,our_simulation,0.01,0.0027408185131195,0.0001098282958272,197417499.4005483,1.0,9.113579240346638e-06,
ours_full_grid_gpu_fft,our_simulation,0.1,0.0029897292274052,0.0002820441417638,50697726.636120096,1.0,8.457702965710499e-06,
ours_full_grid_gpu_fft,our_simulation,1.0,0.0035905870991253,0.0004781443604227,8594694.406953217,1.0,8.426773843546294e-06,
ours_full_grid_gpu_fft,our_simulation,10.0,0.0043506158892128,0.0005181825346209,931438.4735501014,1.0,8.46130247998586e-06,
ours_full_grid_gpu_fft,our_simulation,100.0,0.0051228083090379,0.0004244870626822,76301.98922002174,1.0,9.957947812323031e-06,
ours_full_grid_gpu_fft,our_simulation,1000.0,0.0055720677842565,0.0001956677295918,3517.147707561573,70.0,9.95826180813679e-06,
ours_full_grid_gpu_fft,our_simulation,10000.0,0.0057117004373177,7.881437340561225e-05,141.66965259151033,418.0,9.3548197340687e-06,
ours_full_grid_gpu_fft,our_simulation,100000.0,0.005765720116618,0.0001925832042638,34.617030452810305,205.0,9.254215753889592e-06,
ours_full_grid_gpu_fft,our_simulation,1000000.0,0.006039804664723,0.0014196493258017,25.518343684982863,84.0,9.580880978752527e-06,
ours_full_grid_gpu_fft,our_simulation,100000000.0,0.0085924067055393,0.0874888862973761,15.72621793689833,14.0,8.362016307389232e-06,
ours_full_grid_gpu_fft,our_simulation,1000000000.0,0.0086189584548104,0.8726728396501459,15.686384688110628,11.0,2.4810072333421635e-06,
figure6_conductivity_experiment,paper_experiment,0.002,0.00264398781736048,1.60650676742921e-05,,,,
figure6_conductivity_experiment,paper_experiment,0.005,0.0025479491648252,2.82732042861887e-05,,,,
figure6_conductivity_experiment,paper_experiment,0.01,0.00252088736223894,3.54989611590129e-05,,,,
figure6_conductivity_experiment,paper_experiment,0.02,0.00251952708098358,4.08728336749761e-05,,,,
figure6_conductivity_experiment,paper_experiment,0.05,0.00253729599890799,4.40493458687292e-05,,,,
figure6_conductivity_experiment,paper_experiment,0.1,0.00255512674194494,4.32419823120681e-05,,,,
figure6_conductivity_experiment,paper_experiment,0.2,0.002572086033634,4.08172870807035e-05,,,,
figure6_conductivity_experiment,paper_experiment,0.5,0.00259355658226104,3.75988298510552e-05,,,,
figure6_conductivity_experiment,paper_experiment,1.0,0.00260823928911203,3.53438054642923e-05,,,,
figure6_conductivity_experiment,paper_experiment,2.0,0.00262230754983846,3.34441013079135e-05,,,,
figure6_conductivity_experiment,paper_experiment,5.0,0.00264012772643067,3.18177195058805e-05,,,,
figure6_conductivity_experiment,paper_experiment,10.0,0.0026532730131495,3.10553253824406e-05,,,,
figure6_conductivity_experiment,paper_experiment,20.0,0.00266636879104168,3.02539185272497e-05,,,,
figure6_conductivity_experiment,paper_experiment,30.0,0.00267402325696144,2.97470617211758e-05,,,,
figure6_conductivity_experiment,paper_experiment,70.0,0.00268962577546028,2.87962337535765e-05,,,,
figure6_conductivity_experiment,paper_experiment,130.0,0.00270040736983285,2.82256856687739e-05,,,,
figure6_conductivity_experiment,paper_experiment,200.0,0.00270803340745445,2.81483129142586e-05,,,,
figure6_conductivity_experiment,paper_experiment,500.0,0.0027234382050155,2.91146634567958e-05,,,,
figure6_conductivity_experiment,paper_experiment,1000.0,0.00273526287806537,3.1284565607207e-05,,,,
figure6_conductivity_experiment,paper_experiment,2000.0,0.00274732085639598,3.55907851798338e-05,,,,
figure6_conductivity_experiment,paper_experiment,5000.0,0.00276364469647835,4.77107737434982e-05,,,,
figure6_conductivity_experiment,paper_experiment,10000.0,0.00277562147239663,6.67443517419181e-05,,,,
figure6_conductivity_experiment,paper_experiment,20000.0,0.002782969441929,0.000103557523434116,,,,
figure6_conductivity_experiment,paper_experiment,45000.0,0.00276085704419195,0.000198601406505042,,,,
figure6_permittivity_experiment,paper_experiment,1096520.5777,,,46.516400000000026,,,7.4568
figure6_permittivity_experiment,paper_experiment,1282054.2618,,,46.55959999999996,,,7.8295
figure6_permittivity_experiment,paper_experiment,1467587.9459,,,45.395999999999965,,,8.2566
figure6_permittivity_experiment,paper_experiment,1653121.6299,,,45.53099999999995,,,8.5375
figure6_permittivity_experiment,paper_experiment,1838655.314,,,44.763799999999996,,,9.026
figure6_permittivity_experiment,paper_experiment,2024188.9981,,,44.161400000000036,,,9.456
figure6_permittivity_experiment,paper_experiment,2209722.6822,,,43.583700000000036,,,9.8961
figure6_permittivity_experiment,paper_experiment,2395256.3663,,,43.54940000000003,,,10.4342
figure6_permittivity_experiment,paper_experiment,2580790.0504,,,43.109600000000015,,,10.7745
figure6_permittivity_experiment,paper_experiment,2766323.7344,,,42.53189999999999,,,11.2037
figure6_permittivity_experiment,paper_experiment,3329719.5829,,,40.79719999999999,,,12.4731
figure6_permittivity_experiment,paper_experiment,3893115.4313,,,39.33579999999999,,,13.4555
figure6_permittivity_experiment,paper_experiment,4456511.2797,,,37.88780000000002,,,13.8887
figure6_permittivity_experiment,paper_experiment,5019907.1281,,,36.19690000000006,,,14.0863
figure6_permittivity_experiment,paper_experiment,5583302.9765,,,34.896299999999876,,,14.1936
figure6_permittivity_experiment,paper_experiment,6146698.8249,,,33.58629999999987,,,14.4888
figure6_permittivity_experiment,paper_experiment,6710094.6733,,,32.43740000000007,,,14.3986
figure6_permittivity_experiment,paper_experiment,7273490.5217,,,31.38449999999998,,,14.3174
figure6_permittivity_experiment,paper_experiment,7836886.3701,,,30.227400000000046,,,14.09
figure6_permittivity_experiment,paper_experiment,8400282.2186,,,29.441700000000054,,,13.8906
figure6_permittivity_experiment,paper_experiment,10111102.998,,,27.134599999999995,,,12.7777
figure6_permittivity_experiment,paper_experiment,11821923.7774,,,25.66539999999995,,,11.8911
figure6_permittivity_experiment,paper_experiment,13532744.5567,,,24.55800000000004,,,11.1534
figure6_permittivity_experiment,paper_experiment,15243565.3361,,,23.690999999999995,,,10.3467
figure6_permittivity_experiment,paper_experiment,16954386.1155,,,22.910700000000027,,,9.7107
figure6_permittivity_experiment,paper_experiment,18665206.8949,,,22.374900000000043,,,9.223
figure6_permittivity_experiment,paper_experiment,20376027.6743,,,21.951000000000025,,,8.819
figure6_permittivity_experiment,paper_experiment,22086848.4537,,,21.526799999999987,,,8.3095
figure6_permittivity_experiment,paper_experiment,23797669.2331,,,21.188899999999965,,,7.9433
figure6_permittivity_experiment,paper_experiment,25508490.0125,,,20.85620000000001,,,7.4607
figure6_permittivity_experiment,paper_experiment,30703607.7037,,,20.207500000000003,,,6.5124
figure6_permittivity_experiment,paper_experiment,35898725.3948,,,19.77779999999999,,,5.7799
figure6_permittivity_experiment,paper_experiment,41093843.086,,,19.464399999999994,,,5.1491
figure6_permittivity_experiment,paper_experiment,46288960.7772,,,19.249999999999996,,,4.6401
figure6_permittivity_experiment,paper_experiment,51484078.4683,,,19.11060000000001,,,4.2329
figure6_permittivity_experiment,paper_experiment,56679196.1595,,,19.000699999999984,,,3.8609
figure6_permittivity_experiment,paper_experiment,61874313.8507,,,18.919299999999996,,,3.5719
figure6_permittivity_experiment,paper_experiment,67069431.5418,,,18.833399999999997,,,3.292
figure6_permittivity_experiment,paper_experiment,72264549.233,,,18.773299999999995,,,3.0639
figure6_permittivity_experiment,paper_experiment,77459666.9241,,,18.716800000000013,,,2.8745
figure6_permittivity_experiment,paper_experiment,93235280.6822,,,18.5325,,,2.4565
figure6_permittivity_experiment,paper_experiment,109010894.4403,,,18.39820000000001,,,2.161
figure6_permittivity_experiment,paper_experiment,124786508.1984,,,18.32800000000006,,,1.9272
figure6_permittivity_experiment,paper_experiment,140562121.9565,,,18.31519999999997,,,1.7452
figure6_permittivity_experiment,paper_experiment,156337735.7145,,,18.316400000000037,,,1.6049
figure6_permittivity_experiment,paper_experiment,172113349.4726,,,18.31250000000003,,,1.4879
figure6_permittivity_experiment,paper_experiment,187888963.2307,,,18.285400000000017,,,1.3722
figure6_permittivity_experiment,paper_experiment,203664576.9888,,,18.20909999999999,,,1.2728
figure6_permittivity_experiment,paper_experiment,219440190.7469,,,18.169999999999998,,,1.2037
figure6_permittivity_experiment,paper_experiment,235215804.5049,,,18.183999999999976,,,1.1575
figure6_permittivity_experiment,paper_experiment,283120395.7459,,,18.21209999999999,,,1.0522
figure6_permittivity_experiment,paper_experiment,331024986.9869,,,18.14049999999999,,,0.9395
figure6_permittivity_experiment,paper_experiment,378929578.2279,,,18.187400000000004,,,0.9098
figure6_permittivity_experiment,paper_experiment,426834169.4689,,,18.1394,,,0.8481
figure6_permittivity_experiment,paper_experiment,474738760.71,,,18.169700000000006,,,0.8514
