frequency_hz,metric,full350_value,reference_table,reference_frequency_hz,reference_value,absolute_error,relative_error,relative_residual_norm,iterations,info
0.001,real_conductivity_vs_figure6_experiment,0.0026583875728862,figure6_conductivity_experiment,0.002,0.00264398781736048,1.439975552572012e-05,0.00544622612523818,8.529268908953394e-06,172,0
0.001,imaginary_conductivity_vs_figure6_experiment,3.718191679573615e-05,figure6_conductivity_experiment,0.002,1.60650676742921e-05,2.1116849121444052e-05,1.3144575267016145,8.529268908953394e-06,172,0
0.001,real_conductivity_vs_figure7_simulation,0.0026583875728862,figure7_simulation_real,0.001,0.002814628106,-0.00015624053311379983,-0.05551018721824695,8.529268908953394e-06,172,0
0.001,real_conductivity_vs_figure7_experiment,0.0026583875728862,figure7_experiment_real,0.002,0.00264398781736048,1.439975552572012e-05,0.00544622612523818,8.529268908953394e-06,172,0
0.001,imaginary_conductivity_vs_figure8_simulation,3.718191679573615e-05,figure8_simulation_all,0.001,7.49761e-07,3.6432155795736154e-05,48.59169228025485,8.529268908953394e-06,172,0
0.001,imaginary_conductivity_vs_figure8_experiment,3.718191679573615e-05,figure8_experiment,0.002,1.60650676742921e-05,2.1116849121444052e-05,1.3144575267016145,8.529268908953394e-06,172,0
0.001,real_relative_permittivity_vs_figure8_simulation,668348805.8744484,figure8_simulation_all,0.001,13490247.939832306,654858557.9346161,48.543107647490466,8.529268908953394e-06,172,0
0.001,real_relative_permittivity_vs_figure8_experiment,668348805.8744484,figure8_experiment,0.002,144527220.0717199,523821585.80272853,3.6243801378230915,8.529268908953394e-06,172,0
0.01,real_conductivity_vs_figure6_experiment,0.0027408185131195,figure6_conductivity_experiment,0.01,0.00252088736223894,0.00021993115088055981,0.08724354533842668,9.113579240346638e-06,1,0
0.01,imaginary_conductivity_vs_figure6_experiment,0.0001098282958272,figure6_conductivity_experiment,0.01,3.54989611590129e-05,7.43293346681871e-05,2.0938453476212637,9.113579240346638e-06,1,0
0.01,real_conductivity_vs_figure7_simulation,0.0027408185131195,figure7_simulation_real,0.01,0.00281554041433333,-7.472190121382994e-05,-0.02653909737307847,9.113579240346638e-06,1,0
0.01,real_conductivity_vs_figure7_experiment,0.0027408185131195,figure7_experiment_real,0.01,0.00252088736223894,0.00021993115088055981,0.08724354533842668,9.113579240346638e-06,1,0
0.01,imaginary_conductivity_vs_figure8_simulation,0.0001098282958272,figure8_simulation_all,0.01,3.38584141e-06,0.00010644245441719999,31.437519224268687,9.113579240346638e-06,1,0
0.01,imaginary_conductivity_vs_figure8_experiment,0.0001098282958272,figure8_experiment,0.01,3.54989611590129e-05,7.43293346681871e-05,2.0938453476212637,9.113579240346638e-06,1,0
0.01,real_relative_permittivity_vs_figure8_simulation,197417499.4005483,figure8_simulation_all,0.01,6092053.348447227,191325446.05210108,31.405740414414964,9.113579240346638e-06,1,0
0.01,real_relative_permittivity_vs_figure8_experiment,197417499.4005483,figure8_experiment,0.01,63872325.66665389,133545173.73389442,2.0908143290547967,9.113579240346638e-06,1,0
0.1,real_conductivity_vs_figure6_experiment,0.0029897292274052,figure6_conductivity_experiment,0.1,0.00255512674194494,0.0004346024854602602,0.17009038272968197,8.457702965710499e-06,1,0
0.1,imaginary_conductivity_vs_figure6_experiment,0.0002820441417638,figure6_conductivity_experiment,0.1,4.32419823120681e-05,0.00023880215945173188,5.522460966945224,8.457702965710499e-06,1,0
0.1,real_conductivity_vs_figure7_simulation,0.0029897292274052,figure7_simulation_real,0.1,0.00282027479266667,0.0001694544347385302,0.06008437021071447,8.457702965710499e-06,1,0
0.1,real_conductivity_vs_figure7_experiment,0.0029897292274052,figure7_experiment_real,0.1,0.00255512674194494,0.0004346024854602602,0.17009038272968197,8.457702965710499e-06,1,0
0.1,imaginary_conductivity_vs_figure8_simulation,0.0002820441417638,figure8_simulation_all,0.1,2.00756258e-05,0.00026196851596379996,13.049083429508832,8.457702965710499e-06,1,0
0.1,imaginary_conductivity_vs_figure8_experiment,0.0002820441417638,figure8_experiment,0.1,4.32419823120681e-05,0.00023880215945173188,5.522460966945224,8.457702965710499e-06,1,0
0.1,real_relative_permittivity_vs_figure8_simulation,50697726.636120096,figure8_simulation_all,0.1,3612153.334053042,47085573.30206706,13.0353196411057,8.457702965710499e-06,1,0
0.1,real_relative_permittivity_vs_figure8_experiment,50697726.636120096,figure8_experiment,0.1,7780413.529106498,42917313.1070136,5.516070957727387,8.457702965710499e-06,1,0
1.0,real_conductivity_vs_figure6_experiment,0.0035905870991253,figure6_conductivity_experiment,1.0,0.00260823928911203,0.0009823478100132702,0.37663254829188186,8.426773843546294e-06,1,0
1.0,imaginary_conductivity_vs_figure6_experiment,0.0004781443604227,figure6_conductivity_experiment,1.0,3.53438054642923e-05,0.0004428005549584077,12.528378004054128,8.426773843546294e-06,1,0
1.0,real_conductivity_vs_figure7_simulation,0.0035905870991253,figure7_simulation_real,1.0,0.00286133315733333,0.00072925394179197,0.25486509319020056,8.426773843546294e-06,1,0
1.0,real_conductivity_vs_figure7_experiment,0.0035905870991253,figure7_experiment_real,1.0,0.00260823928911203,0.0009823478100132702,0.37663254829188186,8.426773843546294e-06,1,0
1.0,imaginary_conductivity_vs_figure8_simulation,0.0004781443604227,figure8_simulation_all,1.0,4.37869458e-05,0.0004343574146227,9.919792456104577,8.426773843546294e-06,1,0
1.0,imaginary_conductivity_vs_figure8_experiment,0.0004781443604227,figure8_experiment,1.0,3.53438054642923e-05,0.0004428005549584077,12.528378004054128,8.426773843546294e-06,1,0
1.0,real_relative_permittivity_vs_figure8_simulation,8594694.406953217,figure8_simulation_all,1.0,787846.7343193348,7806847.672633883,9.90909441209864,8.426773843546294e-06,1,0
1.0,real_relative_permittivity_vs_figure8_experiment,8594694.406953217,figure8_experiment,1.0,635931.5819981341,7958762.824955083,12.515124347100652,8.426773843546294e-06,1,0
10.0,real_conductivity_vs_figure6_experiment,0.0043506158892128,figure6_conductivity_experiment,10.0,0.0026532730131495,0.0016973428760633002,0.6397166321186498,8.46130247998586e-06,1,0
10.0,imaginary_conductivity_vs_figure6_experiment,0.0005181825346209,figure6_conductivity_experiment,10.0,3.10553253824406e-05,0.0004871272092384594,15.685786680370523,8.46130247998586e-06,1,0
10.0,real_conductivity_vs_figure7_simulation,0.0043506158892128,figure7_simulation_real,10.0,0.00289194503166667,0.00145867085754613,0.5043909346732903,8.46130247998586e-06,1,0
10.0,real_conductivity_vs_figure7_experiment,0.0043506158892128,figure7_experiment_real,10.0,0.0026532730131495,0.0016973428760633002,0.6397166321186498,8.46130247998586e-06,1,0
10.0,imaginary_conductivity_vs_figure8_simulation,0.0005181825346209,figure8_simulation_all,10.0,2.08010988e-05,0.0004973814358209001,23.91130586913515,8.46130247998586e-06,1,0
10.0,imaginary_conductivity_vs_figure8_experiment,0.0005181825346209,figure8_experiment,10.0,3.10553253824406e-05,0.0004871272092384594,15.685786680370523,8.46130247998586e-06,1,0
10.0,real_relative_permittivity_vs_figure8_simulation,931438.4735501014,figure8_simulation_all,10.0,37426.8573896146,894011.6161604868,23.88690043766704,8.46130247998586e-06,1,0
