frequency_hz,direction,effective_sigma_real_s_m,effective_sigma_imag_s_m,real_relative_permittivity,relative_residual_norm,iterations,info,rtol,dtype,solver,preconditioner,used_warm_start,elapsed_total_s,source
0.001,x,0.0026583875728862,3.718191679573615e-05,668348805.8744484,8.529268908953394e-06,172,0,1e-05,complex64,gpu_bicgstab_fft_poisson_face_types,fft,False,19.78208330000052,outputs\ac3d_gpu_full350_complex64_fft_representative_12freq_rtol1e-5\frequency_000_1p000000em03Hz\result.json
0.01,x,0.0027408185131195,0.0001098282958272,197417499.4005483,9.113579240346638e-06,1,0,1e-05,complex64,gpu_bicgstab_fft_poisson_face_types,fft,True,0.4080946000030963,outputs\ac3d_gpu_full350_complex64_fft_representative_12freq_rtol1e-5\frequency_001_1p000000em02Hz\result.json
0.1,x,0.0029897292274052,0.0002820441417638,50697726.636120096,8.457702965710499e-06,1,0,1e-05,complex64,gpu_bicgstab_fft_poisson_face_types,fft,True,0.3446992999961367,outputs\ac3d_gpu_full350_complex64_fft_representative_12freq_rtol1e-5\frequency_002_1p000000em01Hz\result.json
1.0,x,0.0035905870991253,0.0004781443604227,8594694.406953217,8.426773843546294e-06,1,0,1e-05,complex64,gpu_bicgstab_fft_poisson_face_types,fft,True,0.3492559000005713,outputs\ac3d_gpu_full350_complex64_fft_representative_12freq_rtol1e-5\frequency_003_1p000000e00Hz\result.json
10.0,x,0.0043506158892128,0.0005181825346209,931438.4735501014,8.46130247998586e-06,1,0,1e-05,complex64,gpu_bicgstab_fft_poisson_face_types,fft,True,0.3433980000118026,outputs\ac3d_gpu_full350_complex64_fft_representative_12freq_rtol1e-5\frequency_004_1p000000e01Hz\result.json
100.0,x,0.0051228083090379,0.0004244870626822,76301.98922002174,9.957947812323031e-06,1,0,1e-05,complex64,gpu_bicgstab_fft_poisson_face_types,fft,True,0.3509921000077156,outputs\ac3d_gpu_full350_complex64_fft_representative_12freq_rtol1e-5\frequency_005_1p000000e02Hz\result.json
1000.0,x,0.00557206778425656,0.00019566772959183674,3517.1477075615735,9.95826180813679e-06,70,0,1e-05,complex64,gpu_bicgstab_fft_poisson_face_types,fft,True,8.091467300007935,outputs\ac3d_gpu_full350_complex64_fft_refine_1e4_to_1e3_desc_rtol1e-5\frequency_001_1p000000e03Hz\result.json
10000.0,x,0.0057117004373177845,7.881437340561225e-05,141.66965259151033,9.354819734068699e-06,418,0,1e-05,complex64,gpu_bicgstab_fft_poisson_face_types,fft,False,47.148348999995505,outputs\ac3d_gpu_full350_complex64_fft_refine_1e4_to_1e3_desc_rtol1e-5\frequency_000_1p000000e04Hz\result.json
100000.0,x,0.005765720116618,0.0001925832042638,34.617030452810305,9.254215753889592e-06,205,0,1e-05,complex64,gpu_bicgstab_fft_poisson_face_types,fft,True,23.03238829999464,outputs\ac3d_gpu_full350_complex64_fft_representative_12freq_rtol1e-5\frequency_008_1p000000e05Hz\result.json
1000000.0,x,0.006039804664723,0.0014196493258017,25.518343684982863,9.580880978752527e-06,84,0,1e-05,complex64,gpu_bicgstab_fft_poisson_face_types,fft,True,9.52347730001202,outputs\ac3d_gpu_full350_complex64_fft_representative_12freq_rtol1e-5\frequency_009_1p000000e06Hz\result.json
100000000.0,x,0.0085924067055393,0.0874888862973761,15.72621793689833,8.362016307389232e-06,14,0,1e-05,complex64,gpu_bicgstab_fft_poisson_face_types,fft,True,1.7358463999989908,outputs\ac3d_gpu_full350_complex64_fft_representative_12freq_rtol1e-5\frequency_010_1p000000e08Hz\result.json
1000000000.0,x,0.0086189584548104,0.8726728396501459,15.686384688110628,2.4810072333421635e-06,11,0,1e-05,complex64,gpu_bicgstab_fft_poisson_face_types,fft,True,1.4011101000069175,outputs\ac3d_gpu_full350_complex64_fft_representative_12freq_rtol1e-5\frequency_011_1p000000e09Hz\result.json
