figure_context,data_source,mechanism,frequency_hz,imaginary_conductivity_s_m,imaginary_conductivity_magnitude_s_m,real_relative_permittivity,real_relative_permittivity_magnitude,iterations,relative_residual_norm,info,rtol,preconditioner,dtype
paper_figure8_experiment,paper_experiment,experiment,0.002,1.60650676742921e-05,1.60650676742921e-05,144527220.0717199,144527220.0717199,,,,,,
paper_figure8_experiment,paper_experiment,experiment,0.005,2.82732042861887e-05,2.82732042861887e-05,101742431.48795818,101742431.48795818,,,,,,
paper_figure8_experiment,paper_experiment,experiment,0.01,3.54989611590129e-05,3.54989611590129e-05,63872325.66665389,63872325.66665389,,,,,,
paper_figure8_experiment,paper_experiment,experiment,0.02,4.08728336749761e-05,4.08728336749761e-05,36770694.94672001,36770694.94672001,,,,,,
paper_figure8_experiment,paper_experiment,experiment,0.05,4.40493458687292e-05,4.40493458687292e-05,15851360.563075026,15851360.563075026,,,,,,
paper_figure8_experiment,paper_experiment,experiment,0.1,4.32419823120681e-05,4.32419823120681e-05,7780413.529106498,7780413.529106498,,,,,,
paper_figure8_experiment,paper_experiment,experiment,0.2,4.08172870807035e-05,4.08172870807035e-05,3672072.320046016,3672072.320046016,,,,,,
paper_figure8_experiment,paper_experiment,experiment,0.5,3.75988298510552e-05,3.75988298510552e-05,1353011.2580897186,1353011.2580897186,,,,,,
paper_figure8_experiment,paper_experiment,experiment,1.0,3.53438054642923e-05,3.53438054642923e-05,635931.5819981341,635931.5819981341,,,,,,
paper_figure8_experiment,paper_experiment,experiment,2.0,3.34441013079135e-05,3.34441013079135e-05,300875.35812653834,300875.35812653834,,,,,,
paper_figure8_experiment,paper_experiment,experiment,5.0,3.18177195058805e-05,3.18177195058805e-05,114497.53321774982,114497.53321774982,,,,,,
paper_figure8_experiment,paper_experiment,experiment,10.0,3.10553253824406e-05,3.10553253824406e-05,55877.01137579725,55877.01137579725,,,,,,
paper_figure8_experiment,paper_experiment,experiment,20.0,3.02539185272497e-05,3.02539185272497e-05,27217.530792084726,27217.530792084726,,,,,,
paper_figure8_experiment,paper_experiment,experiment,30.0,2.97470617211758e-05,2.97470617211758e-05,17841.029256885693,17841.029256885693,,,,,,
paper_figure8_experiment,paper_experiment,experiment,70.0,2.87962337535765e-05,2.87962337535765e-05,7401.755513120942,7401.755513120942,,,,,,
paper_figure8_experiment,paper_experiment,experiment,130.0,2.82256856687739e-05,2.82256856687739e-05,3906.593598016633,3906.593598016633,,,,,,
paper_figure8_experiment,paper_experiment,experiment,200.0,2.81483129142586e-05,2.81483129142586e-05,2532.325102941685,2532.325102941685,,,,,,
paper_figure8_experiment,paper_experiment,experiment,500.0,2.91146634567958e-05,2.91146634567958e-05,1047.7046117814891,1047.7046117814891,,,,,,
