frequency_hz,omega_rad_s,pore_conductance_real_s,pore_conductance_imag_s,membrane_conductance_real_s,membrane_conductance_imag_s,total_conductance_real_s,total_conductance_imag_s,delta_sigma_pore_real_s_m,delta_sigma_pore_imag_s_m,delta_sigma_membrane_real_s_m,delta_sigma_membrane_imag_s_m,delta_sigma_total_real_s_m,delta_sigma_total_imag_s_m,apparent_water_sigma_real_s_m,apparent_water_sigma_imag_s_m
0.001,0.006283185307179587,5.490700443443126e-15,2.2022366592571917e-12,,,5.490700443443126e-15,2.2022366592571917e-12,4.067185513661575e-09,1.6312864142645866e-06,,,4.067185513661575e-09,1.6312864142645866e-06,0.04300000406718551,1.6312908627597842e-06
0.001333521432163324,0.008378762269377678,9.763926523532886e-15,2.9367129985822577e-12,,,9.763926523532886e-15,2.9367129985822577e-12,7.2325381655799156e-09,2.1753429619127835e-06,,,7.2325381655799156e-09,2.1753429619127835e-06,0.04300000723253816,2.1753488940764704e-06
0.0017782794100389228,0.011173259061216542,1.7362758589455205e-14,3.916129920647836e-12,,,1.7362758589455205e-14,3.916129920647836e-12,1.2861302658855708e-08,2.9008369782576563e-06,,,1.2861302658855708e-08,2.9008369782576563e-06,0.04300001286130266,2.900844888925072e-06
0.0023713737056616554,0.014899780425245321,3.0875105941054326e-14,5.222148796513444e-12,,,3.0875105941054326e-14,5.222148796513444e-12,2.2870448845225428e-08,3.8682583677877366e-06,,,2.2870448845225428e-08,3.8682583677877366e-06,0.043000022870448844,3.868268916832278e-06
0.0031622776601683794,0.019869176531592203,5.490225641509122e-14,6.963623540347958e-12,,,5.490225641509122e-14,6.963623540347958e-12,4.066833808525276e-08,5.158239659517006e-06,,,4.066833808525276e-08,5.158239659517006e-06,0.04300004066833808,5.15825372689399e-06
0.004216965034285823,0.02649597274431474,9.762425235811557e-14,9.285610592889834e-12,,,9.762425235811557e-14,9.285610592889834e-12,7.231426100601154e-08,6.878230068807285e-06,,,7.231426100601154e-08,6.878230068807285e-06,0.043000072314261,6.878248827955988e-06
0.005623413251903491,0.035332947520558995,1.7358012044271516e-13,1.2381302693388283e-11,,,1.7358012044271516e-13,1.2381302693388283e-11,1.2857786699460384e-07,9.171335328435765e-06,,,1.2857786699460384e-07,9.171335328435765e-06,0.04300012857786699,9.17136034416261e-06
0.007498942093324558,0.04711724278016739,3.0860101349358043e-13,1.6507750522542924e-11,,,3.0860101349358043e-13,1.6507750522542924e-11,2.2859334332857812e-07,1.2227963350031796e-05,,,2.2859334332857812e-07,1.2227963350031796e-05,0.04300022859334333,1.2227996709039684e-05
0.01,0.06283185307179587,5.485483751346347e-13,2.200637326570747e-11,,,5.485483751346347e-13,2.200637326570747e-11,4.063321297293591e-07,1.6301017233857386e-05,,,4.063321297293591e-07,1.6301017233857386e-05,0.043000406332129724,1.630106171880936e-05
0.01333521432163324,0.08378762269377676,9.747446778644481e-13,2.932923788422633e-11,,,9.747446778644481e-13,2.932923788422633e-11,7.22033094714406e-07,2.172536139572321e-05,,,7.22033094714406e-07,2.172536139572321e-05,0.04300072203309471,2.1725420717360075e-05
0.01778279410038923,0.11173259061216544,1.7310739683896149e-12,3.907158602676957e-11,,,1.7310739683896149e-12,3.907158602676957e-11,1.282277013621937e-06,2.894191557538487e-05,,,1.282277013621937e-06,2.894191557538487e-05,0.043001282277013615,2.8941994682059022e-05
0.023713737056616554,0.1489978042524532,3.0711136630765917e-12,5.200934483415873e-11,,,3.0711136630765917e-12,5.200934483415873e-11,2.2748990096863645e-06,3.8525440617895354e-05,,,2.2748990096863645e-06,3.8525440617895354e-05,0.043002274899009686,3.852554610834077e-05
0.03162277660168379,0.198691765315922,5.438668273736937e-12,6.913567176452172e-11,,,5.438668273736937e-12,6.913567176452172e-11,4.0286431657310644e-06,5.121160871446053e-05,,,4.0286431657310644e-06,5.121160871446053e-05,0.04300402864316573,5.121174938823038e-05
0.042169650342858224,0.2649597274431474,9.601010696616742e-12,9.167947415086969e-11,,,9.601010696616742e-12,9.167947415086969e-11,7.111859775271661e-06,6.791072159323682e-05,,,7.111859775271661e-06,6.791072159323682e-05,0.043007111859775266,6.791090918472385e-05
0.05623413251903491,0.35332947520558994,1.6856414357672556e-11,1.210653185944022e-10,,,1.6856414357672556e-11,1.210653185944022e-10,1.2486232857535227e-05,8.967801377363126e-05,,,1.2486232857535227e-05,8.967801377363126e-05,0.043012486232857534,8.967826393089971e-05
0.07498942093324558,0.4711724278016739,2.932090320776665e-11,1.5873195278531568e-10,,,2.932090320776665e-11,1.5873195278531568e-10,2.171918756130863e-05,0.00011757922428541903,,,2.171918756130863e-05,0.00011757922428541903,0.04302171918756131,0.00011757955787549792
0.1,0.6283185307179586,5.022786311042338e-11,2.0567422616962338e-10,,,5.022786311042338e-11,2.0567422616962338e-10,3.720582452623954e-05,0.00015235127864416547,,,3.720582452623954e-05,0.00015235127864416547,0.043037205824526234,0.00015235172349368521
0.1333521432163324,0.8378762269377676,8.400152245316618e-11,2.615771147533847e-10,,,8.400152245316618e-11,2.615771147533847e-10,6.222334996530828e-05,0.00019376082574324794,,,6.222334996530828e-05,0.00019376082574324794,0.0430622233499653,0.0001937614189596166
0.1778279410038923,1.1173259061216543,1.356321937533694e-10,3.236425393550488e-10,,,1.356321937533694e-10,3.236425393550488e-10,0.00010046829166916252,0.0002397352143370732,,,0.00010046829166916252,0.0002397352143370732,0.04310046829166916,0.00023973600540381473
0.23713737056616552,1.4899780425245321,2.0892819939657067e-10,3.858025674224213e-10,,,2.0892819939657067e-10,3.858025674224213e-10,0.00015476162918264495,0.00028577967957216395,,,0.00015476162918264495,0.00028577967957216395,0.04315476162918264,0.00028578073447661805
0.31622776601683794,1.9869176531592203,3.0408308672873375e-10,4.395085075983036e-10,,,3.0408308672873375e-10,4.395085075983036e-10,0.00022524673091017317,0.0003255618574802249,,,0.00022524673091017317,0.0003255618574802249,0.04322524673091017,0.0003255632642179233
0.4216965034285822,2.649597274431474,4.162902554496281e-10,4.765067110622594e-10,,,4.162902554496281e-10,4.765067110622594e-10,0.0003083631521849097,0.0003529679341201922,,,0.0003083631521849097,0.0003529679341201922,0.043308363152184906,0.0003529698100350625
0.5623413251903491,3.533294752055899,5.369151513462209e-10,4.919993967447399e-10,,,5.369151513462209e-10,4.919993967447399e-10,0.0003977149269231266,0.0003644439975886962,,,0.0003977149269231266,0.0003644439975886962,0.043397714926923125,0.00036444649916138067
0.7498942093324559,4.71172427801674,6.564784880366536e-10,4.859650616660359e-10,,,6.564784880366536e-10,4.859650616660359e-10,0.00048628036150863234,0.0003599741197526192,,,0.00048628036150863234,0.0003599741197526192,0.04348628036150863,0.00035997745565340806
