frequency_hz,omega_rad_s,pore_conductance_real_s,pore_conductance_imag_s,membrane_conductance_real_s,membrane_conductance_imag_s,total_conductance_real_s,total_conductance_imag_s,delta_sigma_pore_real_s_m,delta_sigma_pore_imag_s_m,delta_sigma_membrane_real_s_m,delta_sigma_membrane_imag_s_m,delta_sigma_total_real_s_m,delta_sigma_total_imag_s_m,apparent_water_sigma_real_s_m,apparent_water_sigma_imag_s_m
0.001,0.006283185307179587,5.359465460473479e-15,2.213335518480488e-12,8.502674521283345e-10,8.218041541283865e-10,8.50272811593795e-10,8.240174896468671e-10,3.96997441516554e-09,1.6395077914670283e-06,0.0006298277423172848,0.0006087438178728789,0.0006298317122917,0.000610383325664346,0.0436298317122917,0.0006103833301128412
0.001333521432163324,0.008378762269377678,9.530557298329894e-15,2.951514276571613e-12,9.816925524736135e-10,9.43933227596106e-10,9.817020830309118e-10,9.468847418726775e-10,7.059672072836958e-09,2.1863068715345284e-06,0.000727179668498973,0.0006992097982193379,0.0007271867281710458,0.0007013961050908723,0.043727186728171046,0.000701396111023036
0.0017782794100389228,0.011173259061216542,1.6947773156289687e-14,3.935869428900967e-12,1.1333642717282062e-09,1.0833133546186739e-09,1.1333812195013624e-09,1.0872492240475748e-09,1.2553906041696066e-08,2.9154588362229387e-06,0.0008395290901690417,0.0008024543367545733,0.0008395416440750834,0.0008053697955907963,0.04383954164407508,0.0008053698035014637
0.0023713737056616554,0.014899780425245321,3.013717831898546e-14,5.248475853817583e-12,1.3083664035709445e-09,1.2420846500620395e-09,1.3083965407492636e-09,1.247333125915857e-09,2.232383579184108e-08,3.8877598917167285e-06,0.0009691602989414404,0.0009200627037496589,0.0009691826227772323,0.0009239504636413757,0.04396918262277723,0.0009239504741904202
0.0031622776601683794,0.019869176531592203,5.359011746989265e-14,6.998740720476862e-12,1.5102342778553894e-09,1.422553004632392e-09,1.5102878679728593e-09,1.4295517453528687e-09,3.9696383311031597e-08,5.1842523855384165e-06,0.001118692057670659,0.0010537429663943644,0.0011187317540539699,0.001058927218779903,0.044118731754053966,0.00105892723284728
0.004216965034285823,0.02649597274431474,9.529122699039143e-14,9.332462595528198e-12,1.7430116589038082e-09,1.6271665945589189e-09,1.7431069501307986e-09,1.636499057154447e-09,7.058609406695662e-08,6.912935255946814e-06,0.0012911197473361542,0.001205308588562162,0.0012911903334302214,0.001212221523818109,0.044291190333430215,0.0012122215425772577
0.005623413251903491,0.035332947520558995,1.6943237503445426e-13,1.2443834167069752e-11,2.0113101299538116e-09,1.8584755604978782e-09,2.0114795623288462e-09,1.870919394664948e-09,1.2550546298848464e-07,9.217654938570188e-06,0.001489859355521342,0.0013766485633317617,0.0014899848609843307,0.0013858662182703319,0.04448998486098433,0.0013858662432860588
0.007498942093324558,0.04711724278016739,3.0122840655184177e-13,1.6591263996569463e-11,2.3203684462210087e-09,2.1190695123481258e-09,2.3206696746275606e-09,2.1356607763446953e-09,2.231321530013643e-07,1.2289825182644048e-05,0.0017187914416451917,0.001569681120257871,0.0017190145737981932,0.0015819709454405152,0.04471901457379819,0.001581970978799523
0.01,0.06283185307179587,5.354480773172429e-13,2.211803988879483e-11,2.6761077486973695e-09,2.411486611243916e-09,2.676643196774687e-09,2.433604651132711e-09,3.9662820542017993e-07,1.6383733250959136e-05,0.0019823020360721258,0.0017862863786991972,0.001982698664277546,0.0018026701119501565,0.044982698664277544,0.0018026701564351085
0.01333521432163324,0.08378762269377676,9.514811299737804e-13,2.9478857548861514e-11,3.0851762995107172e-09,2.7380872987634853e-09,3.086127780640691e-09,2.767566156312347e-09,7.048008370176152e-07,2.1836190776934458e-05,0.002285315777415346,0.002028212813898878,0.002286020578252364,0.0020500490046758127,0.04528602057825236,0.0020500490639974497
0.01778279410038923,0.11173259061216544,1.689807498760951e-12,3.927278747755552e-11,3.5549743797979176e-09,3.1008855975424653e-09,3.5566641872966785e-09,3.140158385020021e-09,1.2517092583414453e-06,2.9090953687078166e-05,0.002633314355405865,0.0022969522944759004,0.0026345660646642064,0.0023260432481629787,0.045634566064664206,0.002326043327269653
