frequency_hz,omega_rad_s,component,component_mode,delta_sigma_component_real_s_m,delta_sigma_component_imag_s_m,apparent_water_sigma_real_s_m,apparent_water_sigma_imag_s_m,solid_sigma_real_s_m,solid_sigma_imag_s_m
0.001,0.0062831853071795,interfacial,paper,0.0,0.0,0.043,4.448495197483086e-12,0.0,3.8924332977977004e-13
0.0013335214321633,0.0083787622693776,interfacial,paper,0.0,0.0,0.043,5.932163686719341e-12,0.0,5.190643225879423e-13
0.0017782794100389,0.0111732590612165,interfacial,paper,0.0,0.0,0.043,7.910667415341282e-12,0.0,6.921833988423622e-13
0.0023713737056616,0.0148997804252453,interfacial,paper,0.0,0.0,0.043,1.0549044541073674e-11,0.0,9.230413973439464e-13
0.0031622776601683,0.0198691765315922,interfacial,paper,0.0,0.0,0.043,1.4067376984367278e-11,0.0,1.2308954861321369e-12
0.0042169650342858,0.0264959727443147,interfacial,paper,0.0,0.0,0.043,1.8759148702974808e-11,0.0,1.6414255115102958e-12
0.0056234132519034,0.0353329475205589,interfacial,paper,0.0,0.0,0.043,2.5015726844555702e-11,0.0,2.188876098898624e-12
0.0074989420933245,0.0471172427801673,interfacial,paper,0.0,0.0,0.043,3.3359007888358455e-11,0.0,2.9189131902313645e-12
0.01,0.0628318530717958,interfacial,paper,0.0,0.0,0.043,4.448495197483143e-11,0.0,3.89243329779775e-12
0.0133352143216332,0.0837876226937767,interfacial,paper,0.0,0.0,0.043,5.932163686719391e-11,0.0,5.190643225879467e-12
0.0177827941003892,0.1117325906121654,interfacial,paper,0.0,0.0,0.043,7.910667415341311e-11,0.0,6.921833988423646e-12
0.0237137370566165,0.1489978042524532,interfacial,paper,0.0,0.0,0.043,1.0549044541073688e-10,0.0,9.230413973439476e-12
0.0316227766016837,0.198691765315922,interfacial,paper,0.0,0.0,0.043,1.4067376984367277e-10,0.0,1.2308954861321369e-11
0.0421696503428582,0.2649597274431474,interfacial,paper,0.0,0.0,0.043,1.8759148702974837e-10,0.0,1.6414255115102982e-11
0.0562341325190349,0.3533294752055899,interfacial,paper,0.0,0.0,0.043,2.501572684455577e-10,0.0,2.1888760988986294e-11
0.0749894209332455,0.4711724278016739,interfacial,paper,0.0,0.0,0.043,3.335900788835851e-10,0.0,2.91891319023137e-11
0.1,0.6283185307179586,interfacial,paper,0.0,0.0,0.043,4.4484951974831474e-10,0.0,3.892433297797754e-11
0.1333521432163324,0.8378762269377676,interfacial,paper,0.0,0.0,0.043,5.932163686719395e-10,0.0,5.1906432258794706e-11
0.1778279410038923,1.1173259061216545,interfacial,paper,0.0,0.0,0.043,7.910667415341314e-10,0.0,6.92183398842365e-11
0.2371373705661655,1.489978042524532,interfacial,paper,0.0,0.0,0.043,1.0549044541073686e-09,0.0,9.230413973439475e-11
0.3162277660168379,1.9869176531592203,interfacial,paper,0.0,0.0,0.043,1.406737698436728e-09,0.0,1.230895486132137e-10
0.4216965034285822,2.649597274431474,interfacial,paper,0.0,0.0,0.043,1.8759148702974835e-09,0.0,1.641425511510298e-10
0.5623413251903491,3.533294752055899,interfacial,paper,0.0,0.0,0.043,2.5015726844555765e-09,0.0,2.1888760988986295e-10
0.7498942093324559,4.71172427801674,interfacial,paper,0.0,0.0,0.043,3.3359007888358517e-09,0.0,2.91891319023137e-10
1.0,6.283185307179586,interfacial,paper,0.0,0.0,0.043,4.448495197483147e-09,0.0,3.892433297797754e-10
1.333521432163324,8.378762269377676,interfacial,paper,0.0,0.0,0.043,5.932163686719395e-09,0.0,5.19064322587947e-10
1.7782794100389228,11.173259061216545,interfacial,paper,0.0,0.0,0.043,7.910667415341314e-09,0.0,6.92183398842365e-10
2.371373705661655,14.89978042524532,interfacial,paper,0.0,0.0,0.043,1.0549044541073686e-08,0.0,9.230413973439476e-10
3.1622776601683795,19.869176531592203,interfacial,paper,0.0,0.0,0.043,1.406737698436728e-08,0.0,1.230895486132137e-09
4.216965034285822,26.495972744314734,interfacial,paper,0.0,0.0,0.043,1.875914870297483e-08,0.0,1.6414255115102978e-09
5.623413251903491,35.332947520559,interfacial,paper,0.0,0.0,0.043,2.5015726844555775e-08,0.0,2.1888760988986305e-09
7.498942093324558,47.1172427801674,interfacial,paper,0.0,0.0,0.043,3.335900788835852e-08,0.0,2.918913190231371e-09
10.0,62.83185307179586,interfacial,paper,0.0,0.0,0.043,4.448495197483147e-08,0.0,3.892433297797754e-09
13.33521432163324,83.78762269377677,interfacial,paper,0.0,0.0,0.043,5.9321636867193956e-08,0.0,5.190643225879471e-09
17.78279410038923,111.73259061216542,interfacial,paper,0.0,0.0,0.043,7.910667415341313e-08,0.0,6.921833988423649e-09
23.71373705661655,148.9978042524532,interfacial,paper,0.0,0.0,0.043,1.0549044541073686e-07,0.0,9.230413973439476e-09
31.622776601683796,198.691765315922,interfacial,paper,0.0,0.0,0.043,1.4067376984367278e-07,0.0,1.2308954861321369e-08
42.16965034285823,264.9597274431474,interfacial,paper,0.0,0.0,0.043,1.8759148702974837e-07,0.0,1.6414255115102982e-08
56.23413251903491,353.3294752055899,interfacial,paper,0.0,0.0,0.043,2.5015726844555765e-07,0.0,2.1888760988986297e-08
74.98942093324558,471.172427801674,interfacial,paper,0.0,0.0,0.043,3.335900788835852e-07,0.0,2.918913190231371e-08
