frequency_hz,omega_rad_s,component,component_mode,delta_sigma_component_real_s_m,delta_sigma_component_imag_s_m,apparent_water_sigma_real_s_m,apparent_water_sigma_imag_s_m,solid_sigma_real_s_m,solid_sigma_imag_s_m
0.001,0.0062831853071795,membrane,paper,0.0006298277423172,0.0006087438178728,0.0436298277423172,0.0006087438178728,0.0,0.0
0.0013335214321633,0.0083787622693776,membrane,paper,0.0007271796684989,0.0006992097982193,0.0437271796684989,0.0006992097982193,0.0,0.0
0.0017782794100389,0.0111732590612165,membrane,paper,0.000839529090169,0.0008024543367545,0.043839529090169,0.0008024543367545,0.0,0.0
0.0023713737056616,0.0148997804252453,membrane,paper,0.0009691602989414,0.0009200627037496,0.0439691602989414,0.0009200627037496,0.0,0.0
0.0031622776601683,0.0198691765315922,membrane,paper,0.0011186920576706,0.0010537429663943,0.0441186920576706,0.0010537429663943,0.0,0.0
0.0042169650342858,0.0264959727443147,membrane,paper,0.0012911197473361,0.0012053085885621,0.0442911197473361,0.0012053085885621,0.0,0.0
0.0056234132519034,0.0353329475205589,membrane,paper,0.0014898593555213,0.0013766485633317,0.0444898593555213,0.0013766485633317,0.0,0.0
0.0074989420933245,0.0471172427801673,membrane,paper,0.0017187914416451,0.0015696811202578,0.044718791441645096,0.0015696811202578,0.0,0.0
0.01,0.0628318530717958,membrane,paper,0.0019823020360721,0.0017862863786991,0.0449823020360721,0.0017862863786991,0.0,0.0
0.0133352143216332,0.0837876226937767,membrane,paper,0.0022853157774153,0.0020282128138988,0.0452853157774153,0.0020282128138988,0.0,0.0
0.0177827941003892,0.1117325906121654,membrane,paper,0.0026333143554058,0.0022969522944759,0.045633314355405796,0.0022969522944759,0.0,0.0
0.0237137370566165,0.1489978042524532,membrane,paper,0.0030323304312573,0.0025935790986821,0.0460323304312573,0.0025935790986821,0.0,0.0
0.0316227766016837,0.198691765315922,membrane,paper,0.0034889036797769,0.0029185502479625,0.0464889036797769,0.0029185502479625,0.0,0.0
0.0421696503428582,0.2649597274431474,membrane,paper,0.0040099816774507,0.0032714684200289,0.0470099816774507,0.0032714684200289,0.0,0.0
0.0562341325190349,0.3533294752055899,membrane,paper,0.0046027446768116,0.0036508154805871,0.047602744676811595,0.0036508154805871,0.0,0.0
0.0749894209332455,0.4711724278016739,membrane,paper,0.0052743311134467,0.0040536751680816,0.0482743311134467,0.0040536751680816,0.0,0.0
0.1,0.6283185307179586,membrane,paper,0.0060314421281591,0.0044754781970596,0.049031442128159096,0.0044754781970596,0.0,0.0
0.1333521432163324,0.8378762269377676,membrane,paper,0.0068798116385689,0.004909821517262,0.049879811638568895,0.004909821517262,0.0,0.0
0.1778279410038923,1.1173259061216545,membrane,paper,0.0078235475828784,0.005348433120539,0.050823547582878395,0.005348433120539,0.0,0.0
0.2371373705661655,1.489978042524532,membrane,paper,0.0088643837099223,0.0057813686986727,0.051864383709922295,0.0057813686986727,0.0,0.0
0.3162277660168379,1.9869176531592203,membrane,paper,0.0100009309364309,0.0061975263120994,0.05300093093643089,0.0061975263120994,0.0,0.0
0.4216965034285822,2.649597274431474,membrane,paper,0.011228077435245,0.0065855359114719,0.05422807743524499,0.0065855359114719,0.0,0.0
0.5623413251903491,3.533294752055899,membrane,paper,0.0125367404103778,0.0069350083003604,0.055536740410377795,0.0069350083003604,0.0,0.0
0.7498942093324559,4.71172427801674,membrane,paper,0.0139141892354988,0.0072380090955892,0.0569141892354988,0.0072380090955892,0.0,0.0
1.0,6.283185307179586,membrane,paper,0.0153451005445118,0.007490477368134,0.058345100544511794,0.007490477368134,0.0,0.0
1.333521432163324,8.378762269377676,membrane,paper,0.0168133442765651,0.0076931900167994,0.059813344276565095,0.0076931900167994,0.0,0.0
1.7782794100389228,11.173259061216545,membrane,paper,0.0183042530783556,0.0078518610374329,0.061304253078355596,0.0078518610374329,0.0,0.0
2.371373705661655,14.89978042524532,membrane,paper,0.0198068810753143,0.0079761227193311,0.06280688107531429,0.0079761227193311,0.0,0.0
3.1622776601683795,19.869176531592203,membrane,paper,0.0213156425363047,0.0080774461438307,0.0643156425363047,0.0080774461438307,0.0,0.0
4.216965034285822,26.495972744314734,membrane,paper,0.0228308252124447,0.0081663943173807,0.0658308252124447,0.0081663943173807,0.0,0.0
5.623413251903491,35.332947520559,membrane,paper,0.0243577486174278,0.0082498013504142,0.0673577486174278,0.0082498013504142,0.0,0.0
7.498942093324558,47.1172427801674,membrane,paper,0.0259046255157267,0.0083284919059797,0.0689046255157267,0.0083284919059797,0.0,0.0
10.0,62.83185307179586,membrane,paper,0.0274794065196327,0.0083961115111209,0.07047940651963269,0.0083961115111209,0.0,0.0
13.33521432163324,83.78762269377677,membrane,paper,0.029086157975384,0.0084395877934908,0.072086157975384,0.0084395877934908,0.0,0.0
17.78279410038923,111.73259061216542,membrane,paper,0.0307219094726555,0.0084414835896524,0.0737219094726555,0.0084414835896524,0.0,0.0
23.71373705661655,148.9978042524532,membrane,paper,0.0323751011527498,0.0083838333748471,0.0753751011527498,0.0083838333748471,0.0,0.0
31.622776601683796,198.691765315922,membrane,paper,0.034026303942398,0.0082522771067818,0.077026303942398,0.0082522771067818,0.0,0.0
42.16965034285823,264.9597274431474,membrane,paper,0.0356508796394773,0.0080391398663649,0.0786508796394773,0.0080391398663649,0.0,0.0
56.23413251903491,353.3294752055899,membrane,paper,0.0372225255040098,0.0077447945465497,0.0802225255040098,0.0077447945465497,0.0,0.0
74.98942093324558,471.172427801674,membrane,paper,0.0387167781492609,0.007377453019105,0.0817167781492609,0.007377453019105,0.0,0.0
100.0,628.3185307179587,membrane,paper,0.0401140371916851,0.0069517322674419,0.08311403719168509,0.0069517322674419,0.0,0.0
133.3521432163324,837.8762269377677,membrane,paper,0.0414018243001996,0.0064861777793606,0.0844018243001996,0.0064861777793606,0.0,0.0
177.82794100389228,1117.3259061216545,membrane,paper,0.0425758495707335,0.0059999017824813,0.0855758495707335,0.0059999017824813,0.0,0.0
237.13737056616552,1489.978042524532,membrane,paper,0.0436392290118663,0.0055087715365012,0.0866392290118663,0.0055087715365012,0.0,0.0
316.227766016838,1986.9176531592204,membrane,paper,0.0445992632601504,0.005022416123476,0.0875992632601504,0.005022416123476,0.0,0.0
421.6965034285823,2649.597274431474,membrane,paper,0.0454625664662366,0.0045441720445064,0.0884625664662366,0.0045441720445064,0.0,0.0
562.341325190349,3533.2947520558987,membrane,paper,0.0462316230891787,0.0040748586620495,0.0892316230891787,0.0040748586620495,0.0,0.0
749.8942093324558,4711.72427801674,membrane,paper,0.046905736589757,0.0036176867721278,0.089905736589757,0.0036176867721278,0.0,0.0
1000.0,6283.185307179586,membrane,paper,0.0474852583407845,0.0031799710975321,0.0904852583407845,0.0031799710975321,0.0,0.0
1333.521432163324,8378.762269377678,membrane,paper,0.0479747173617522,0.0027708349119891,0.0909747173617522,0.0027708349119891,0.0,0.0
1778.2794100389228,11173.259061216542,membrane,paper,0.0483827348888955,0.0023982222154749,0.0913827348888955,0.0023982222154749,0.0,0.0
2371.373705661655,14899.78042524532,membrane,paper,0.0487206338780172,0.0020675450372328,0.0917206338780172,0.0020675450372328,0.0,0.0
3162.2776601683795,19869.1765315922,membrane,paper,0.0490014081355328,0.0017809947733578,0.09200140813553279,0.0017809947733578,0.0,0.0
4216.965034285822,26495.97274431474,membrane,paper,0.0492381934579495,0.001536703232963,0.0922381934579495,0.001536703232963,0.0,0.0
5623.413251903491,35332.94752055899,membrane,paper,0.0494417817334727,0.001329082142461,0.0924417817334727,0.001329082142461,0.0,0.0
7498.942093324558,47117.24278016739,membrane,paper,0.0496189590663414,0.0011511740803839,0.0926189590663414,0.0011511740803839,0.0,0.0
10000.0,62831.85307179586,membrane,paper,0.0497732718113766,0.0009972952957988,0.0927732718113766,0.0009972952957988,0.0,0.0
13335.21432163324,83787.62269377676,membrane,paper,0.0499071264142378,0.0008637766987011,0.09290712641423779,0.0008637766987011,0.0,0.0
17782.794100389227,111732.5906121654,membrane,paper,0.0500229917743518,0.0007480496378103,0.0930229917743518,0.0007480496378103,0.0,0.0
23713.737056616552,148997.8042524532,membrane,paper,0.0501233065814839,0.0006478322991259,0.0931233065814839,0.0006478322991259,0.0,0.0
31622.776601683792,198691.765315922,membrane,paper,0.0502101824908539,0.0005610398979738,0.09321018249085389,0.0005610398979738,0.0,0.0
42169.65034285822,264959.7274431474,membrane,paper,0.0502854151666063,0.0004858688194855,0.0932854151666063,0.0004858688194855,0.0,0.0
56234.13251903491,353329.4752055899,membrane,paper,0.0503505632859846,0.0004207660083199,0.0933505632859846,0.0004207660083199,0.0,0.0
74989.42093324558,471172.42780167394,membrane,paper,0.0504069791747335,0.0003643841650132,0.0934069791747335,0.0003643841650132,0.0,0.0
100000.0,628318.5307179586,membrane,paper,0.0504558333480806,0.0003155555532515,0.0934558333480806,0.0003155555532515,0.0,0.0
133352.1432163324,837876.2269377676,membrane,paper,0.0504981393210783,0.0002732687474746,0.0934981393210783,0.0002732687474746,0.0,0.0
177827.94100389228,1117325.9061216542,membrane,paper,0.0505347747849712,0.0002366476576602,0.09353477478497119,0.0002366476576602,0.0,0.0
237137.37056616557,1489978.0425245322,membrane,paper,0.0505664997903013,0.0002049334319609,0.0935664997903013,0.0002049334319609,0.0,0.0
316227.7660168379,1986917.65315922,membrane,paper,0.0505939725134695,0.0001774687927402,0.09359397251346949,0.0001774687927402,0.0,0.0
421696.5034285823,2649597.274431474,membrane,paper,0.0506177629118547,0.0001536844566981,0.0936177629118547,0.0001536844566981,0.0,0.0
562341.3251903491,3533294.7520558992,membrane,paper,0.050638364548261,0.0001330873665621,0.093638364548261,0.0001330873665621,0.0,0.0
749894.2093324559,4711724.27801674,membrane,paper,0.0506562048305,0.0001152504936453,0.0936562048305,0.0001152504936453,0.0,0.0
1000000.0,6283185.307179586,membrane,paper,0.0506716538785076,9.980400233376222e-05,0.0936716538785076,9.980400233376222e-05,0.0,0.0
1333521.432163324,8378762.269377677,membrane,paper,0.0506850322029578,8.642759517752646e-05,0.09368503220295779,8.642759517752646e-05,0.0,0.0
1778279.410038923,11173259.061216542,membrane,paper,0.0506966173546674,7.48438812628493e-05,0.09369661735466739,7.48438812628493e-05,0.0,0.0
