frequency_hz,omega_rad_s,component,component_mode,delta_sigma_component_real_s_m,delta_sigma_component_imag_s_m,apparent_water_sigma_real_s_m,apparent_water_sigma_imag_s_m,solid_sigma_real_s_m,solid_sigma_imag_s_m
0.001,0.0062831853071795,all,paper,0.0006298317122917,0.0006103833256643,0.0436298317122917,0.0006103833301127952,0.0,3.8924332977977004e-13
0.0013335214321633,0.0083787622693776,all,paper,0.000727186728171,0.0007013961050908,0.043727186728171,0.0007013961110229637,0.0,5.190643225879423e-13
0.0017782794100389,0.0111732590612165,all,paper,0.000839541644075,0.0008053697955907,0.043839541644075,0.0008053698035013674,0.0,6.921833988423622e-13
0.0023713737056616,0.0148997804252453,all,paper,0.0009691826227771,0.0009239504636413,0.043969182622777096,0.0009239504741903445,0.0,9.230413973439464e-13
0.0031622776601683,0.0198691765315922,all,paper,0.0011187317540539,0.0010589272187799,0.0441187317540539,0.0010589272328472771,0.0,1.2308954861321369e-12
0.0042169650342858,0.0264959727443147,all,paper,0.0012911903334302,0.0012122215238181,0.044291190333430194,0.0012122215425772488,0.0,1.6414255115102958e-12
0.0056234132519034,0.0353329475205589,all,paper,0.0014899848609843,0.0013858662182703,0.044489984860984294,0.0013858662432860269,0.0,2.188876098898624e-12
0.0074989420933245,0.0471172427801673,all,paper,0.0017190145737981,0.0015819709454405,0.044719014573798094,0.0015819709787995078,0.0,2.9189131902313645e-12
0.01,0.0628318530717958,all,paper,0.0019826986642775,0.0018026701119501,0.044982698664277496,0.001802670156435052,0.0,3.89243329779775e-12
0.0133352143216332,0.0837876226937767,all,paper,0.0022860205782523,0.0020500490046758,0.045286020578252296,0.002050049063997437,0.0,5.190643225879467e-12
0.0177827941003892,0.1117325906121654,all,paper,0.0026345660646642,0.0023260432481629,0.0456345660646642,0.002326043327269574,0.0,6.921833988423646e-12
0.0237137370566165,0.1489978042524532,all,paper,0.0030345512127281,0.0026323062275907,0.0460345512127281,0.002632306333081145,0.0,9.230413973439476e-12
0.0316227766016837,0.198691765315922,all,paper,0.0034928368475868,0.0029700377520066,0.046492836847586795,0.0029700378926803698,0.0,1.2308954861321369e-11
0.0421696503428582,0.2649597274431474,all,paper,0.0040169261608018,0.0033397633419533,0.047016926160801796,0.003339763529544787,0.0,1.6414255115102982e-11
0.0562341325190349,0.3533294752055899,all,paper,0.0046149408547254,0.0037410437155229,0.047614940854725396,0.0037410439656801685,0.0,2.1888760988986294e-11
0.0749894209332455,0.4711724278016739,all,paper,0.0052955582381727,0.0041720746508997,0.0482955582381727,0.004172074984489779,0.0,2.91891319023137e-11
0.1,0.6283185307179586,all,paper,0.0060678455340693,0.0046291139695685,0.049067845534069295,0.00462911441441802,0.0,3.892433297797754e-11
0.1333521432163324,0.8378762269377676,all,paper,0.006940818890329,0.0051056870981498,0.049940818890328996,0.0051056876913661686,0.0,5.1906432258794706e-11
0.1778279410038923,1.1173259061216545,all,paper,0.0079224066252388,0.0055916844280547,0.050922406625238795,0.005591685219121441,0.0,6.92183398842365e-11
0.2371373705661655,1.489978042524532,all,paper,0.0090175164176216,0.0060728711457768,0.0520175164176216,0.006072872200681254,0.0,9.230413973439475e-11
0.3162277660168379,1.9869176531592203,all,paper,0.0102254710222524,0.0065317452208678,0.0532254710222524,0.0065317466276054986,0.0,1.230895486132137e-10
0.4216965034285822,2.649597274431474,all,paper,0.0115381049503337,0.0069503001110174,0.0545381049503337,0.00695030198693227,0.0,1.641425511510298e-10
0.5623413251903491,3.533294752055899,all,paper,0.0129400192167573,0.0073137516265613,0.0559400192167573,0.007313754128133984,0.0,2.1888760988986295e-10
0.7498942093324559,4.71172427801674,all,paper,0.0144109873662365,0.0076133687567549,0.057410987366236496,0.007613372092655689,0.0,2.91891319023137e-10
1.0,6.283185307179586,all,paper,0.0159291897079846,0.0078475616938997,0.058929189707984594,0.007847566142394896,0.0,3.892433297797754e-10
1.333521432163324,8.378762269377676,all,paper,0.0174743061241026,0.0080215196043678,0.060474306124102595,0.008021525536531487,0.0,5.19064322587947e-10
1.7782794100389228,11.173259061216545,all,paper,0.0190300644061853,0.0081457534898787,0.0620300644061853,0.008145761400546115,0.0,6.92183398842365e-10
