frequency_hz,omega_rad_s,pore_conductance_real_s,pore_conductance_imag_s,membrane_conductance_real_s,membrane_conductance_imag_s,total_conductance_real_s,total_conductance_imag_s,delta_sigma_pore_real_s_m,delta_sigma_pore_imag_s_m,delta_sigma_membrane_real_s_m,delta_sigma_membrane_imag_s_m,delta_sigma_total_real_s_m,delta_sigma_total_imag_s_m,apparent_water_sigma_real_s_m,apparent_water_sigma_imag_s_m
0.001,0.006283185307179587,5.359465460473478e-15,2.213335518480487e-12,8.502674521283344e-10,8.21804154128387e-10,8.502728115937949e-10,8.240174896468675e-10,3.9699744151655395e-09,1.6395077914670274e-06,0.0006298277423172848,0.0006087438178728793,0.0006298317122917,0.0006103833256643463,0.0436298317122917,0.0006103833301128415
0.001333521432163324,0.008378762269377678,9.530557298329878e-15,2.9515142765716135e-12,9.816925524736135e-10,9.439332275961056e-10,9.817020830309118e-10,9.468847418726771e-10,7.059672072836947e-09,2.186306871534529e-06,0.000727179668498973,0.0006992097982193375,0.0007271867281710458,0.000701396105090872,0.043727186728171046,0.0007013961110230357
0.0017782794100389228,0.011173259061216542,1.694777315628968e-14,3.935869428900966e-12,1.133364271728206e-09,1.0833133546186743e-09,1.1333812195013622e-09,1.0872492240475753e-09,1.2553906041696061e-08,2.915458836222938e-06,0.0008395290901690415,0.0008024543367545736,0.0008395416440750832,0.0008053697955907965,0.04383954164407508,0.0008053698035014639
0.0023713737056616554,0.014899780425245321,3.013717831898546e-14,5.248475853817584e-12,1.308366403570892e-09,1.2420846500620486e-09,1.308396540749211e-09,1.2473331259158662e-09,2.232383579184108e-08,3.887759891716729e-06,0.0009691602989414015,0.0009200627037496657,0.0009691826227771934,0.0009239504636413824,0.043969182622777186,0.0009239504741904269
0.0031622776601683794,0.019869176531592203,5.3590117469892647e-14,6.998740720476857e-12,1.5102342778553904e-09,1.4225530046323923e-09,1.5102878679728603e-09,1.4295517453528692e-09,3.969638331103159e-08,5.184252385538413e-06,0.0011186920576706596,0.0010537429663943648,0.0011187317540539707,0.0010589272187799031,0.044118731754053966,0.0010589272328472802
0.004216965034285823,0.02649597274431474,9.529122699039149e-14,9.332462595528197e-12,1.743011658903808e-09,1.627166594558909e-09,1.7431069501307984e-09,1.6364990571544371e-09,7.058609406695666e-08,6.912935255946813e-06,0.0012911197473361542,0.001205308588562155,0.0012911903334302212,0.0012122215238181016,0.044291190333430215,0.0012122215425772504
0.005623413251903491,0.035332947520558995,1.6943237503445424e-13,1.2443834167069763e-11,2.011310129953811e-09,1.8584755604978788e-09,2.011479562328846e-09,1.8709193946649487e-09,1.2550546298848464e-07,9.217654938570196e-06,0.0014898593555213418,0.0013766485633317622,0.0014899848609843302,0.0013858662182703325,0.04448998486098433,0.0013858662432860594
0.007498942093324558,0.04711724278016739,3.012284065518419e-13,1.6591263996569476e-11,2.3203684462210087e-09,2.1190695123481245e-09,2.3206696746275606e-09,2.135660776344694e-09,2.231321530013644e-07,1.2289825182644056e-05,0.0017187914416451917,0.0015696811202578701,0.0017190145737981932,0.001581970945440514,0.04471901457379819,0.001581970978799522
0.01,0.06283185307179587,5.354480773172432e-13,2.2118039888794837e-11,2.6761077486973703e-09,2.4114866112439158e-09,2.6766431967746877e-09,2.4336046511327107e-09,3.966282054201802e-07,1.638373325095914e-05,0.001982302036072126,0.001786286378699197,0.001982698664277547,0.001802670111950156,0.044982698664277544,0.001802670156435108
0.01333521432163324,0.08378762269377676,9.514811299737802e-13,2.947885754886152e-11,3.0851762995107177e-09,2.7380872987634865e-09,3.0861277806406915e-09,2.7675661563123482e-09,7.04800837017615e-07,2.183619077693446e-05,0.0022853157774153465,0.002028212813898879,0.002286020578252364,0.0020500490046758135,0.04528602057825236,0.0020500490639974505
