iteration,elapsed_s,relative_residual_norm
20,2.3976416000077734,5.126699453976131e-05
40,4.631902500012075,6.11166104457153e-05
60,6.8739994000061415,8.726355775313583e-05
80,9.106710699998075,9.407909085887265e-05
100,11.351822100012214,7.337951381359972e-05
120,13.579321700002765,5.1394104145386965e-05
140,15.824572900004569,3.491295530337197e-05
160,18.06456949999847,2.6885420203729306e-05
180,20.30174390001048,1.69704463884263e-05
200,22.540227400008007,1.66448512989917e-05
220,24.780724900003406,1.3730062403415833e-05
240,27.00669530000596,5.631761687131412e-05
260,29.250961600002483,0.00022348320463928703
