solver,requested_frequency_hz,frequency_hz,direction,shape,crop_start,solve_shape,n_cells,dtype,water_sigma_real_s_m,water_sigma_imag_s_m,solid_sigma_real_s_m,solid_sigma_imag_s_m,effective_sigma_real_s_m,effective_sigma_imag_s_m,mean_current_real_a_m2,mean_current_imag_a_m2,relative_residual_norm,iterations,info,rtol,atol,maxiter,preconditioner,fft_reference,used_warm_start,elapsed_total_s,elapsed_per_iteration_s,cuda_total_gib,cuda_free_before_gib,cuda_free_after_gib,cuda_used_delta_gib,residual_history_path,solution_path,result_path
gpu_bicgstab_fft_poisson_face_types,0.001,0.001,x,"(350, 350, 350)",,"(350, 350, 350)",42875000,complex64,0.0436298317122917,0.0006103833301127,0.0,3.8924332977977014e-13,0.0026583875728862973,3.718191679573615e-05,0.0026583875728862973,3.718191679573615e-05,8.529268908953394e-06,172,0,1e-05,0.0,800,fft,mean-face,False,19.01846279995516,0.11057245813927419,15.99169921875,14.6103515625,8.6376953125,5.97265625,results\sweeps\rawdata_pnextract_rerun_20260527_all_rtol1e-5\frequency_000_1p000000em03Hz\residual_history.csv,,results\sweeps\rawdata_pnextract_rerun_20260527_all_rtol1e-5\frequency_000_1p000000em03Hz\result.json
gpu_bicgstab_fft_poisson_face_types,0.01,0.01,x,"(350, 350, 350)",,"(350, 350, 350)",42875000,complex64,0.0449826986642774,0.001802670156435,0.0,3.89243329779775e-12,0.0027408185131195337,0.00010982829582725948,0.0027408185131195337,0.00010982829582725948,9.113579240346638e-06,1,0,1e-05,0.0,800,fft,mean-face,True,0.40286050003487617,0.40286050003487617,15.99169921875,8.6376953125,8.3173828125,0.3203125,results\sweeps\rawdata_pnextract_rerun_20260527_all_rtol1e-5\frequency_001_1p000000em02Hz\residual_history.csv,,results\sweeps\rawdata_pnextract_rerun_20260527_all_rtol1e-5\frequency_001_1p000000em02Hz\result.json
gpu_bicgstab_fft_poisson_face_types,0.1,0.1,x,"(350, 350, 350)",,"(350, 350, 350)",42875000,complex64,0.0490678455340692,0.004629114414418,0.0,3.892433297797754e-11,0.002989729227405248,0.0002820441417638484,0.002989729227405248,0.0002820441417638484,8.457702965710499e-06,1,0,1e-05,0.0,800,fft,mean-face,True,0.3356480000074953,0.3356480000074953,15.99169921875,8.3173828125,8.3173828125,0.0,results\sweeps\rawdata_pnextract_rerun_20260527_all_rtol1e-5\frequency_002_1p000000em01Hz\residual_history.csv,,results\sweeps\rawdata_pnextract_rerun_20260527_all_rtol1e-5\frequency_002_1p000000em01Hz\result.json
gpu_bicgstab_fft_poisson_face_types,1.0,1.0,x,"(350, 350, 350)",,"(350, 350, 350)",42875000,complex64,0.0589291897079845,0.0078475661423948,0.0,3.8924332977977535e-10,0.0035905870991253647,0.00047814436042274054,0.0035905870991253647,0.00047814436042274054,8.426773843546294e-06,1,0,1e-05,0.0,800,fft,mean-face,True,0.331783700035885,0.331783700035885,15.99169921875,8.3173828125,8.3173828125,0.0,results\sweeps\rawdata_pnextract_rerun_20260527_all_rtol1e-5\frequency_003_1p000000e00Hz\residual_history.csv,,results\sweeps\rawdata_pnextract_rerun_20260527_all_rtol1e-5\frequency_003_1p000000e00Hz\result.json
gpu_bicgstab_fft_poisson_face_types,10.0,10.0,x,"(350, 350, 350)",,"(350, 350, 350)",42875000,complex64,0.0714028914148794,0.0085046394637612,0.0,3.892433297797754e-09,0.004350615889212828,0.0005181825346209913,0.004350615889212828,0.0005181825346209913,8.46130247998586e-06,1,0,1e-05,0.0,800,fft,mean-face,True,0.3342077999841422,0.3342077999841422,15.99169921875,8.3173828125,8.3173828125,0.0,results\sweeps\rawdata_pnextract_rerun_20260527_all_rtol1e-5\frequency_004_1p000000e01Hz\residual_history.csv,,results\sweeps\rawdata_pnextract_rerun_20260527_all_rtol1e-5\frequency_004_1p000000e01Hz\result.json
gpu_bicgstab_fft_poisson_face_types,100.0,100.0,x,"(350, 350, 350)",,"(350, 350, 350)",42875000,complex64,0.0840762220933291,0.0069661342557011,0.0,3.892433297797754e-08,0.005122808309037902,0.0004244870626822158,0.005122808309037902,0.0004244870626822158,9.957947812323031e-06,1,0,1e-05,0.0,800,fft,mean-face,True,0.33254880004096776,0.33254880004096776,15.99169921875,8.3173828125,8.3173828125,0.0,results\sweeps\rawdata_pnextract_rerun_20260527_all_rtol1e-5\frequency_005_1p000000e02Hz\residual_history.csv,,results\sweeps\rawdata_pnextract_rerun_20260527_all_rtol1e-5\frequency_005_1p000000e02Hz\result.json
gpu_bicgstab_fft_poisson_face_types,1000.0,1000.0,x,"(350, 350, 350)",,"(350, 350, 350)",42875000,complex64,0.0914482133509936,0.0031858247761823,0.0,3.8924332977977537e-07,0.005572052842565598,0.00019566529245626825,0.005572052842565598,0.00019566529245626825,9.909598085607555e-06,321,0,1e-05,0.0,800,fft,mean-face,True,34.647097300039604,0.10793488255464051,15.99169921875,8.3173828125,8.3173828125,0.0,results\sweeps\rawdata_pnextract_rerun_20260527_all_rtol1e-5\frequency_006_1p000000e03Hz\residual_history.csv,,results\sweeps\rawdata_pnextract_rerun_20260527_all_rtol1e-5\frequency_006_1p000000e03Hz\result.json
gpu_bicgstab_fft_poisson_face_types,10000.0,10000.0,x,"(350, 350, 350)",,"(350, 350, 350)",42875000,complex64,0.0937362346947937,0.001041920775989,0.0,3.892433297797754e-06,0.005711687317784257,7.88294631468659e-05,0.005711687317784257,7.88294631468659e-05,7.306213504523205e-06,393,0,1e-05,0.0,800,fft,mean-face,True,42.25588169996627,0.1075213274808302,15.99169921875,8.3173828125,8.3173828125,0.0,results\sweeps\rawdata_pnextract_rerun_20260527_all_rtol1e-5\frequency_007_1p000000e04Hz\residual_history.csv,,results\sweeps\rawdata_pnextract_rerun_20260527_all_rtol1e-5\frequency_007_1p000000e04Hz\result.json
gpu_bicgstab_fft_poisson_face_types,100000.0,100000.0,x,"(350, 350, 350)",,"(350, 350, 350)",42875000,complex64,0.0944187963102481,0.0007604191258312,0.0,3.8924332977977536e-05,0.005765730685131196,0.00019257101858600583,0.005765730685131196,0.00019257101858600583,8.324111443492194e-06,215,0,1e-05,0.0,800,fft,mean-face,True,23.327457700041123,0.10849980325600522,15.99169921875,8.3173828125,8.3173828125,0.0,results\sweeps\rawdata_pnextract_rerun_20260527_all_rtol1e-5\frequency_008_1p000000e05Hz\residual_history.csv,,results\sweeps\rawdata_pnextract_rerun_20260527_all_rtol1e-5\frequency_008_1p000000e05Hz\result.json
gpu_bicgstab_fft_poisson_face_types,1000000.0,1000000.0,x,"(350, 350, 350)",,"(350, 350, 350)",42875000,complex64,0.0946346168414626,0.0045483006051,0.0,0.0003892433297797,0.006039796282798834,0.0014196506924198252,0.006039796282798834,0.0014196506924198252,6.64162397408639e-06,84,0,1e-05,0.0,800,fft,mean-face,True,9.227789900032803,0.10985464166705719,15.99169921875,8.3173828125,8.3173828125,0.0,results\sweeps\rawdata_pnextract_rerun_20260527_all_rtol1e-5\frequency_009_1p000000e06Hz\residual_history.csv,,results\sweeps\rawdata_pnextract_rerun_20260527_all_rtol1e-5\frequency_009_1p000000e06Hz\result.json
